AverageQ,QFunRegParamNorm,StdEsReturn,Iteration,MinEsReturn,AverageReturn,AverageAbsY,MaxReturn,MaxEsReturn,StdReturn,PolicyRegParamNorm,AverageY,MinReturn,AverageQLoss,AveragePolicySurr,AverageAbsQYDiff,Epoch,AverageEsReturn,AverageAbsQ,AverageDiscountedReturn,AverageAction
69.3152,118.997,14.0325445582,90,2.0,1000.0,69.3300012783,1000.0,59.0,0.0,63.423,69.3148026202,1000.0,24.792,-77.3006,1.96842594969,90,17.1896551724,69.4422,99.9956828753,0.357595
70.1622,119.773,16.0129699497,91,3.0,1000.0,70.17667468,1000.0,69.0,0.0,63.729,70.1621232998,1000.0,26.313,-78.2371,2.02972121442,91,18.0545454545,70.2899,99.9956828753,0.42366
71.1742,120.51,12.7599634273,92,3.0,1000.0,71.1861325602,1000.0,61.0,0.0,63.9349,71.1720997018,1000.0,26.2644,-79.2407,1.99929753085,92,16.5,71.302,99.9956828753,0.382636
72.1393,121.224,11.0175039744,93,3.0,1000.0,72.1572937267,1000.0,66.0,0.0,64.1313,72.1401686098,1000.0,27.2868,-80.1999,2.03913896467,93,13.0649350649,72.2693,99.9956828753,0.34617
72.8231,121.987,11.4423220849,94,3.0,1000.0,72.8367740833,1000.0,55.0,0.0,64.3951,72.818807887,1000.0,27.3448,-81.1112,2.07906294407,94,14.2428571429,72.9693,99.9956828753,0.330111
73.8327,122.593,8.73544495804,95,3.0,938.272727273,73.8531403582,1000.0,47.0,127.061968353,64.6836,73.8346622995,565.0,28.6883,-82.2435,2.10987899763,95,13.3552631579,73.978,99.9630697178,0.327087
74.6861,123.319,10.8492757495,96,3.0,1000.0,74.7004491199,1000.0,48.0,0.0,64.9863,74.6853241388,1000.0,28.8977,-83.0643,2.0991531419,96,14.2753623188,74.8258,99.9956828753,0.329835
75.5456,123.87,12.7056222131,97,3.0,1000.0,75.5632844593,1000.0,72.0,0.0,65.3806,75.5469488886,1000.0,28.8191,-84.0511,2.12941370602,97,15.0,75.6874,99.9956828753,0.355727
76.4449,124.689,11.2266685146,98,3.0,1000.0,76.4604696941,1000.0,47.0,0.0,65.6968,76.4422095666,1000.0,30.1682,-85.0752,2.17848244862,98,14.84375,76.5987,99.9956828753,0.363703
77.2559,125.356,10.4402817716,99,3.0,1000.0,77.2766242777,1000.0,64.0,0.0,65.8833,77.2557281744,1000.0,31.5038,-85.9066,2.17879639145,99,11.9772727273,77.4143,99.9956828753,0.354489
78.178,126.075,11.9531361131,100,3.0,1000.0,78.2009903634,1000.0,56.0,0.0,66.05,78.1754633483,1000.0,31.7599,-86.9349,2.16181302393,100,13.7397260274,78.3324,99.9956828753,0.426967
79.1864,126.55,9.93623007252,101,3.0,1000.0,79.2133128262,1000.0,55.0,0.0,66.2815,79.1865524081,1000.0,32.6792,-88.0077,2.24449846402,101,15.3064516129,79.3514,99.9956828753,0.356258
80.023,127.139,14.5821039326,102,3.0,1000.0,80.0463676749,1000.0,72.0,0.0,66.5131,80.0225565507,1000.0,33.3352,-88.9461,2.24179081255,102,15.0714285714,80.1791,99.9956828753,0.336655
80.9287,127.983,11.5956814978,103,3.0,1000.0,80.9514151651,1000.0,60.0,0.0,66.766,80.9276345774,1000.0,34.238,-89.9389,2.24015151075,103,14.0704225352,81.0839,99.9956828753,0.292591
81.645,128.657,11.7232770045,104,3.0,681.466666667,81.669156718,1000.0,55.0,271.804799238,67.035,81.6450787945,257.0,34.4154,-90.7422,2.28725802125,104,15.9838709677,81.8174,98.7183447827,0.290826
82.6321,129.295,9.03131039629,105,3.0,1000.0,82.6574857055,1000.0,58.0,0.0,67.2806,82.6302193513,1000.0,34.579,-91.7795,2.29065329797,105,11.8117647059,82.8022,99.9956828753,0.308806
83.5257,129.994,12.4476640148,106,3.0,504.1,83.5576001468,1000.0,68.0,248.226287891,67.5217,83.5261771984,193.0,35.9595,-92.7938,2.3263832834,106,13.7971014493,83.6969,96.7045305976,0.285343
84.504,130.568,12.9862189246,107,3.0,1000.0,84.5356910528,1000.0,57.0,0.0,67.7775,84.5002444851,1000.0,35.6709,-93.7272,2.28583364201,107,15.231884058,84.6709,99.9956828753,0.298482
85.2931,131.321,9.82019690986,108,3.0,1000.0,85.3221676067,1000.0,55.0,0.0,68.0901,85.2937468942,1000.0,36.9249,-94.7189,2.37970960038,108,13.4459459459,85.4557,99.9956828753,0.229844
86.0595,131.809,12.3577042222,109,3.0,1000.0,86.0865548875,1000.0,66.0,0.0,68.3678,86.0588628395,1000.0,39.0205,-95.5962,2.36351018522,109,14.9402985075,86.2242,99.9956828753,0.270906
87.0085,132.431,11.3699751126,110,3.0,881.583333333,87.0314251697,1000.0,56.0,267.583463096,68.5887,87.0062024559,195.0,38.4842,-96.6213,2.38543550682,110,14.1830985915,87.1765,98.6466811087,0.243904
87.9855,133.159,9.49682009078,111,3.0,1000.0,88.0139429878,1000.0,57.0,0.0,68.8442,87.9875819375,1000.0,38.9122,-97.543,2.4055721343,111,14.1571428571,88.1502,99.9956828753,0.306282
88.6913,133.826,9.92938331727,112,3.0,1000.0,88.7226866677,1000.0,57.0,0.0,69.1251,88.6920773093,1000.0,39.7861,-98.3001,2.38874597615,112,14.0857142857,88.8631,99.9956828753,0.254475
89.6474,134.281,11.1376306326,113,3.0,1000.0,89.6820593409,1000.0,55.0,0.0,69.4796,89.6459346121,1000.0,39.5524,-99.4113,2.39477716663,113,14.4225352113,89.8288,99.9956828753,0.292287
90.3656,134.918,7.16263713911,114,2.0,1000.0,90.3996628569,1000.0,32.0,0.0,69.8363,90.3649394738,1000.0,42.1471,-100.379,2.5166969588,114,11.0,90.5639,99.9956828753,0.264145
91.1389,135.586,10.5282985531,115,3.0,1000.0,91.1784074101,1000.0,57.0,0.0,70.1606,91.1392258721,1000.0,42.4801,-101.232,2.47871344412,115,14.0,91.3185,99.9956828753,0.284465
92.269,136.24,17.0793334247,116,3.0,1000.0,92.31250244,1000.0,107.0,0.0,70.4062,92.2684387655,1000.0,43.0419,-102.392,2.57218326832,116,14.3943661972,92.4534,99.9956828753,0.324343
93.3832,136.933,11.2148870313,117,3.0,1000.0,93.4264379485,1000.0,50.0,0.0,70.6497,93.3812329476,1000.0,43.6831,-103.343,2.4863628517,117,13.602739726,93.5721,99.9956828753,0.420105
93.8636,137.541,8.5746273793,118,3.0,1000.0,93.9122722662,1000.0,40.0,0.0,70.9445,93.8628253883,1000.0,44.1183,-104.194,2.51697243171,118,11.8928571429,94.0496,99.9956828753,0.253732
95.0391,138.068,11.0619928464,119,3.0,1000.0,95.0910402226,1000.0,49.0,0.0,71.1871,95.0378220069,1000.0,44.125,-105.302,2.52035791747,119,12.9358974359,95.221,99.9956828753,0.331017
95.8667,138.756,11.5435407624,120,3.0,1000.0,95.9194158397,1000.0,54.0,0.0,71.5043,95.8655353901,1000.0,45.9711,-106.318,2.59778616792,120,13.2,96.0695,99.9956828753,0.294461
