AverageReturn,AverageDiscountedReturn,StdEsReturn,AverageAbsQ,PolicyRegParamNorm,MinReturn,AverageAbsQYDiff,AveragePolicySurr,StdReturn,Epoch,AverageQ,MaxReturn,Iteration,MaxEsReturn,QFunRegParamNorm,MinEsReturn,AverageQLoss,AverageEsReturn,AverageY,AverageAbsY,AverageAction
405.34135634,182.79245224,126.291837117,109.999,38.2084,351.680057555,2.42783860063,-113.191,64.1180473891,76,109.91,593.317487936,76,382.596121652,67.5966,22.1843426843,29.6597,207.278505214,109.918864798,109.93757554,0.750379
533.451821224,199.827363581,183.338250759,111.676,38.4698,216.730682552,2.41242656694,-114.816,94.0280489743,77,111.589,610.453532702,77,503.744699597,68.1016,7.87443761561,30.8696,201.795999025,111.598468255,111.614345516,0.733925
524.423373901,199.726545344,115.379830406,112.965,38.7756,293.234975174,2.44995470518,-116.256,66.0593193155,78,112.869,604.333764262,78,418.891500788,68.5472,70.7964821207,30.8545,277.606746285,112.881902508,112.904514633,0.745784
406.41063756,184.395317434,138.488935218,115.202,39.0495,371.666757951,2.52804784941,-118.484,57.9173693168,79,115.099,584.504171236,79,494.321000169,68.9857,39.6658224968,30.9371,258.025156499,115.11622194,115.14139403,0.786247
449.880367564,184.472491239,188.080363813,116.859,39.2531,292.721869039,2.4989632356,-120.124,79.951105507,80,116.764,560.111989945,80,576.341922321,69.4507,20.7109943912,33.9536,314.034478879,116.777988035,116.801203926,0.703951
404.405831803,181.014938008,76.1523978539,118.438,39.4917,273.622937777,2.62497136008,-121.683,102.734259071,81,118.333,593.06840256,81,362.354293118,69.892,125.189880628,36.5866,269.536302244,118.33249685,118.358495856,0.740145
385.944589983,173.052125001,140.45492628,119.728,39.7677,283.794942749,2.66742760979,-123.04,86.5017257052,82,119.621,579.315424101,82,427.537623131,70.3608,24.5548338779,39.0564,290.611754187,119.646125097,119.675209093,0.772231
306.325354299,158.350126804,152.362293228,121.88,40.03,266.428936938,2.68020420089,-125.175,20.0267042494,83,121.774,389.811339193,83,512.12714214,70.8581,17.9203371932,35.6548,256.464007016,121.783577155,121.807625879,0.748957
420.964044261,183.469582815,159.506396238,123.507,40.2563,307.119600613,2.74630033034,-126.824,92.0946158475,84,123.385,602.822218193,84,576.082528266,71.2585,19.6939031577,40.7642,276.208917525,123.397959178,123.424977297,0.739702
288.514000978,153.966010945,141.754870476,125.179,40.4997,275.887966574,2.67890233694,-128.482,6.256337603,85,125.062,305.293837609,85,405.038403652,71.7242,10.5225676481,36.3508,204.029324125,125.073634261,125.101935426,0.738564
308.601303947,156.152375555,108.783748325,126.742,40.7764,282.541573224,2.82131471471,-130.051,12.2977182769,86,126.631,346.091058746,86,344.712902155,72.1855,9.72611964082,42.4841,232.421588509,126.643660369,126.669991932,0.705856
299.236215598,157.724830352,113.611722635,128.077,41.0811,289.172020705,2.8079626185,-131.313,4.73631258755,87,127.963,310.242588886,87,340.132975404,72.6823,12.452247141,39.8069,187.256414825,127.975373867,128.003815718,0.667252
288.778305071,153.832995301,92.2927449398,129.705,41.3091,280.241752241,2.83215706465,-133.017,4.7298529637,88,129.586,304.06403074,88,299.993926874,73.1251,12.4983285293,42.2531,185.687688473,129.60099243,129.625622403,0.704583
276.299319389,150.331912972,107.220678488,131.159,41.5402,264.295711855,2.81152228454,-134.496,6.75080919325,89,131.034,296.627001074,89,300.434321954,73.6537,17.0662368934,39.0374,186.462617692,131.046124445,131.075001677,0.666112
259.082036124,143.104070379,100.219670386,133.017,41.7818,247.377064447,2.89766122117,-136.219,4.7636799051,90,132.889,268.257916109,90,338.975438066,74.0487,19.4207118557,43.2024,211.584632313,132.901148893,132.934892081,0.693788
267.994668879,146.053440755,90.4330990542,134.275,42.1276,256.378745774,2.83669497938,-137.607,5.66215742766,91,134.144,281.278851478,91,309.22276773,74.4902,12.6858937144,40.2683,201.429837244,134.161113289,134.192682093,0.713724
281.930125571,152.099749671,121.00034938,135.816,42.3426,271.148157525,2.98910741908,-139.295,4.19421455207,92,135.673,294.319284799,92,316.434420322,74.9376,7.42769946894,49.425,159.101698075,135.67950463,135.708860147,0.706173
265.313833681,145.516340987,103.622518574,137.115,42.5453,258.531512876,2.97594218096,-140.438,2.87777701332,93,136.975,271.688900188,93,342.323975704,75.3284,39.6329200307,46.0154,238.708416729,136.983367851,137.014173287,0.683469
259.448845047,144.06055236,95.3862996542,138.658,42.7459,242.528581382,3.03821711568,-142.206,7.99641926814,94,138.525,280.101396081,94,305.504125692,75.8318,21.6322469121,45.7848,224.3829416,138.549212373,138.579327482,0.726554
263.495144702,146.271565059,93.9760396032,140.199,42.9674,240.869956302,3.03140521427,-143.74,6.46699534651,95,140.072,278.167923358,95,303.257759432,76.2684,11.1611948724,51.6898,202.035806469,140.084157933,140.115512619,0.721008
258.203414315,143.682503228,101.55174221,141.327,43.1535,249.129814642,3.15665979593,-144.997,4.9767994459,96,141.207,267.284274833,96,280.99436536,76.7416,12.5615854073,52.4208,168.020574079,141.221071804,141.241642484,0.756981
