AverageAction,AverageQLoss,MaxForwardProgress,MaxReturn,AverageReturn,StdReturn,AverageForwardProgress,MinReturn,StdEsReturn,AverageY,MaxEsReturn,QFunRegParamNorm,AverageDiscountedReturn,AverageAbsQ,AverageQ,MinForwardProgress,Epoch,StdForwardProgress,AverageAbsQYDiff,AverageAbsY,PolicyRegParamNorm,AverageEsReturn,MinEsReturn,AveragePolicySurr
0.88805,0.0499573,3.02708564228,226.459940684,52.5385273102,53.4784791953,1.20213450072,-29.5971375087,12.8554846379,3.61667041235,58.5176993906,24.6634,27.956141543,3.61767,3.61679,0.384942441547,80,0.554352122175,0.137797122808,3.61782541641,26.1902,37.3298121726,23.9255570872,-3.70695
0.882961,0.0483615,4.84044211377,413.342171947,148.588360946,112.074029696,2.21667847915,-0.0227700914184,48.8600183646,3.6766857244,68.5014132017,24.7337,51.7618367702,3.67738,3.6766,0.719013727225,81,1.11816026124,0.135497731556,3.67790461147,26.3191,23.7051161977,-55.4198038843,-3.75511
0.874377,0.0498964,3.04786468268,236.965521606,157.569100986,55.3483432477,2.22938109639,-9.48377214361,56.378867749,3.73785173942,170.266359171,24.8342,55.1288116557,3.73843,3.73776,0.570324971705,82,0.561690374282,0.137770642247,3.73896510163,26.4146,114.285428059,34.8065700084,-3.81554
0.902577,0.0510475,1.88785296067,120.054752091,24.7830390726,48.2600084704,0.941052829111,-44.0188427895,28.5201548705,3.79597323643,112.813526282,24.9539,18.8964067675,3.7962,3.79587,0.236580651884,83,0.476447331039,0.138354676003,3.79653645077,26.5254,71.1655728272,36.4104660472,-3.87212
0.908587,0.0489834,1.95854208823,123.587185628,46.1496239668,40.2264213436,1.14549032891,-41.9142146221,49.2888295514,3.87191895133,168.627659575,25.0464,28.4394581985,3.87231,3.87193,0.26912016666,84,0.400111782332,0.135997188464,3.87248570208,26.6194,98.9649638494,30.9561317838,-3.94749
0.900832,0.0508948,1.57791998906,87.6230907488,-0.982158773693,45.371889666,0.683109135901,-77.7702830609,45.9995966957,3.90980437091,106.413787172,25.0782,26.8511091838,3.91011,3.90982,-0.0947442658301,85,0.444686083557,0.138472321111,3.9102253684,26.7077,59.0576233161,-0.848376381628,-3.98497
0.894268,0.0510818,2.55843654165,186.4351,36.2667678742,53.8877944803,1.06009337808,-47.4954029824,26.0358609066,3.97920521644,150.327028067,25.229,28.4520775663,3.97912,3.9789,0.204660426211,86,0.532061140543,0.139620571068,3.97957893718,26.8179,108.75358265,81.2731519791,-4.04767
0.903879,0.0512141,2.64548092189,202.787949784,47.2487474599,80.2175878157,1.14073368237,-112.316003059,65.0603779318,4.03159070977,148.412194681,25.3267,35.6281015781,4.03182,4.03169,-0.434802852841,87,0.78890348409,0.13933516092,4.03184360195,26.9079,76.7569855371,-22.3162884726,-4.09438
0.899252,0.0491862,2.17015743065,153.65183952,72.9279477416,53.053457661,1.36920141679,-59.0990401356,84.3331400248,4.07006654031,194.107303286,25.4353,42.0851285489,4.0699,4.06971,0.0672186763936,88,0.525547208051,0.137677534965,4.07031255587,27.0087,110.225212465,-15.1732366502,-4.12956
0.875985,0.050565,3.87592086765,323.346725023,228.158393717,74.5319494823,2.90421874849,59.407283269,32.6791373023,4.13593133356,156.046788231,25.5167,63.4780428099,4.13623,4.13613,1.17138966082,89,0.745266075237,0.137846526941,4.13612429161,27.0947,102.828692846,71.9336916285,-4.19532
