AverageAction,PolicyRegParamNorm,Epoch,MinReturn,AveragePolicySurr,AverageEsReturn,StdEsReturn,AverageQ,AverageAbsY,StdReturn,MaxReturn,AverageAbsQ,AverageDiscountedReturn,Iteration,AverageReturn,AverageQLoss,AverageAbsQYDiff,QFunRegParamNorm,MinEsReturn,AverageY,MaxEsReturn
0.905094,35.4349,87,460.073294936,-4.05104,782.798539196,0.0,3.95719,3.95773917996,224.489319725,1141.58228861,3.95719,98.0540514227,87,754.990576704,0.0270391,0.0948690688223,34.6509,782.798539196,3.95770641565,782.798539196
0.892038,35.5766,88,307.69008746,-4.10827,326.133686983,0.0,4.02033,4.02112603727,114.874040418,701.642285368,4.02033,88.4680505827,88,466.872954661,0.0291154,0.0960447498355,34.8305,326.133686983,4.02108195686,326.133686983
0.875579,35.7569,89,568.004176373,-4.17184,451.496799918,0.0,4.08063,4.08150851069,100.971922324,912.439297766,4.08063,82.2162137946,89,694.309962302,0.0340363,0.0993836778176,35.0427,451.496799918,4.08146053372,451.496799918
0.886579,35.9584,90,570.270285227,-4.25317,499.121406414,0.0,4.15988,4.16059221695,275.713802483,1452.32476978,4.15988,130.006713452,90,991.089012766,0.0309973,0.0986170930634,35.2619,499.121406414,4.16052813276,499.121406414
0.924831,36.1936,91,533.038417519,-4.31961,593.676894003,0.0,4.23113,4.23198226289,357.677912962,1724.78691061,4.23113,114.551712927,91,1236.29453721,0.0294351,0.0977274783597,35.5275,593.676894003,4.23194140194,593.676894003
0.905001,36.4409,92,605.580681089,-4.37835,755.467787062,0.0,4.28714,4.28780190026,93.4249949268,903.853998652,4.28717,83.1202605895,92,713.922776233,0.0343864,0.101338369284,35.7677,755.467787062,4.28773399709,755.467787062
0.904728,36.5963,93,520.61433251,-4.44274,457.22777062,0.0,4.35167,4.35229369142,320.721684418,1554.64886175,4.35167,125.525317276,93,949.563412348,0.035308,0.100507630955,36.0022,457.22777062,4.35221392134,457.22777062
0.942873,36.7937,94,814.623578276,-4.51385,616.423387931,0.0,4.42898,4.42989780039,352.491139494,1786.06245758,4.42898,137.793643357,94,1394.54745641,0.0314304,0.101568534688,36.1888,616.423387931,4.42986753407,616.423387931
0.93504,36.9391,95,985.413102077,-4.58985,969.365564424,0.0,4.50188,4.50238472709,65.8096245933,1209.86923492,4.50188,100.982985123,95,1064.20412066,0.0352397,0.10317775284,36.3884,969.365564424,4.50234818652,969.365564424
0.912361,37.0529,96,790.119911025,-4.66333,949.681309649,0.0,4.57504,4.57579127898,284.649475611,1617.53808976,4.57504,134.355458131,96,1259.50900147,0.0367168,0.104347492446,36.6356,949.681309649,4.57573896394,949.681309649
0.908969,37.3224,97,488.810999777,-4.74309,522.910252185,0.0,4.65328,4.65398565184,352.105564917,1492.13090871,4.65328,115.227979123,97,865.338532035,0.0318149,0.101547162747,36.8039,522.910252185,4.65394523982,522.910252185
0.937765,37.4492,98,778.346044839,-4.7927,536.183282728,0.0,4.7029,4.7035575482,312.899958552,1796.44695064,4.7029,160.964782805,98,1570.20041934,0.0400066,0.105635161959,37.0355,536.183282728,4.7035138841,536.183282728
0.899204,37.6551,99,537.00039967,-4.86251,534.87429506,0.0,4.77327,4.77400589858,506.84743344,1915.37715621,4.77327,151.592349912,99,1180.65831022,0.0360733,0.10628212164,37.3063,534.87429506,4.77396472577,534.87429506
0.91009,37.9111,100,664.055767049,-4.90311,629.69585023,0.0,4.81376,4.81442799603,486.912270848,2103.74739518,4.81376,147.572780853,100,1245.44341284,0.0420837,0.107391000311,37.5538,629.69585023,4.81437015754,629.69585023
0.926261,38.0894,101,1195.21848973,-4.95348,547.877449159,0.0,4.86646,4.86704682043,321.078408713,2400.96731904,4.86646,178.324083141,101,2114.00096364,0.0386273,0.106559688053,37.723,547.877449159,4.86700154762,547.877449159
0.944275,38.3039,102,608.08657062,-5.06808,991.447329393,0.0,4.97842,4.97928288939,396.212627616,1658.84568358,4.97842,132.070853435,102,1232.61989279,0.0431848,0.109918382612,37.9707,991.447329393,4.97923681855,991.447329393
0.932677,38.4508,103,1272.05002265,-5.1582,1000.37262679,0.0,5.06445,5.06519893086,111.220995636,1674.86797466,5.06445,145.461734878,103,1551.75542544,0.0395324,0.108914747382,38.222,1000.37262679,5.06517189759,1000.37262679
