MinReturn,AverageAction,QFunRegParamNorm,AverageY,AveragePolicySurr,StdEsReturn,Iteration,AverageQ,Epoch,AverageAbsQ,AverageEsReturn,AverageReturn,MinEsReturn,AverageDiscountedReturn,MaxEsReturn,StdReturn,AverageAbsY,AverageQLoss,PolicyRegParamNorm,AverageAbsQYDiff,MaxReturn
493.090406864,0.90228,38.202,6.24425703068,-6.35044,0.0,101,6.24376,101,6.24376,450.719080764,1118.89821977,450.719080764,145.712166463,450.719080764,429.728905996,6.24429514029,0.0631653,40.5487,0.131919323389,1653.11261354
-394.237429749,0.878668,38.3926,6.34252119096,-6.44886,0.0,102,6.3412,102,6.3412,963.980756514,896.808338187,963.980756514,142.721849596,963.980756514,598.969420553,6.3425626192,0.0651161,40.8217,0.132477448649,1803.28770739
497.068175429,0.897308,38.6091,6.44448664745,-6.54923,0.0,103,6.44377,103,6.44377,1256.68893633,1062.45117708,1256.68893633,143.48544156,1256.68893633,412.875500177,6.44451291414,0.0550185,40.9712,0.132433168162,1802.22493007
-487.342691999,0.910367,38.7994,6.53457442732,-6.63891,0.0,104,6.5333,104,6.5333,1090.03749469,971.108327811,1090.03749469,113.840666178,1090.03749469,640.799805811,6.53462174342,0.0754498,41.1375,0.136845703658,1657.41886306
1202.76061821,0.956629,39.0164,6.59915989857,-6.70969,0.0,105,6.59857,105,6.59857,584.831405532,1787.35872046,584.831405532,165.445445766,584.831405532,218.714230099,6.59921487098,0.0743597,41.2972,0.136566911572,2046.20300473
393.353705331,0.879598,39.1729,6.68630359724,-6.79177,0.0,106,6.68526,106,6.68526,667.782350221,1004.27617237,667.782350221,140.52452096,667.782350221,427.274049353,6.68633967405,0.0695362,41.5025,0.133357033935,1687.17842006
-218.873916331,0.913297,39.3577,6.75393139936,-6.86259,0.0,107,6.75322,107,6.75322,1423.85901117,965.108603686,1423.85901117,151.784298624,1423.85901117,736.481049363,6.75394868633,0.0724505,41.7589,0.136298643426,2068.09214423
250.815187204,0.930467,39.5214,6.85971132088,-6.96157,0.0,108,6.85891,108,6.85891,445.13401851,1481.43749692,445.13401851,151.773675305,445.13401851,699.712182714,6.85974299642,0.0819149,41.9299,0.139983606078,2204.23527959
-272.123385529,0.865599,39.6802,6.92089313764,-7.02923,0.0,109,6.91999,109,6.91999,1365.04273783,369.323492952,1365.04273783,125.062416045,1365.04273783,350.924703694,6.92091932982,0.0610161,42.1881,0.131771591352,866.199258407
597.78540855,0.889901,39.8295,7.01590011326,-7.11707,0.0,110,7.01493,110,7.01493,771.546069995,1096.50561301,771.546069995,143.865471604,771.546069995,370.117851127,7.01592432849,0.090855,42.3543,0.139911742354,1633.85388693
-192.482916466,0.875434,39.9902,7.12609500733,-7.2293,0.0,111,7.12512,111,7.12512,1488.85272455,565.826845043,1488.85272455,120.606844729,1488.85272455,350.25294351,7.12614771909,0.0724872,42.5829,0.135007086257,870.801372327
568.40237943,0.910273,40.1375,7.15836801995,-7.26706,0.0,112,7.15747,112,7.15747,533.04501543,1385.92708686,533.04501543,186.097519076,533.04501543,588.951919983,7.15840733028,0.0770625,42.7977,0.134596720275,2345.08461739
-54.5585253243,0.883133,40.3406,7.20688081457,-7.31085,0.0,113,7.2063,113,7.2063,337.204438359,570.272083585,337.204438359,141.740601303,337.204438359,316.615027495,7.20692799417,0.0698489,42.9844,0.135534719044,999.019100939
-21.3085347686,0.8565,40.4895,7.27007363428,-7.37188,0.0,114,7.26896,114,7.26896,542.762230016,623.446972563,542.762230016,134.511409736,542.762230016,313.332627549,7.27013114451,0.0729495,43.203,0.135415223301,1109.57808391
86.0414422081,0.873412,40.694,7.33842478789,-7.43926,0.0,115,7.3378,115,7.3378,664.856975491,610.18532386,664.856975491,131.402287695,664.856975491,403.035200951,7.33847480059,0.103821,43.3112,0.146038410315,1550.59217496
-96.2507915801,0.859842,40.8195,7.38488688893,-7.48088,0.0,116,7.38381,116,7.38381,444.828623304,455.299059942,444.828623304,130.483833327,444.828623304,337.48436858,7.38492600732,0.074861,43.4532,0.136412697666,959.949497546
-86.637234576,0.864426,40.9882,7.47782611055,-7.57731,0.0,117,7.47687,117,7.47687,1225.26037251,347.391092781,1225.26037251,113.828294246,1225.26037251,261.082086748,7.47787809478,0.0845355,43.6792,0.138024016818,922.019974359
639.43922754,0.9112,41.1721,7.59619348508,-7.68954,0.0,118,7.59542,118,7.59542,1301.17760183,1416.43937299,1301.17760183,162.858995795,1301.17760183,483.958149776,7.59623718148,0.0764715,43.88,0.138447190045,2155.18027608
