Iteration,MinEsReturn,AverageAbsQYDiff,AverageDiscountedReturn,AverageQ,StdEsReturn,MaxEsReturn,AverageEsReturn,MinReturn,AverageAbsQ,Epoch,AverageQLoss,MaxReturn,AverageY,AverageAbsY,AverageAction,AverageReturn,StdReturn,PolicyRegParamNorm,AveragePolicySurr,QFunRegParamNorm
78,501.735060306,0.107709885101,119.688712548,3.98722,0.0,501.735060306,501.735060306,368.482919084,3.98722,78,0.0336904,1810.90559171,3.98792233947,3.98800199343,0.906826,1107.12784026,543.414343566,43.998,-4.07787,34.2201
79,1302.00772445,0.11440760221,179.430874296,4.05902,0.0,1302.00772445,1302.00772445,546.724593245,4.05902,79,0.0416681,2481.22255658,4.05976798633,4.05985607779,0.904058,1242.34285287,643.298517615,44.2283,-4.1515,34.5072
80,743.702325743,0.109185656316,73.6377061298,4.12026,0.0,743.702325743,743.702325743,389.065826265,4.12026,80,0.0349249,590.555260571,4.12083508252,4.12092860617,0.85675,446.111847741,61.120797269,44.5266,-4.21495,34.7208
81,335.756091655,0.11054210604,119.416143515,4.20196,0.0,335.756091655,335.756091655,441.464941865,4.20196,81,0.0373944,1644.79381471,4.20263114956,4.20268874466,0.904879,754.365197287,325.216552305,44.7962,-4.29987,34.9356
82,424.309936913,0.113425565078,145.259706722,4.26827,0.0,424.309936913,424.309936913,658.829868174,4.26827,82,0.0412415,1638.60889957,4.26913956414,4.26921725352,0.939284,1236.44509537,299.662883221,45.0146,-4.36513,35.1736
83,404.165229139,0.113407805352,138.942156502,4.2946,0.0,404.165229139,404.165229139,397.204994993,4.2946,83,0.0410225,1862.5272151,4.29526216872,4.29533049256,0.904599,810.45409841,412.867463056,45.2748,-4.38997,35.4211
84,427.274616471,0.111362635718,139.281105419,4.38391,0.0,427.274616471,427.274616471,348.576769023,4.38391,84,0.0328932,1836.83965251,4.38460648216,4.38465257493,0.910027,931.405065366,399.095950007,45.5312,-4.47979,35.6795
85,1126.46977038,0.115112021512,121.149406543,4.42786,0.0,1126.46977038,1126.46977038,488.367569161,4.42786,85,0.0391254,1523.31700409,4.42868646963,4.4287353799,0.935196,1045.74223604,355.128658613,45.6832,-4.52333,35.9098
86,378.268542987,0.121468818242,86.537364061,4.56682,0.0,378.268542987,378.268542987,345.004497908,4.56682,86,0.0507421,929.587011532,4.56774728064,4.56782087133,0.886187,505.796327479,159.023253925,45.9543,-4.66603,36.1319
87,1435.83681438,0.115888534574,154.582153019,4.67564,0.0,1435.83681438,1435.83681438,479.250937126,4.67564,87,0.0359048,2134.03369296,4.67637482943,4.67644879118,0.959333,1731.69296668,432.02273026,46.2293,-4.7789,36.3562
88,530.052356533,0.114989055355,147.2958725,4.75759,0.0,530.052356533,530.052356533,601.467391065,4.75759,88,0.0369172,1717.780004,4.75816367634,4.75821976057,0.939062,1176.77496694,375.702839213,46.4377,-4.85935,36.5611
89,1483.71576814,0.122054624364,152.144949669,4.84806,0.0,1483.71576814,1483.71576814,422.542661155,4.84806,89,0.0512351,1986.77255132,4.84890352634,4.84893880622,0.92314,1271.69982017,619.421204395,46.7248,-4.95364,36.8281
90,815.519921529,0.122677895196,170.847085926,4.94855,0.0,815.519921529,815.519921529,1308.20165203,4.94855,90,0.0534917,2178.94268913,4.94938054519,4.94943208476,0.963389,1885.83697522,274.258877533,46.9703,-5.05317,37.0249
91,480.07549567,0.118446598622,124.243092614,4.99641,0.0,480.07549567,480.07549567,273.961480638,4.99641,91,0.0460484,1012.94433429,4.9971854311,4.99725400063,0.896077,535.256014179,237.121958107,47.2679,-5.10276,37.1955
92,368.263047611,0.121831613063,163.784287387,5.05996,0.0,368.263047611,368.263047611,430.869706391,5.05996,92,0.0516413,2284.98005426,5.06083038355,5.06088291451,0.949172,1459.94829092,743.616277338,47.5295,-5.16233,37.4972
93,525.729910039,0.121070092582,173.520852999,5.13087,0.0,525.729910039,525.729910039,436.950555285,5.13087,93,0.0466282,2311.09169541,5.13184790188,5.1319121324,0.952437,1498.18836179,705.489210716,47.71,-5.23696,37.7151
94,1338.50254072,0.121664511047,164.795209662,5.25947,0.0,1338.50254072,1338.50254072,256.761930482,5.25947,94,0.048928,1987.4852089,5.26023654723,5.26026736537,0.927326,1004.95977408,552.486867277,47.9425,-5.3644,37.9446
95,1221.17746956,0.121703176282,143.275535777,5.36696,0.0,1221.17746956,1221.17746956,348.754304852,5.36696,95,0.0482253,1776.06067897,5.36766808913,5.3677334036,0.955568,1278.98792039,478.838611172,48.1401,-5.46844,38.1116
96,1427.19583197,0.123369491495,116.55814579,5.48814,0.0,1427.19583197,1427.19583197,247.558424817,5.48814,96,0.0565173,1504.21200292,5.48902965347,5.48909520657,0.932946,783.077746241,483.552008405,48.3374,-5.58906,38.3188
97,1435.95532544,0.126883567891,162.735737358,5.64062,0.0,1435.95532544,1435.95532544,382.911317816,5.64062,97,0.0523226,2090.25574697,5.64151728397,5.64156771452,0.949326,1400.24968904,567.042947576,48.5523,-5.74087,38.5388
98,1603.88863759,0.125955571319,115.033987061,5.72723,0.0,1603.88863759,1603.88863759,207.159116379,5.72723,98,0.057783,1482.23632744,5.72815222626,5.72821211156,0.909048,538.961449086,376.163818895,48.7779,-5.82962,38.7129
99,465.630029096,0.128447999115,163.164276085,5.72553,0.0,465.630029096,465.630029096,363.978660792,5.72553,99,0.0660074,2054.69869756,5.72643343121,5.72649633535,0.942782,1069.50204375,557.026495941,49.0771,-5.82989,38.8844
100,274.83695586,0.127905599355,161.70245096,5.78452,0.0,274.83695586,274.83695586,250.78902989,5.78452,100,0.0571532,2036.3590079,5.7856929917,5.78576395584,0.935962,1200.3981406,597.662899517,49.3211,-5.88669,39.1005
101,441.934389433,0.12348587695,155.91124976,5.82507,0.0,441.934389433,441.934389433,263.636488719,5.82507,101,0.055416,2066.9751218,5.82540482127,5.82543675075,0.93064,955.918921559,623.343674336,49.5894,-5.9245,39.2764
102,1312.95799388,0.12732227244,156.87141643,5.96993,0.0,1312.95799388,1312.95799388,386.657678416,5.96993,102,0.061834,2067.7432507,5.9711085752,5.97117094798,0.938389,1214.63937949,500.244953396,49.8397,-6.06904,39.4308
103,1624.72565482,0.128543436663,113.416541838,6.11324,0.0,1624.72565482,1624.72565482,164.978407514,6.11324,103,0.0622985,1211.93927471,6.11392962363,6.11395140198,0.908364,548.980219495,400.187807997,50.0576,-6.21643,39.6367
