AverageAction,StdReturn,MaxReturn,PolicyRegParamNorm,AverageAbsQ,StdEsReturn,MaxEsReturn,AverageReturn,AverageEsReturn,MinEsReturn,AverageAbsQYDiff,Epoch,AverageAbsY,Iteration,AverageDiscountedReturn,QFunRegParamNorm,AverageQ,AverageY,AverageQLoss,MinReturn,AveragePolicySurr
0.973268,28.4663656258,275.698936643,91.6023,11.7282,118.043639566,426.235131236,199.609221705,201.354226645,16.7342281146,0.437154629694,89,11.726037678,89,105.653664845,76.6059,11.7168,11.7192862296,0.572596,146.749274493,-12.0595
0.963362,84.8372409628,527.255299415,92.0964,11.8866,108.905194759,374.227034988,292.816641119,162.307856035,-2.121227945,0.433399128166,90,11.8834327066,90,91.7935939236,77.079,11.8743,11.8763660922,0.537668,188.342516047,-12.2081
0.959175,96.1675529277,554.793557894,92.575,11.9984,61.4510889408,258.772553191,251.443560099,188.328627674,84.2094924681,0.439553876303,91,11.9954787208,91,98.8891035355,77.4767,11.987,11.9888552667,0.555636,53.7465777529,-12.3304
0.951496,100.792948165,691.969138332,93.0874,12.0662,78.6374298805,327.143562163,268.012129958,218.668808507,70.1190871528,0.438566216327,92,12.0632621385,92,114.117532907,77.9575,12.0528,12.0562035895,0.548949,88.6024040248,-12.3942
0.949199,119.352900967,687.200551689,93.5461,12.2495,122.919734846,397.801130956,295.615076436,215.992739131,-2.28026606279,0.440300242114,93,12.2473058836,93,120.628680266,78.4433,12.2374,12.2401807807,0.545687,139.865802101,-12.5747
0.955913,121.916470351,900.145015287,94.0966,12.2853,98.4721764821,356.445899445,277.314923209,165.934953327,52.6276203718,0.440405242716,94,12.2844466273,94,129.264117886,78.8952,12.274,12.2769040075,0.531794,132.690182943,-12.6227
0.951762,241.493785363,1444.40864952,94.6299,12.463,136.413212013,406.540014464,409.237827739,196.796528988,29.1931558229,0.45044638754,95,12.459483321,95,141.507735732,79.4039,12.4498,12.4517270307,0.604448,88.5189219426,-12.7889
0.952186,4.96595838717,130.450914059,95.1106,12.5256,93.7378028854,366.316846113,121.791099641,202.584700296,22.8541182557,0.444864777793,96,12.5246060967,96,87.5252958607,79.8865,12.5157,12.5180671093,0.542885,98.3253612263,-12.868
0.948226,63.5620293448,519.932518037,95.5578,12.6096,81.2173655444,290.336478557,178.332932776,130.572804296,-0.95655046532,0.452432466605,97,12.608069473,97,108.674820225,80.3693,12.5989,12.601948081,0.650215,112.513143182,-12.94
0.934372,20.7180646686,183.874623048,96.1007,12.7724,51.1247870836,221.824897161,88.3248338021,140.256261527,53.7238563397,0.461750748676,98,12.7704622329,98,63.6650331952,80.8515,12.7617,12.7640773064,0.645084,49.2720403089,-13.1093
0.955421,7.33792366816,133.952262695,96.5965,12.8495,86.1996522068,320.467229732,120.529474105,151.821914403,-0.689964512471,0.451464809775,99,12.8473171608,99,87.1913590675,81.3012,12.8384,12.8409147292,0.574655,101.198817018,-13.2022
0.938455,108.906763172,732.761413284,97.1561,12.9254,85.5175731841,315.501080824,168.379783017,139.287427205,-6.08352136006,0.457286907586,100,12.922518952,100,96.6567083323,81.7892,12.9136,12.9161911667,0.612373,84.5103713865,-13.2924
0.959973,171.682126465,866.615762744,97.6187,13.0877,199.002687775,677.518854044,311.162063324,191.109972227,-0.5840257802,0.460801675786,101,13.0856037632,101,138.096304138,82.1634,13.0775,13.0806753025,0.566623,118.697280315,-13.4446
0.956245,122.975847231,914.782605164,98.0756,13.2248,131.916667142,364.498808285,196.407258641,153.014566765,0.653545075218,0.469777815516,102,13.2224129726,102,107.151773191,82.71,13.2152,13.218398969,0.642761,105.334893663,-13.5671
0.951658,117.732549389,743.849435466,98.5776,13.3426,127.324186834,400.803454483,243.080882469,186.751988701,6.22131722616,0.476304554907,103,13.3396920241,103,115.827801014,83.1927,13.333,13.3353858041,0.635605,113.738459032,-13.7095
0.954199,162.367095577,878.47750959,99.13,13.4212,79.1187283841,243.450571597,311.782925194,112.684935223,-3.46717383033,0.469450977577,104,13.4181249981,104,114.234931407,83.6847,13.4104,13.4133062819,0.64697,43.8295661174,-13.7835
0.953842,177.944631007,1000.29914088,99.5986,13.5073,97.2798538656,405.408766085,292.093793634,233.456193233,119.596157206,0.484891682205,105,13.5068408939,105,87.4545110452,84.1485,13.4976,13.5021735338,0.72752,88.515559092,-13.8661
0.95334,84.3070752664,472.561180479,100.015,13.6261,98.2210606337,378.682729357,184.280784854,232.94768052,108.84174845,0.477257986659,106,13.6229309626,106,104.353961738,84.5394,13.6152,13.6181779477,0.65216,114.900921483,-13.9728
0.947596,182.564453767,934.961613435,100.459,13.6766,59.1247843068,353.353259265,244.378085978,235.88557907,154.441538154,0.47336903937,107,13.6740089556,107,90.8215596796,84.9421,13.6649,13.6682563282,0.616592,4.2018483751,-14.0286
0.955725,132.917274126,751.528593845,100.951,13.8063,68.7211488703,271.780069169,268.105621523,126.50283351,0.73315899685,0.494399371976,108,13.8054349874,108,118.921066413,85.4173,13.7971,13.8012537743,0.757986,121.712536552,-14.149
0.953642,121.866281153,675.613162499,101.423,13.8082,96.4268915216,276.912756355,243.245064379,135.128613484,2.19089166012,0.478202466013,109,13.8044466902,109,119.191180927,85.7831,13.7965,13.7999500885,0.656286,-14.4252436022,-14.1511
0.953559,99.5239025903,682.389967884,101.896,13.982,65.8506953054,290.403810446,168.682462354,171.031923409,91.0008961533,0.488778146122,110,13.9787611548,110,100.65876519,86.2065,13.9712,13.9743148255,0.7168,112.986298827,-14.3181
0.955711,95.7145798567,706.416613713,102.377,14.0664,215.517310658,745.684711808,201.319171947,294.051665389,112.337742073,0.48859536344,111,14.0630357941,111,106.373094606,86.6594,14.0573,14.0590083902,0.735635,99.9176006058,-14.3968
0.944023,100.924037777,652.259708996,102.804,14.1464,110.65977682,321.559593116,212.872065178,172.504205906,1.65839501841,0.499082099098,112,14.1449265491,112,105.597137203,87.078,14.1364,14.1397727563,0.754774,71.5964081081,-14.4997
0.944399,150.503438178,819.776110643,103.316,14.2505,91.0763617544,316.135147786,277.871752554,123.114649482,-3.66198446118,0.48754441251,113,14.2466657178,113,117.645388946,87.4842,14.239,14.2422907272,0.707881,53.4685132667,-14.5961
0.958867,107.323799568,652.949381471,103.807,14.3633,121.302681053,399.493882958,171.701878134,118.646602193,-9.54178487131,0.504894529104,114,14.3604328221,114,81.8896424856,87.8554,14.3518,14.3550513354,0.764126,5.24984840808,-14.6951
0.954724,214.361505205,1010.66984654,104.236,14.3748,247.231920637,765.216220938,256.709918817,283.847061265,40.495743136,0.505857505682,115,14.3731024775,115,98.1982748927,88.2229,14.3629,14.3673111023,0.816513,22.5136520429,-14.7015
0.961431,133.985957593,734.372340651,104.731,14.3989,126.047083314,375.122984405,251.603080405,221.369009944,54.1720201847,0.511320564173,116,14.3959241798,116,124.032498309,88.674,14.3866,14.3889459399,0.820122,121.911439803,-14.7405
0.957359,73.4697863574,457.914715556,105.05,14.5761,125.718829367,353.443565241,164.242489282,159.636773989,-3.83083418931,0.488175637841,117,14.5725532676,117,99.4469816605,89.05,14.5635,14.5661327553,0.679392,108.556836005,-14.9171
0.971274,105.447594267,667.502070576,105.518,14.6336,107.864808373,346.09126187,208.931808747,167.522704521,-1.80169650718,0.505462519708,118,14.6300651915,118,97.9417603157,89.4829,14.6221,14.6250696281,0.799113,54.851227998,-14.9904
