AverageQ,AveragePolicySurr,StdEsReturn,MaxReturn,AverageAbsY,QFunRegParamNorm,AverageAbsQ,MinEsReturn,Epoch,Iteration,MinReturn,PolicyRegParamNorm,AverageAction,AverageEsReturn,AverageReturn,AverageY,AverageDiscountedReturn,StdReturn,AverageQLoss,AverageAbsQYDiff,MaxEsReturn
2.55527,-2.63396,0.0,650.805819774,2.55580729242,29.6176,2.55527,365.644428926,70,70,516.029505785,32.8013,0.892525,365.644428926,579.650098459,2.5557619624,83.8896790434,41.1006096703,0.0145909,0.0728828345782,365.644428926
2.59666,-2.67471,0.0,1228.49068545,2.59711131744,29.8797,2.59666,525.412052383,71,71,499.556596075,33.0988,0.862309,525.412052383,902.275062813,2.59705892123,103.695413656,212.834343904,0.0160506,0.0730957053965,525.412052383
2.65068,-2.72936,0.0,1380.37042789,2.65133428527,30.1752,2.65068,537.391953596,72,72,755.730222017,33.2854,0.862339,537.391953596,1036.14392966,2.65127740482,107.116253741,197.330743475,0.0156483,0.0733974120036,537.391953596
2.69956,-2.78204,0.0,830.301972028,2.70010696224,30.3936,2.69956,421.884767979,73,73,530.561503245,33.5773,0.882003,421.884767979,647.554111992,2.70002246607,86.8292563829,98.2627432169,0.016635,0.0746925373453,421.884767979
2.74604,-2.82522,0.0,709.439946922,2.74673051566,30.6524,2.74604,327.872462607,74,74,520.918262768,33.7749,0.812728,327.872462607,614.810405231,2.74666546429,61.5976125181,63.7157944917,0.0167891,0.0749220940862,327.872462607
2.7974,-2.87875,0.0,1240.81583404,2.79791970873,30.9141,2.7974,401.332047043,75,75,597.113528011,33.9814,0.858469,401.332047043,947.699183033,2.79785726714,107.620040958,219.172891206,0.0173948,0.0753357411389,401.332047043
2.84482,-2.93015,0.0,1412.1549689,2.84552834124,31.1491,2.84482,542.578659595,76,76,582.03243373,34.1735,0.854006,542.578659595,939.939986523,2.84549436119,119.386508429,265.185846461,0.0169689,0.0759020751967,542.578659595
2.89532,-2.97432,0.0,1595.6695785,2.89592375261,31.3842,2.89532,443.377498782,77,77,1057.24615372,34.4253,0.825604,443.377498782,1350.38547136,2.89589811737,126.800227147,180.94809188,0.016182,0.0749908321703,443.377498782
2.95315,-3.03408,0.0,1710.47053724,2.95366272158,31.638,2.95316,489.1763618,78,78,956.895381696,34.7095,0.83058,489.1763618,1430.77360851,2.95360018125,109.176507854,208.445649598,0.0168674,0.075988159063,489.1763618
3.00753,-3.09403,0.0,1319.06185315,3.00817139808,31.8763,3.00755,577.056410276,79,79,648.833579494,34.9492,0.869107,577.056410276,1069.50134139,3.00808535631,103.650338208,250.289874333,0.018236,0.0773169697569,577.056410276
3.08233,-3.17016,0.0,1415.61074824,3.08308286678,32.1298,3.0824,922.781021196,80,80,616.091997395,35.1746,0.868499,922.781021196,1145.59741507,3.08300983322,101.118003773,235.29655959,0.0196045,0.0803110497571,922.781021196
3.14099,-3.22985,0.0,981.595689873,3.14166043438,32.371,3.14099,446.065962042,81,81,775.740882687,35.4265,0.895616,446.065962042,876.943792942,3.14160416011,83.2065623993,71.0870456992,0.0203244,0.0787592493129,446.065962042
3.20423,-3.29415,0.0,937.086796914,3.20483388792,32.5738,3.20423,574.091028911,82,82,364.247672501,35.6149,0.884893,574.091028911,701.196790049,3.20477934476,73.3570046787,190.799230557,0.0193258,0.0801657052217,574.091028911
3.26333,-3.35421,0.0,1294.0908401,3.26405213037,32.8576,3.26333,606.646986289,83,83,518.96655651,35.8382,0.889428,606.646986289,972.278010126,3.26397219091,102.188405937,226.874160522,0.0226968,0.083731111335,606.646986289
3.32637,-3.41839,0.0,1042.39226716,3.32700798222,33.0579,3.32639,366.041623742,84,84,484.435591858,36.1207,0.910154,366.041623742,662.582359695,3.32695559198,83.567609543,203.223365604,0.0187994,0.0814102447853,366.041623742
3.39571,-3.49016,0.0,820.623467692,3.39643041246,33.2691,3.39572,437.128670584,85,85,514.548634098,36.3789,0.866589,437.128670584,634.066345756,3.39638559109,63.6105060253,95.5391574359,0.0196033,0.0816144394093,437.128670584
3.4883,-3.58447,0.0,911.634330088,3.48929750596,33.4814,3.4883,1011.76064754,86,86,548.514130521,36.5789,0.912038,1011.76064754,750.441218282,3.48924850389,106.297820388,122.753978019,0.0250296,0.0858582138999,1011.76064754
3.55977,-3.6604,0.0,1956.06440564,3.56031870774,33.7087,3.55977,856.772294133,87,87,1681.74950749,36.83,0.884186,856.772294133,1810.20784807,3.56028697732,152.982587094,90.0020246571,0.0217315,0.0844867565314,856.772294133
3.6382,-3.73617,0.0,1320.82672287,3.6389913754,33.9607,3.6382,516.596601852,88,88,587.165880086,37.0706,0.898601,516.596601852,790.523817605,3.63894423465,104.603978837,222.615335692,0.0213604,0.0850907758167,516.596601852
3.69808,-3.79449,0.0,1560.06405989,3.69885565679,34.2189,3.69808,558.187601891,89,89,658.188898774,37.2888,0.896482,558.187601891,1092.02605089,3.6987936357,110.486874497,342.007585522,0.0266044,0.0879757668242,558.187601891
3.75016,-3.84363,0.0,1648.69155684,3.75115166017,34.4735,3.75016,519.544847825,90,90,449.161094564,37.4958,0.89818,519.544847825,1019.59641838,3.7510995667,127.970345824,366.080361343,0.0250683,0.088862635558,519.544847825
3.80839,-3.89959,0.0,1843.82711952,3.8090479196,34.7267,3.80839,479.661333461,91,91,1360.38550293,37.6686,0.883041,479.661333461,1709.2115533,3.80900037572,142.906706785,129.098726281,0.0247905,0.0885574540894,479.661333461
3.893,-3.9843,0.0,1795.27490512,3.8937328993,34.9724,3.89302,1125.91446012,92,92,703.171847708,37.9192,0.867055,1125.91446012,1275.80600799,3.89368393047,153.659849814,424.248453423,0.0281023,0.0905509728687,1125.91446012
3.95249,-4.04672,0.0,1757.84471844,3.95332980159,35.1845,3.95252,545.657719393,93,93,1475.85588167,38.095,0.896197,545.657719393,1605.73700641,3.95324482839,145.698622787,95.5778225015,0.0245206,0.0893865026693,545.657719393
4.01111,-4.10654,0.0,1348.51257005,4.0118657831,35.3705,4.01111,614.046471273,94,94,427.706330862,38.3822,0.892053,614.046471273,939.751498781,4.0118119955,113.987394809,294.163429242,0.0239171,0.0904448171577,614.046471273
4.09511,-4.19206,0.0,1226.80270721,4.09599840645,35.6172,4.09511,487.643490342,95,95,781.941150964,38.5702,0.874702,487.643490342,1051.85761712,4.09595287456,105.846176736,131.583914283,0.0285038,0.0944924868179,487.643490342
4.17446,-4.27279,0.0,1435.42703281,4.17523848517,35.8152,4.17446,1030.84036776,96,96,767.138205718,38.7544,0.896414,1030.84036776,1188.6191095,4.17519966063,121.989500621,243.235932583,0.0307547,0.0940896888092,1030.84036776
4.26033,-4.35763,0.0,1562.20461435,4.26107987232,36.0617,4.26033,757.267965804,97,97,1294.77264124,38.9259,0.876259,757.267965804,1456.67529816,4.26105203705,123.32355957,92.880991962,0.0252746,0.0909031562995,757.267965804
4.33374,-4.43471,0.0,1466.98046154,4.33447483796,36.2713,4.33377,906.514713031,98,98,710.218490788,39.1747,0.926147,906.514713031,979.893610448,4.33443918047,131.989213057,205.401179936,0.0310513,0.0958163104758,906.514713031
4.40671,-4.51187,0.0,1885.23765862,4.40773543914,36.47,4.40671,445.963844527,99,99,823.993182957,39.3793,0.8928,445.963844527,1587.13509299,4.40767842725,153.723005439,328.429346611,0.0336978,0.0975248872953,445.963844527
4.46506,-4.5642,0.0,1745.43086996,4.46585317676,36.6903,4.46506,706.80405713,100,100,793.361054304,39.5592,0.91031,706.80405713,1089.41741378,4.46580469977,133.769872049,264.623766074,0.0350281,0.0977973579455,706.80405713
4.52426,-4.62564,0.0,1495.99359936,4.5250391454,36.8725,4.52426,615.299206463,101,101,461.374311518,39.7504,0.915996,615.299206463,838.61871881,4.52499458637,92.6967200945,355.568578048,0.0289938,0.0949720243523,615.299206463
4.62408,-4.72454,0.0,1612.22471103,4.6250215525,37.0388,4.62408,599.969559862,102,102,1211.06410087,39.9847,0.904167,599.969559862,1386.15207331,4.62497785342,115.509979719,135.606895356,0.0366854,0.100946411428,599.969559862
4.69766,-4.7978,0.0,1556.85889465,4.69858647919,37.1842,4.69766,550.866143282,103,103,631.498901232,40.1721,0.915934,550.866143282,1064.87832492,4.69854725864,111.174322871,287.045415546,0.035224,0.100842609255,550.866143282
4.77388,-4.87563,0.0,1380.57657845,4.77481064876,37.3839,4.77388,706.742777049,104,104,590.71961061,40.3912,0.918884,706.742777049,897.805501668,4.7747638027,121.17515251,219.440926756,0.0376252,0.101934442241,706.742777049
4.8488,-4.94789,0.0,1650.88115267,4.84971636432,37.5877,4.8488,1301.16766017,105,105,714.60161965,40.5972,0.926111,1301.16766017,1138.95911084,4.8496526389,141.62570594,311.261694023,0.0381274,0.102857509184,1301.16766017
4.94773,-5.04731,0.0,2057.51884137,4.94868883244,37.734,4.94773,842.40668511,106,106,778.732705301,40.7484,0.911507,842.40668511,1275.29358544,4.94865220704,157.325874939,435.995363644,0.0343053,0.100193671053,842.40668511
5.01704,-5.12015,0.0,899.004731937,5.01768435752,37.8895,5.01704,1063.49299441,107,107,552.03344795,40.9741,0.921306,1063.49299441,755.215685838,5.01765008773,123.340529772,108.066256283,0.0377695,0.102466241676,1063.49299441
5.08399,-5.19109,0.0,1980.53724911,5.08489405874,38.1347,5.08399,516.13886038,108,108,-443.698533724,41.1889,0.939144,516.13886038,1206.4978988,5.08482517539,123.843051333,710.053041853,0.0405344,0.10562513313,516.13886038
5.16677,-5.2722,0.0,1380.61364381,5.1676979044,38.2679,5.16677,620.314200819,109,109,632.005345738,41.4485,0.921515,620.314200819,1036.97824657,5.16766950094,121.454487934,272.395940358,0.0356102,0.102014147979,620.314200819
5.24492,-5.34867,0.0,2305.32656908,5.24573573491,38.4733,5.24492,1201.9189471,110,110,2040.15567139,41.584,0.939479,1201.9189471,2167.31169629,5.24567954157,180.613827318,92.2382470534,0.0419395,0.105920410988,1201.9189471
5.33779,-5.43982,0.0,2112.89729744,5.3387243675,38.6908,5.33779,556.606227363,111,111,567.721971337,41.8111,0.925251,556.606227363,1689.38465056,5.3386764055,160.719106996,484.298124341,0.0429875,0.109367298768,556.606227363
5.41712,-5.52204,0.0,2238.2708352,5.41801325479,38.9208,5.41712,1403.63237365,112,112,1542.29088484,42.0122,0.92151,1403.63237365,1910.4591036,5.41797389056,174.111807757,234.8707362,0.0416143,0.107395342307,1403.63237365
5.49919,-5.60652,0.0,1442.76611619,5.50005174087,39.0672,5.49919,608.24843271,113,113,616.285223123,42.1463,0.919351,608.24843271,934.422489591,5.50001982093,110.585302304,261.611342859,0.044484,0.111130976586,608.24843271
5.54629,-5.64599,0.0,1350.4277688,5.5472588092,39.2567,5.54629,1266.8823137,114,114,617.281268327,42.3738,0.916799,1266.8823137,902.298484224,5.547214124,124.491350976,255.909491403,0.0502913,0.109599556343,1266.8823137
5.63257,-5.73492,0.0,1478.99566093,5.63337099848,39.4546,5.63258,429.365137579,115,115,1012.28785315,42.555,0.92354,429.365137579,1206.38213868,5.63331932448,109.030093888,134.636132416,0.0571128,0.111719414177,429.365137579
5.68873,-5.79506,0.0,1217.24032557,5.68992346397,39.623,5.68873,523.484466948,116,116,626.249927153,42.7695,0.919149,523.484466948,866.528379721,5.68988944341,124.756183668,189.090276394,0.0470035,0.109836163487,523.484466948
5.76225,-5.86503,0.0,1924.08592612,5.76287811909,39.8101,5.76225,958.495372917,117,117,712.481129025,42.9431,0.925048,958.495372917,1181.77287384,5.76281260742,149.212226358,415.845881719,0.0488886,0.110804897536,958.495372917
5.83026,-5.92893,0.0,2032.01285415,5.83105493443,39.9748,5.83026,643.292676592,118,118,821.683618224,43.1106,0.911525,643.292676592,1459.23030594,5.83101658031,160.555686066,417.736347951,0.0416701,0.10817517166,643.292676592
