AverageDiscountedReturn,QFunRegParamNorm,AveragePolicySurr,MinReturn,MaxReturn,Epoch,StdReturn,AverageAbsQ,AverageAbsQYDiff,AverageAction,AverageEsReturn,AverageY,PolicyRegParamNorm,StdEsReturn,AverageReturn,MaxEsReturn,AverageQLoss,MinEsReturn,AverageQ,Iteration,AverageAbsY
80.2983841717,95.5768,-77.7484,126.0,235.0,100,25.2978282244,71.0768,1.91022628527,0.270219,16.0483870968,70.9853716125,50.1517,16.4036064282,164.770491803,99.0,26.0015,3.0,70.9771,100,71.0159972976
80.5286484288,96.175,-78.5891,126.0,281.0,101,29.8253628795,71.9417,1.92986536806,0.375323,13.8767123288,71.8349427361,50.573,10.0204519701,166.295081967,54.0,27.2234,3.0,71.8299,101,71.8857150189
90.2840027816,96.7767,-79.4116,154.0,480.0,102,68.0758141948,72.2821,2.02173343835,0.312486,13.4133333333,72.1779847129,50.812,11.1344430585,249.975609756,68.0,29.6091,3.0,72.1695,102,72.2254413839
93.8610034762,97.3797,-80.2198,195.0,427.0,103,62.9080053956,73.4529,1.98249707671,0.380065,14.231884058,73.3371987884,51.1583,13.4822964194,295.8,77.0,28.1973,2.0,73.3329,103,73.3916474956
89.7487971221,97.7938,-81.438,138.0,404.0,104,67.9452836516,74.326,1.93408455056,0.302696,15.2272727273,74.2137300986,51.4758,11.6069407847,247.219512195,54.0,27.779,3.0,74.2078,104,74.2694880793
98.0374232771,98.3977,-82.1698,227.0,1000.0,105,248.947590965,75.2885,1.93508604986,0.161123,15.0149253731,75.1836990498,51.7612,14.5842815994,566.210526316,82.0,29.0895,3.0,75.1774,105,75.2302158827
76.4259975538,98.9007,-83.1794,126.0,201.0,106,16.0425709172,75.9066,1.96268046299,0.230219,15.3538461538,75.7981554319,52.0957,12.4806690763,144.914285714,60.0,28.8907,3.0,75.7972,106,75.8436588004
99.9956828753,99.4998,-83.955,1000.0,1000.0,107,0.0,76.813,2.03796484775,0.48285,15.4461538462,76.7151666388,52.3534,13.9879407064,1000.0,64.0,29.8786,3.0,76.7047,107,76.7589844244
96.4561945566,99.9549,-85.0186,212.0,776.0,108,136.948339286,77.7109,2.00962030175,0.23341,18.0181818182,77.5929029741,52.6551,14.1157435113,395.807692308,67.0,28.7924,3.0,77.5894,108,77.6313296597
99.9733147627,100.515,-85.8296,596.0,1000.0,109,116.141834064,78.5236,2.02745364592,0.252465,16.8474576271,78.4310802225,52.9153,12.4965263775,963.272727273,53.0,30.9831,3.0,78.4236,109,78.4658357933
99.8933694983,100.953,-86.7057,494.0,1000.0,110,172.558927133,79.2818,2.03844640117,0.260847,16.4166666667,79.1690009481,53.3133,12.8443134845,834.5,60.0,31.9355,3.0,79.1641,110,79.2080351146
99.2444028536,101.475,-87.7088,316.0,1000.0,111,271.782260162,80.2006,2.07397006467,0.275807,19.8431372549,80.0794032792,53.6159,14.7187655986,756.785714286,71.0,32.5491,3.0,80.0779,111,80.1261687702
99.9956828753,101.811,-88.3588,1000.0,1000.0,112,0.0,80.8721,2.07300250275,0.290813,15.0,80.7749692467,53.8524,15.3114720543,1000.0,84.0,32.2642,3.0,80.7611,112,80.8073662983
92.6914179317,102.607,-89.1596,149.0,582.0,113,84.9645111989,81.6783,2.08294664216,0.253135,14.9848484848,81.5696381345,54.0222,13.9864571122,287.057142857,62.0,33.5806,3.0,81.5732,113,81.607429668
99.8135155999,103.204,-89.974,392.0,1000.0,114,190.96349273,82.3125,2.12483999978,0.251655,15.3636363636,82.1793715297,54.3048,12.9294547023,872.666666667,53.0,34.2069,3.0,82.1759,114,82.2152963366
