AveragePolicySurr,QFunRegParamNorm,MinReturn,Epoch,MaxEsReturn,MaxReturn,MinEsReturn,AverageY,PolicyRegParamNorm,AverageAbsQ,AverageAbsQYDiff,AverageAction,AverageDiscountedReturn,AverageQLoss,AverageEsReturn,Iteration,AverageQ,AverageAbsY,StdEsReturn,StdReturn,AverageReturn
-65.9974,50.9055,669.18273374,106,-188.188806259,865.015079516,-188.188806259,64.5711143488,38.1655,64.5807,1.34290655757,0.0784722,82.0542856121,6.26657,-188.188806259,106,64.565,64.5773289255,0.0,63.9882473302,761.085005862
-66.5069,51.1825,739.15690984,107,-277.864413706,839.156231836,-277.864413706,65.0318860009,38.3143,65.0355,1.34737020741,0.0611605,79.1209118121,5.81516,-277.864413706,107,65.027,65.0354216419,0.0,29.6881821993,816.293866413
-66.9973,51.4446,773.188438745,108,-19.1925218405,878.944848496,-224.378350097,65.5381941464,38.4803,65.5403,1.3167571175,0.0888985,84.9590952194,5.3075,-121.785435969,108,65.5313,65.5415133555,102.592914128,31.7476245165,840.308834483
-67.5485,51.6648,825.257141965,109,-335.444676503,976.694991791,-335.444676503,66.0841523105,38.6275,66.0916,1.32252139633,0.0514178,88.1972335658,5.12223,-335.444676503,109,66.0784,66.0884856794,0.0,40.9496351758,886.678049442
-67.8968,51.9174,748.847159212,110,-290.677853351,843.262504453,-290.677853351,66.418917265,38.78,66.4206,1.34220113112,0.0673037,80.1954803268,5.3935,-290.677853351,110,66.41,66.4220451948,0.0,26.1672383559,808.437328972
-68.43,52.1031,720.79978991,111,-282.974979712,921.997172346,-282.974979712,66.9583330995,38.9165,66.9662,1.3256699065,0.0425705,86.5910963021,5.29535,-282.974979712,111,66.9529,66.9616388646,0.0,73.931258731,844.847387017
-69.01,52.3879,765.882649035,112,-153.735000267,841.485091481,-249.738509706,67.4842531932,39.0224,67.4862,1.34593080655,0.0540136,74.7415316776,5.5206,-201.736754987,112,67.4773,67.4881730778,48.0017547192,21.0658573146,779.486894627
-69.5102,52.624,819.150720475,113,0.536804315178,865.325535961,-229.768901722,67.9814436245,39.181,67.9868,1.34089995787,0.0404729,84.110834385,5.79472,-80.3567812574,113,67.978,67.9834494414,88.3986759263,11.9247982132,847.130573587
-69.9008,52.8595,161.292203757,114,-24.1473105511,792.580462217,-185.091797638,68.4181933297,39.3279,68.4217,1.3491973038,0.0810239,79.5005354674,5.65876,-104.619554095,114,68.4086,68.4220810141,80.4722435436,169.441367799,672.695013214
-70.3998,53.1007,9.78873116254,115,-12.7758088677,1086.74206745,-45.2171296222,68.9348238848,39.4437,68.9436,1.39717604044,0.0544819,86.7177990788,6.34096,-26.4317244759,115,68.9275,68.9424916399,13.7318017819,291.394842522,897.043555991
-70.8892,53.3387,733.333681842,116,-224.016526183,847.849778737,-224.016526183,69.4341844483,39.6255,69.4411,1.33730986245,0.0631271,81.9326676665,5.71491,-224.016526183,116,69.4284,69.4403054019,0.0,29.1826936868,797.675975579
-71.3625,53.5753,238.256570148,117,-3.37231509607,937.462384181,-159.047971757,69.8701941978,39.7738,69.8727,1.3387862244,0.0516069,90.7674871285,5.73688,-66.5320231268,117,69.8622,69.8744484987,59.0326156406,185.254873156,808.595907416
-71.826,53.7643,41.1871517221,118,-152.353667461,963.871348735,-152.353667461,70.3374021012,39.9329,70.3404,1.34726855461,0.0624356,83.5371593277,5.58289,-152.353667461,118,70.3308,70.3407421277,0.0,282.94916238,725.268899497
