Epoch,AverageQ,AverageForwardProgress,MinForwardProgress,MaxEsReturn,AverageAction,MaxReturn,StdForwardProgress,AverageAbsY,StdReturn,AverageQLoss,MaxForwardProgress,PolicyRegParamNorm,AverageAbsQYDiff,AverageY,AverageEsReturn,StdEsReturn,QFunRegParamNorm,AverageAbsQ,MinReturn,AverageDiscountedReturn,MinEsReturn,AveragePolicySurr,AverageReturn
59,0.260831,0.0264799665131,-0.265999639697,62.6926953443,0.949038,50.4104424762,0.103139850978,0.260909975577,13.029769253,0.000222566,0.273288909993,24.1973,0.00846001798447,0.260854679613,42.0028996814,16.7677982215,37.8086,0.26098,-16.6584275602,13.7351773524,2.32651882002,-0.266697,19.6055192224
60,0.264875,0.00340941377643,-0.298329160969,43.2572242659,0.975728,53.0452053278,0.0995502990923,0.264925883244,12.7775086316,0.000260546,0.279271927157,24.2555,0.00884102264789,0.264866377661,13.3880467992,14.2887817077,38.2229,0.265032,-21.8519121999,11.781032442,-13.8122514596,-0.268939,15.9308829847
61,0.266898,0.0479723279176,-0.23865556457,43.1635552608,0.971531,62.3061831268,0.120314148696,0.266959601854,15.5978291112,0.000244625,0.341337083609,24.2989,0.00873795514232,0.266901580351,19.9905469448,11.0974754705,38.6209,0.267048,-12.3608511476,15.1171941896,4.32545464234,-0.27043,24.19680657
62,0.268394,0.190013282848,-0.0254764952826,61.5359022395,0.96506,64.1012056952,0.0722473853107,0.268463346986,9.25543305287,0.000269122,0.378290112086,24.4189,0.0090442749326,0.268408186779,34.8162138159,19.8757011595,38.9856,0.268538,16.1971857419,23.6299033878,-5.00195472332,-0.274263,41.2653628691
63,0.272593,0.224305402517,0.0102319880354,65.2785191617,0.981101,62.5517773001,0.0586748268381,0.272653235603,6.94196377773,0.000292941,0.357294897606,24.497,0.00930160895401,0.272583390442,46.1841410559,11.8277771058,39.3703,0.272752,21.2222574582,26.0782467511,18.2147558772,-0.27609,45.343880439
64,0.27472,0.215186564274,-0.0267655835858,64.9693797701,0.971822,64.8877764421,0.0737598896416,0.274778518619,9.25510609362,0.000284354,0.365110466618,24.5758,0.00915846096723,0.274731586548,45.7777450744,17.0059493041,39.7152,0.27485,16.3260022573,25.2132671702,5.42173060264,-0.277765,45.6982862482
65,0.276458,0.00951485854984,-0.324198258381,85.0053958601,0.982728,68.3835261038,0.183563946384,0.276545864685,23.8924969665,0.00027935,0.386439076519,24.691,0.00921357453851,0.276471702477,47.629681346,17.859050362,40.0702,0.276621,-23.5433221708,13.0456519687,21.1580997655,-0.280158,19.9630703321
66,0.278457,0.135652981792,-0.489337948174,39.2296916908,0.971588,81.8515509902,0.180895628767,0.278527822324,23.3194634633,0.00027865,0.488721647455,24.7793,0.00924783014518,0.278457552694,16.3906700818,18.0966376105,40.3765,0.278602,-44.2220703897,21.9413376044,-11.7234342908,-0.28192,36.2665892431
67,0.279917,0.284750907293,-0.109492499419,77.2288835111,0.972279,81.5717865998,0.119576132032,0.280002006547,15.1512767201,0.00026825,0.492756534794,24.8709,0.00937504380048,0.279922094428,24.3876469647,34.9064370371,40.7653,0.28008,4.96548451636,30.6283961813,-39.4570867877,-0.283658,55.0436628043
68,0.282415,0.0413142184514,-0.303843155107,63.4013266566,0.975853,79.6270013674,0.190617224728,0.282520088887,24.608833875,0.000304848,0.472567229128,24.9779,0.00965006002781,0.282418646986,34.7627756968,21.3503558724,41.1466,0.282607,-20.6432291456,15.5556095393,0.606705507483,-0.286644,23.493556076
69,0.285222,0.396742640809,0.304122655009,75.3131865101,0.963554,81.6618173615,0.0368107749181,0.28534392413,5.34249364429,0.000287521,0.50155599484,25.0713,0.00955790128801,0.285223683837,53.2130303814,21.1396864864,41.5333,0.285444,53.6885349872,39.2019317417,17.0729993644,-0.291345,67.8254365598
70,0.290245,0.0962714892322,-0.144024974124,72.0762893643,0.976965,51.8221714759,0.0881037503269,0.290358241313,11.5158192351,0.000300237,0.259346776134,25.1822,0.00987289632104,0.290248966028,49.4710748562,17.5552412967,41.9085,0.290467,-3.14795429059,17.2380164901,18.8499133299,-0.295945,31.0199636114
71,0.293841,0.317954212269,0.071704449927,74.8950282922,0.975041,76.9735149948,0.078583941346,0.293980253626,9.82392773721,0.000320697,0.452843795774,25.3028,0.0100233237498,0.293841998867,45.2560332326,18.5832486512,42.2759,0.294094,27.4780305551,33.5387970118,3.58740230607,-0.298532,59.1293498554
