PolicyRegParamNorm,AverageY,QFunRegParamNorm,AverageEsReturn,AverageQLoss,Iteration,AverageQ,MaxReturn,AverageReturn,Epoch,AverageAbsY,MaxEsReturn,AverageDiscountedReturn,MinEsReturn,AverageAbsQYDiff,StdReturn,AverageAction,AverageAbsQ,AveragePolicySurr,MinReturn,StdEsReturn
38.2789,6.61169079528,34.1148,1250.9879613,0.082724,74,6.6102,3203.78156036,2890.38951613,74,6.61171850138,1250.9879613,261.455532254,1250.9879613,0.145649087224,729.208428978,0.935329,6.6102,-6.77464,709.118503701,0.0
38.556,6.80130553059,34.3239,2023.33551689,0.0797404,75,6.80042,3126.54255098,1887.26192772,75,6.80135076691,2023.33551689,231.299313299,2023.33551689,0.14594209638,1303.32832579,0.941829,6.80042,-6.96742,15.7178059322,0.0
38.895,6.99658311424,34.6148,2368.8270072,0.101113,76,6.99505,3323.70087829,3185.15800644,76,6.99660021355,2368.8270072,270.752100285,2368.8270072,0.149884869775,105.822470135,0.936731,6.99505,-7.16295,3029.8923293,0.0
39.2515,7.23353904741,34.8209,2303.87169336,0.0914721,77,7.23227,3256.37916881,2434.38121162,77,7.23356654233,2303.87169336,246.290067896,2303.87169336,0.151522993511,1018.88665011,0.938733,7.23227,-7.4067,55.9130862924,0.0
39.4845,7.42120437179,35.1237,2290.41061761,0.107817,78,7.41972,3448.33397326,2486.9391102,78,7.42122370413,2290.41061761,238.383807588,2290.41061761,0.159265523919,1377.71236342,0.936222,7.41972,-7.59334,32.9524417967,0.0
39.7134,7.65061189075,35.4062,2330.24069496,0.106165,79,7.64904,3294.65977401,3220.97861311,79,7.65067776321,2330.24069496,280.226483181,2330.24069496,0.16211506168,52.5620423017,0.955978,7.64904,-7.82479,3132.06381038,0.0
40.0362,7.8483860226,35.6675,2143.3661344,0.129676,80,7.84685,3393.65303549,3033.32257305,80,7.84843335724,2143.3661344,255.464264442,2143.3661344,0.165277704445,947.206346469,0.933607,7.84685,-8.02295,193.776060946,0.0
40.2129,7.96838336603,35.8849,517.829064017,0.116767,81,7.96668,2979.44579038,2842.97974664,81,7.96840323135,517.829064017,240.449596448,517.829064017,0.158920473879,73.3902985902,0.929575,7.96668,-8.13736,2742.75416334,0.0
40.5075,8.18958492828,36.1199,2268.34715692,0.0975735,82,8.18849,3606.42965459,3506.7074346,82,8.18963334033,2268.34715692,292.235202869,2268.34715692,0.160340278945,62.6026526038,0.949894,8.18849,-8.36051,3405.96622473,0.0
40.7376,8.42100264831,36.3436,2261.34789881,0.135492,83,8.41933,3407.99103797,3236.5112319,83,8.42105051984,2261.34789881,270.356682869,2261.34789881,0.172022661836,94.387281198,0.936846,8.41933,-8.59027,3101.56350105,0.0
41.0428,8.60328824951,36.573,2198.02836179,0.115947,84,8.60172,3429.03576849,3275.54233689,84,8.6033248425,2198.02836179,273.757167388,2198.02836179,0.162444353263,64.3254465623,0.963372,8.60172,-8.781,3192.71798862,0.0
41.3045,8.72901281739,36.7776,2178.77599079,0.109864,85,8.7279,3827.6736487,3616.02792951,85,8.72904077517,2178.77599079,295.954260725,2178.77599079,0.16178065798,154.214284631,0.941558,8.7279,-8.90462,3346.63709213,0.0
41.5846,8.9161748685,37.0111,349.784807101,0.158954,86,8.9143,3302.7455508,3226.63505492,86,8.91622297304,349.784807101,276.619485132,349.784807101,0.176432193355,74.2775663196,0.945963,8.9143,-9.09965,3048.21054053,0.0
41.7978,9.12871083224,37.2388,2617.2496415,0.113622,87,9.12735,3359.4335088,3017.32355759,87,9.12876401605,2617.2496415,258.245335699,2617.2496415,0.165162834734,353.165894024,0.940737,9.12735,-9.30395,2111.39460866,0.0
42.0855,9.39731531625,37.4614,2317.87263671,0.0995929,88,9.39644,3694.85381048,3505.38621049,88,9.39734890034,2317.87263671,289.578628113,2317.87263671,0.160103501911,153.432292462,0.929499,9.39644,-9.56838,3242.88928902,0.0
42.3051,9.60722128956,37.6865,2436.56844453,0.159036,89,9.60568,3756.24668858,3615.10491171,89,9.60725463668,2436.56844453,292.713536645,2436.56844453,0.177197690289,115.749522335,0.940233,9.60568,-9.78683,3440.24850883,0.0
42.5514,9.80782287009,37.9902,2418.95351681,0.180545,90,9.80614,3865.15656339,2951.38933508,90,9.80785597923,2418.95351681,282.099146025,2418.95351681,0.184953549166,1103.33058579,0.943636,9.80614,-9.98602,80.9693588014,0.0
42.8166,9.99396067602,38.1152,2354.64076201,0.0875152,91,9.99318,3894.96044548,3494.05219634,91,9.99401142374,2354.64076201,305.226554492,2354.64076201,0.160867377635,588.71319573,0.926389,9.99318,-10.1702,1774.2197688,0.0
43.1272,10.1441735892,38.3779,2131.40247098,0.165535,92,10.1425,3539.34998022,3039.21725094,92,10.1442221826,2131.40247098,282.424048721,2131.40247098,0.183452192456,500.1101229,0.934554,10.1425,-10.3222,1664.7537637,0.0
43.365,10.2979043963,38.607,2211.83689417,0.158797,93,10.2968,3396.93707038,1717.22116464,93,10.2979559724,2211.83689417,237.878946502,2211.83689417,0.176584681014,1267.56855434,0.932381,10.2968,-10.4773,301.429434025,0.0
43.4786,10.4759160548,38.8886,239.123959294,0.151429,94,10.4742,3057.16048304,3004.11698057,94,10.4759423744,239.123959294,259.641903088,239.123959294,0.18019821711,54.5153857895,0.945367,10.4742,-10.6553,2866.09646844,0.0
43.7349,10.6745901145,39.1049,2297.85825512,0.175098,95,10.6732,3797.34122759,3445.3260303,95,10.6746228155,2297.85825512,306.403960794,2297.85825512,0.184834686969,490.419193634,0.948564,10.6732,-10.8549,2042.28518085,0.0
43.9929,10.7435700199,39.3025,534.059401342,0.169832,96,10.7421,3873.11318297,2677.41076937,96,10.7435940915,534.059401342,275.982883857,534.059401342,0.180719060388,999.191515006,0.942779,10.7421,-10.9244,639.584672253,0.0
44.234,10.9889588293,39.5086,2530.45255927,0.143468,97,10.9876,3945.29222987,3851.61147962,97,10.9889851024,2530.45255927,327.436335959,2530.45255927,0.177312159106,64.839780265,0.945701,10.9876,-11.1666,3756.39707414,0.0
44.4422,11.1361897449,39.732,2545.3046467,0.164866,98,11.1352,3865.56749978,3003.71052817,98,11.1362404531,2545.3046467,310.586911149,2545.3046467,0.181481153836,1036.87841153,0.950608,11.1352,-11.3068,482.860175694,0.0
44.6846,11.3264932848,40.049,1565.75074126,0.172424,99,11.325,3769.50701825,3632.06625562,99,11.3265388958,1565.75074126,308.708420614,1565.75074126,0.190352476791,88.1654214913,0.953376,11.325,-11.5043,3513.61251807,0.0
44.9098,11.4945274353,40.2939,2662.17476246,0.211314,100,11.4926,4059.85722838,3959.02254332,100,11.4945586824,2662.17476246,316.272952413,2662.17476246,0.193582536219,80.0468822297,0.955303,11.4926,-11.6803,3825.93050018,0.0
45.0885,11.6592130307,40.4699,2516.53539703,0.200211,101,11.6579,3682.88756495,3504.94848194,101,11.659231386,2516.53539703,293.74746498,2516.53539703,0.191416767608,93.6009292035,0.937767,11.6579,-11.8409,3347.42012265,0.0
45.346,11.8861814258,40.793,2253.44454069,0.244908,102,11.8842,3741.61925324,3139.97084517,102,11.8862223332,2253.44454069,273.787502603,2253.44454069,0.200154393636,641.011832111,0.944905,11.8842,-12.0639,1719.62855278,0.0
45.5838,12.1002315866,40.9708,1086.0530164,0.187479,103,12.0993,3486.99969093,2657.63713543,103,12.1002556741,1086.0530164,287.84659661,1086.0530164,0.191672248124,966.403182634,0.943807,12.0993,-12.2808,588.286470788,0.0
45.8763,12.2322974127,41.2796,2190.32753538,0.235673,104,12.2307,3858.51562726,2756.56173001,104,12.2323170641,2190.32753538,261.59154995,2190.32753538,0.203207640544,1202.35153572,0.950654,12.2307,-12.4089,518.908830206,0.0
46.057,12.3881809029,41.5388,2382.6419756,0.213834,105,12.3864,4133.69905721,3423.20666589,105,12.3882062483,2382.6419756,320.55749481,2382.6419756,0.201731210228,843.402186482,0.953443,12.3864,-12.5762,1488.29326346,0.0
46.2027,12.5426451777,41.7635,2202.29712803,0.224658,106,12.5408,3571.22083166,3386.51521271,106,12.5426594737,2202.29712803,283.109975173,2202.29712803,0.197486065567,388.007763946,0.948874,12.5409,-12.7268,2227.78551328,0.0
46.4389,12.8213784263,41.9956,2148.61734724,0.242895,107,12.8199,3587.35132714,3349.72195305,107,12.8213944489,2148.61734724,265.32170118,2148.61734724,0.204429653725,185.733053994,0.940324,12.8199,-13.0142,2999.03149279,0.0
46.6133,13.0036784489,42.2319,2581.08118835,0.257122,108,13.0028,3916.09550569,3143.61193278,108,13.0037033429,2581.08118835,290.120908039,2581.08118835,0.204684908207,1131.96523236,0.944654,13.0028,-13.1918,-93.6720949063,0.0
46.8074,13.1139432314,42.4182,2469.32113536,0.178996,109,13.112,3888.18022228,3711.36340349,109,13.1139608322,2469.32113536,309.77494738,2469.32113536,0.196893343011,165.876927054,0.94028,13.112,-13.303,3399.42747021,0.0
46.9809,13.4355050016,42.724,2732.57981303,0.320767,110,13.4332,3866.74636131,3629.63164808,110,13.4355295071,2732.57981303,305.454361572,2732.57981303,0.221979164126,122.890346968,0.948469,13.4332,-13.6261,3475.26903131,0.0
47.1703,13.6137275612,42.9214,2291.95437874,0.197772,111,13.6127,3682.75984104,3119.47373109,111,13.6137856009,2291.95437874,263.150253191,2291.95437874,0.194702663679,1023.04613483,0.931561,13.6127,-13.7965,70.3850285235,0.0
47.3163,13.8504664225,43.0598,2731.94759781,0.237371,112,13.8489,3665.67741054,2842.60765153,112,13.850508472,2731.94759781,277.647691551,2731.94759781,0.209377766729,838.565280563,0.942863,13.8489,-14.0374,1089.35573096,0.0
47.6026,13.9986199395,43.2948,2767.85662343,0.302789,113,13.9969,3976.83501878,3598.95277626,113,13.9986381101,2767.85662343,284.484932844,2767.85662343,0.214611087118,221.885198796,0.932617,13.9969,-14.1911,3299.84435142,0.0
47.8341,14.2313095619,43.5375,2336.56129723,0.311281,114,14.2295,3602.40155614,1992.23962722,114,14.2313506318,2336.56129723,261.538866118,2336.56129723,0.223335138532,1104.51937219,0.950117,14.2295,-14.4308,317.285554207,0.0
