AverageAbsQ,AverageQLoss,StdReturn,StdEsReturn,AverageAbsQYDiff,AverageQ,AverageY,MinReturn,AverageAction,AverageEsReturn,MaxReturn,AverageReturn,MinEsReturn,Epoch,PolicyRegParamNorm,AverageDiscountedReturn,AveragePolicySurr,AverageAbsY,MaxEsReturn,QFunRegParamNorm,Iteration
22.4643,5.03926,0.39408893247,3.97189044411,0.604789532705,22.3388,22.3351668026,90.0797084254,0.621993,89.0682102467,91.6546053503,90.4031323959,79.8656346337,60,37.3327,17.6078088038,-23.1243,22.4293456053,92.5155536717,114.793,60
23.0749,3.98008,0.573415352988,3.29328382866,0.598183109815,22.9349,22.9335618804,89.7900186821,0.650902,91.7496382857,92.8952894037,91.3455732027,87.3397466277,61,37.5134,22.4120491613,-23.6661,23.0395459547,98.8164445754,115.686,61
23.9725,4.50957,0.594045277578,3.44385440891,0.624271658527,23.8219,23.8202205002,90.3719855236,0.646448,92.2746472169,92.8441931118,91.2388860041,86.8955283695,62,37.6888,21.7712077888,-24.4974,23.9335465792,98.2424083048,116.421,62
24.7375,4.16981,2.39939962088,1.72973735225,0.606880436582,24.5821,24.5793984599,83.5113293354,0.76287,91.5753080145,92.8243093606,88.2934187533,87.7699061713,63,37.7951,17.0810671742,-25.1924,24.6977789767,92.8783743512,117.268,63
25.3243,3.49481,2.39305662135,0.60030911669,0.58055887887,25.1607,25.1592908081,83.2112975384,0.764754,92.2494060172,92.749481106,88.5355407042,91.382773591,64,37.9368,17.6983048514,-25.7184,25.28793294,93.0440817091,118.04,64
26.4131,3.68686,1.060998175,1.67244343547,0.621732723678,26.2502,26.2497781202,88.0882616526,0.843721,90.8357924771,93.8533045526,92.8119288937,88.9290241945,65,38.0731,38.6530466035,-26.7662,26.3812606455,93.1889400865,118.703,65
26.8662,3.92601,0.427590997616,2.48682695012,0.622502263989,26.7072,26.7046463632,92.9137761962,0.891112,91.9544309346,94.3826423442,93.6894224911,88.3696782646,66,38.1491,45.214317909,-27.1874,26.8358400362,96.4049039748,119.389,66
27.4315,4.03653,0.263147198432,3.53283453657,0.632853540225,27.2766,27.2755652224,92.3879162878,0.98185,93.1144553762,93.2653939859,92.776179757,85.9555225862,67,38.2483,43.1113157255,-27.8614,27.4034059967,99.8079459547,120.13,67
28.5178,4.31709,0.178878891297,1.12764179602,0.652560843496,28.3692,28.3668916426,92.037053193,0.983334,94.0841257431,92.746308395,92.4591037505,92.1243599797,68,38.4513,41.4615738844,-29.0621,28.4892749499,96.61523192,120.706,68
29.7997,3.85099,0.140196272629,1.87782672099,0.627433208496,29.6593,29.6574808486,91.9087234459,0.98431,92.9489529528,92.3884047858,92.1802009495,89.809268659,69,38.6453,40.0436020434,-30.4329,29.7725179971,95.8408226572,121.244,69
30.8759,3.98007,0.160136183694,3.78664965153,0.628523820702,30.7422,30.7415826288,91.1693684131,0.986936,91.9684368371,92.1369563372,91.7393440918,83.6563682275,70,38.7485,37.9392459041,-31.6167,30.8501113637,95.3356613966,121.778,70
32.1037,2.68932,0.220957481876,2.46476570193,0.604793079573,31.9761,31.9779364881,90.8403796599,0.987075,92.9918686804,91.8438398809,91.6132101208,87.5707412761,71,38.9048,37.3400953613,-32.9152,32.0824126356,96.9815798829,122.493,71
33.6724,3.71053,0.23129034945,2.70775311491,0.648211792958,33.5526,33.5527572312,90.8211834912,0.991229,93.1768820367,91.8083145865,91.5317146424,88.6255084994,72,39.0644,37.0961258196,-34.5912,33.6516324604,99.7088077355,123.167,72
34.9038,3.7101,0.184808170968,1.72551888866,0.634885723421,34.7948,34.792738728,91.3373518133,0.993211,92.6506781573,92.3050352794,91.8043786408,88.8975395598,73,39.2522,38.4817894706,-35.9244,34.8833041768,94.6878962798,124.006,73
36.3061,3.47756,0.108980406263,1.28985948929,0.65464298181,36.2081,36.2078132743,91.853928918,0.993414,93.0180159668,92.4008091846,92.1629771698,89.36049852,74,39.4166,40.273848673,-37.4183,36.2901785427,94.4744306121,124.799,74
37.5293,4.23569,0.0928708649941,2.23936986357,0.675848611845,37.4406,37.4405661397,91.9196865551,0.995329,93.0611834676,92.40041351,92.2014397662,90.2209098865,75,39.5599,40.5358024525,-38.7249,37.5150107079,98.3603287009,125.806,75
39.4223,4.1076,0.0848701839025,1.52246276795,0.676755010869,39.3472,39.3461039076,92.0089214976,0.994475,93.8455415967,92.5002299706,92.265451053,89.8531097095,76,39.6786,40.8331147265,-40.7099,39.4089061352,96.4754729697,126.768,76
40.8158,3.53781,0.0762556693998,2.11355502798,0.674256030556,40.7541,40.7541552661,92.0855908584,0.994775,93.3704530141,92.4001301757,92.2746832525,88.049212408,77,39.7817,40.8906378568,-42.1675,40.8048608762,97.4521878509,127.707,77
42.4914,4.68809,0.0919822733911,0.636468084537,0.724213731505,42.4404,42.4417636378,92.1270177408,0.993028,93.6258893516,92.5000214763,92.3938609905,91.8777581798,78,39.8981,41.4461656254,-43.9309,42.4825283284,94.5782859012,128.668,78
44.2489,4.13966,0.0981807444775,2.02796688576,0.695103482323,44.2077,44.2077152428,92.1451032957,0.993406,93.1265287635,92.5020058048,92.3962707032,89.7127470033,79,39.9715,41.4720675896,-45.7671,44.239022254,96.4522748554,129.601,79
45.5695,4.86143,0.0890596361116,2.06775190778,0.75310185287,45.5368,45.5404645261,92.2172609853,0.996285,93.015103269,92.5995298992,92.4626930379,89.4991216906,80,40.0598,41.9185987976,-47.1402,45.5649745974,97.135364942,130.53,80
47.3416,3.95043,0.0893425538247,3.06685128271,0.712875939807,47.3208,47.322433822,92.3038821288,0.993924,93.4386861447,92.699556305,92.5463139204,85.5215092374,81,40.1726,42.2763445558,-48.9815,47.336729796,99.3,131.585,81
49.0247,4.70577,0.0896631842701,1.47561732614,0.767220635608,49.0132,49.0170717967,92.2035281005,0.992955,94.537945927,92.6003389402,92.4834056488,91.5216861533,82,40.2574,41.9118527537,-50.6977,49.0242762982,98.4284942994,132.51,82
50.5518,4.2429,0.100797087654,1.17927922553,0.755932374295,50.5487,50.5541901478,92.002804659,0.994493,93.8535841761,92.5029973353,92.3970630212,90.7733466185,83,40.3664,41.5139731384,-52.2348,50.5569774673,95.4202859473,133.315,83
52.0255,4.7485,0.107571440238,1.41338359969,0.773065227676,52.0254,52.0308615086,92.3058551328,0.994381,93.3238819343,92.7048189531,92.5733089017,90.2475750439,84,40.4438,42.4359343055,-53.7344,52.0314307047,94.7250129138,134.29,84
53.6526,4.10719,0.0746028638406,0.697852989291,0.743015077561,53.6526,53.659849387,92.3024656542,0.993684,93.8484133179,92.6007028779,92.5100167297,92.436738184,85,40.5264,42.0761770975,-55.3558,53.6598901893,95.1390382989,135.173,85
55.203,5.1123,0.0838764089397,1.46074298106,0.771966214279,55.203,55.2085041385,92.4011355397,0.995775,93.4180293911,92.7991160528,92.6378524858,90.0231562957,86,40.6184,42.8259685617,-56.8818,55.2085566568,95.2833524412,135.922,86
56.5235,4.14924,0.0686583118553,1.78630687776,0.752172713502,56.5235,56.5281266006,92.6073832944,0.995391,94.1697571504,92.8997947451,92.77619904,90.3115361897,87,40.6656,43.5545743768,-58.1833,56.5281775977,98.6595019625,136.466,87
58.0367,4.18841,0.0667013342935,1.32423382135,0.737726087763,58.0367,58.0413825403,92.6594660992,0.994499,93.5160721179,92.9045122382,92.795963417,89.6140905735,88,40.7408,43.6310053519,-59.6246,58.0414186311,94.8748087886,136.962,88
59.4353,3.92281,0.0697391630128,0.971317014439,0.761544210625,59.4353,59.4396537279,92.7144685726,0.995641,93.8489551124,92.9985851444,92.8498790342,90.9130859774,89,40.8528,43.9625561002,-60.9969,59.4396891127,94.8593272009,137.32,89
60.6507,4.9054,0.0664810931065,2.85985959246,0.76315038106,60.6507,60.6564518166,92.5990057095,0.995787,93.4042131941,92.8635088485,92.7401388348,87.419158835,90,40.9469,43.373718119,-62.1698,60.6564996119,97.7903189501,137.908,90
61.7274,4.53211,0.0525153289849,2.14889402793,0.748449092375,61.7274,61.7322668408,92.7095915245,0.996357,93.917117735,92.9610216919,92.8689283806,89.5220324957,91,41.0138,44.0908763486,-63.1954,61.732288355,98.8,138.443,91
62.6832,4.59827,0.0529074752206,2.17950098337,0.754712478734,62.6832,62.6903347281,92.8000822944,0.994501,93.3351587167,93.0035680052,92.9298722169,89.172350664,92,41.0546,44.3608389867,-64.088,62.6903654003,97.7718994514,138.762,92
63.6806,4.62369,0.0578618282204,1.69422825221,0.736227631796,63.6806,63.6874840713,92.7002029144,0.996904,93.7932895521,92.9029894321,92.7979073693,90.6365529492,93,41.0942,43.7231132835,-65.0148,63.6875204258,97.7692153196,139.035,93
