Epoch,MaxEsReturn,AverageAbsQYDiff,MaxReturn,AverageReturn,StdForwardProgress,AverageDiscountedReturn,MinEsReturn,AverageAction,StdReturn,MinReturn,QFunRegParamNorm,AveragePolicySurr,PolicyRegParamNorm,MaxForwardProgress,AverageAbsY,AverageQLoss,MinForwardProgress,AverageForwardProgress,StdEsReturn,AverageEsReturn,AverageQ,AverageY,AverageAbsQ
51,90.4196000647,0.246341923342,93.7860399793,60.9146691805,0.113166974667,47.9628575558,7.36904622631,0.686942,15.5149233983,27.6846301766,39.9205,-3.36825,18.3222,0.585252698944,3.1074732547,0.159751,0.109008392818,0.334422487426,17.8060040926,62.3685478169,3.1049,3.10743816635,3.10644
52,92.0595938701,0.25753002194,103.299545467,59.8766253522,0.123398435376,46.6893995808,16.4976594904,0.715118,19.2452058444,25.2913226499,40.4803,-3.43521,18.3771,0.533569128567,3.17463537357,0.17867,0.0696846952191,0.305895210954,21.0903163483,62.7743299753,3.17036,3.17462814458,3.17227
53,93.1700217861,0.245605314485,123.640370523,84.6838882761,0.0537667198858,61.0645493536,2.44986932374,0.755022,9.90908845122,26.7352762188,40.9486,-3.4781,18.4672,0.549504955582,3.23048770609,0.158788,0.0540639034564,0.439204620016,22.047453922,75.3256835186,3.22987,3.23047926456,3.23128
54,91.3408435791,0.249483995451,118.675871653,80.224857231,0.0999968334485,58.8791784263,20.729351819,0.730712,13.5326787823,40.2604584693,41.4222,-3.54701,18.5376,0.681209698347,3.29138491101,0.167771,0.0777607573707,0.422209104685,15.4414751505,76.3301592663,3.28722,3.29137170415,3.2888
55,96.2948152231,0.245588599738,107.851816469,75.2438206927,0.0820933701328,55.980579221,45.3027027687,0.753557,14.3494460223,40.1594011294,41.8681,-3.59377,18.6349,0.558898556727,3.33888811935,0.163029,0.165253831874,0.393374828836,13.0450652564,73.6402584035,3.3354,3.33887279576,3.33665
56,97.6980419777,0.243740199686,107.044533083,78.4000600799,0.0791005521978,58.3407722672,44.8927896973,0.729955,10.4808609701,33.5950614015,42.3268,-3.64704,18.7418,0.723485695349,3.38949504393,0.163714,0.109152796612,0.434763884705,12.3163873182,76.5674192934,3.38667,3.38944611358,3.38823
57,104.03796385,0.242014570059,132.934682278,89.2118964936,0.0689843571881,62.465706389,55.1837591085,0.755839,12.2607634768,51.3322714788,42.721,-3.69984,18.8461,0.591000929937,3.43462226195,0.15661,0.121413326339,0.422670981364,11.1630960586,85.2110557989,3.43259,3.43455696209,3.43429
58,101.828754578,0.246811556539,162.781043406,98.5792989842,0.10138939861,65.7414096448,40.1087278083,0.75017,18.0188559532,67.1424470075,43.1931,-3.7812,18.9552,0.588722704009,3.51246984353,0.16532,0.0747668536298,0.424979463763,16.0521917812,84.1032952817,3.50932,3.51246984353,3.51101
59,130.410989267,0.245254534144,183.82381492,102.000318688,0.0905784070963,66.6894601504,57.4752087445,0.736013,20.1993045033,49.5008413597,43.5525,-3.8528,19.0389,0.666417270664,3.57612115749,0.168041,0.0678529048408,0.423075523535,18.1777484488,93.5278264268,3.57283,3.57612115749,3.57463
60,105.068719538,0.242462061609,192.478067093,95.7066253568,0.0759141019826,64.7137873237,54.9927591917,0.775907,17.4885063993,40.0982686442,43.9928,-3.91664,19.1356,0.600952996596,3.64582159592,0.161115,0.129282533276,0.436412914907,13.6183574911,87.4794404472,3.6427,3.64582159592,3.64425
