AverageQLoss,MinForwardProgress,AverageReturn,MaxForwardProgress,StdForwardProgress,MaxEsReturn,AverageAbsQYDiff,MinReturn,MaxReturn,AverageQ,AverageAbsY,AveragePolicySurr,StdReturn,AverageAction,Epoch,AverageY,AverageEsReturn,MinEsReturn,AverageForwardProgress,AverageDiscountedReturn,QFunRegParamNorm,AverageAbsQ,StdEsReturn,PolicyRegParamNorm
31.9851809403,-0.313134066667,0.962863354032,27.2052,102.840176867,0.264469544694,2.81264,-2.79546,27.3412,57.7795877313,127.667679055,2.7517,0.357338773968,0.0323607,-7.28829352446,0.900343,2.75142470717,31.7030094102,61.889226655,0.110257794805,2.81325530431,75,6.08011051127,28.5995360687
55.301990464,0.245486630573,1.45366604556,27.2687,130.251337158,0.323479071339,2.83267,-2.80927,27.5577,110.16774383,181.824913336,2.77182,0.830095649728,0.0363933,52.2454144108,0.911612,2.77156497703,33.6745018393,72.9439160074,0.112487193124,2.83316396509,76,28.0085085779,34.3235599176
45.64431072,-0.0454638879468,1.32788904087,27.3608,170.955560426,0.293660873113,2.84859,-2.83533,27.7106,85.2594544822,166.837694956,2.78597,0.611715111884,0.0351929,17.8285822506,0.885452,2.78577059996,47.8946342152,66.8242896156,0.112342664075,2.84939203455,77,27.8784575062,31.9670616665
44.0675748699,-0.0466161276519,1.511301658,27.4353,162.444651472,0.32659862527,2.8921,-2.87586,27.9113,82.3455796511,187.636325747,2.83169,0.577947221497,0.0369581,13.9747354627,0.893828,2.83177047469,43.1022968045,83.0757634373,0.112832868696,2.89350717513,78,19.8567052429,36.1234425691
42.563815948,-0.343494525593,1.27022152993,27.4837,151.685895725,0.418854737625,2.89848,-2.88207,28.1228,81.0743012551,167.806915219,2.84082,0.545720425458,0.0365168,-15.5772994026,0.890175,2.84056161757,46.2554546205,52.5250571685,0.114610333108,2.8992590061,79,-9.76268191446,46.1879572916
37.6343748414,-0.678813671518,0.990524237583,27.5588,160.136882625,0.206244659964,2.92089,-2.90909,28.3109,64.2811441402,132.854243712,2.8637,0.415959486644,0.0384233,-39.8004376913,0.903311,2.86374482697,40.5437166606,89.0735486009,0.116430234675,2.92198271845,80,49.4654181408,22.834293011
42.8733349878,0.0111744831312,0.972277196649,27.6453,126.368803308,0.228726678508,2.94849,-2.94155,28.4983,79.7275618723,123.629407843,2.89205,0.539176218973,0.037946,21.253164278,0.896151,2.89195936158,24.8896438627,76.51339969,0.116002185849,2.94867054599,81,36.8777025359,26.1255577206
28.7346940213,-0.25440610377,1.12887624859,27.7608,100.694283372,0.238488441348,2.95994,-2.96427,28.6929,44.9373613933,143.492530783,2.90587,0.246612783561,0.0398758,-9.91520499978,0.91499,2.9059242342,33.6586943044,44.4070026898,0.117071350575,2.96084425893,82,-17.6149403126,27.3574410515
37.5273079671,0.0343111914894,1.27293685703,27.8277,165.032564453,0.271705979589,3.00053,-3.00339,28.8617,63.4364668095,162.676270037,2.94907,0.422337820638,0.0401062,19.1188449865,0.905127,2.94882783318,41.1913381763,74.3763011233,0.120070625654,3.00212992707,83,24.4552019078,31.0433017799
43.3927531452,-0.150764818851,1.14248471196,27.9023,107.209110405,0.251281351952,3.03885,-3.0424,29.0736,78.23156379,140.721205373,2.98936,0.555456797173,0.041242,9.16886174371,0.907187,2.9890337866,32.9985644492,72.5558297058,0.119771290495,3.03957211632,84,-2.9769107228,27.2664233165
34.2289872799,-0.251448521957,1.20966138142,27.981,54.2085740888,0.211134431704,3.05892,-3.06335,29.2465,58.4482655969,163.576808686,3.01296,0.381381915643,0.0419893,-7.04620946088,0.87743,3.01301920807,19.9433103986,37.0818974899,0.119654861927,3.0607787954,85,-15.2616516996,25.8365548898
45.5508838975,-0.0632764892141,1.26253326831,28.0906,101.279871837,0.313626653242,3.07643,-3.08986,29.4167,88.9932789598,168.648440296,3.02951,0.624401236599,0.0463063,11.5686239506,0.878981,3.02911083381,36.3287339837,58.9818284789,0.125911008966,3.07754336401,86,8.40305604323,35.1403034557
49.2579707905,-0.0774943898214,1.27870908989,28.1937,151.707526719,0.355716521756,3.1091,-3.12167,29.5852,97.232281454,165.928820869,3.06432,0.713046236394,0.0412204,6.46538374237,0.893723,3.06368495025,36.5091953153,71.1100311267,0.122026116315,3.10939836433,87,10.1860264978,39.7838636666
44.7844248079,-0.0353343177647,1.29685397701,28.3062,103.105159099,0.273109472963,3.14381,-3.152,29.7728,79.5500161657,172.819296951,3.10218,0.574555406679,0.0452656,21.5006503512,0.903359,3.10194287629,20.8588262686,76.0670766826,0.125530025146,3.14441360388,88,34.8584697149,31.8551475287
38.9669015418,-0.106213459542,1.35120052545,28.3937,75.643153972,0.356918087152,3.17061,-3.17761,30.0221,71.5004787671,180.5218502,3.13084,0.468291768793,0.0460816,9.46505407302,0.929545,3.13032159583,19.5647170759,47.5513036398,0.1250127146,3.17049791935,89,19.1017549346,39.3540062369
45.2979398635,0.0834464856659,1.17032262462,28.4805,132.25008475,0.307777796648,3.18437,-3.18658,30.2465,83.0761804606,154.495560323,3.14266,0.603234867859,0.0478029,28.6456668661,0.921314,3.14272937108,40.4756411055,69.8162083744,0.125253345356,3.18590211724,90,-0.974010966495,34.9364578595
35.5385568159,-0.428933886761,0.802336374361,28.5536,93.2668009536,0.289019195389,3.20569,-3.21308,30.4834,65.4872332067,110.622966632,3.16259,0.386639490528,0.0489508,-23.1975870143,0.917519,3.16232023677,31.8064093588,33.4208710973,0.128690168196,3.20653331431,91,-14.8528438727,28.9012171786
22.3357439655,-0.935496107839,0.877445136391,28.5938,94.3265984473,0.446132776177,3.23155,-3.23872,30.686,39.6057510791,128.367261394,3.18834,0.141642426243,0.0483204,-72.8817309935,0.933265,3.1880979842,29.1602054763,64.0958476672,0.127080698278,3.232526746,92,6.79738771076,47.144912821
23.1780612899,-0.662348733799,0.873932488971,28.7061,101.488618567,0.440062586442,3.25865,-3.27068,30.8392,42.3801826783,115.757426298,3.2157,0.181245728656,0.0527034,-45.8212494946,0.956702,3.21587870741,26.5922144945,77.7809410476,0.13042002023,3.26031597138,93,29.1868352064,46.8787316923
