AverageReturn,Iteration,QFunRegParamNorm,StdReturn,MinReturn,AverageAbsQ,AverageDiscountedReturn,AverageAbsQYDiff,AverageQ,StdEsReturn,AverageY,AveragePolicySurr,MinEsReturn,MaxEsReturn,AverageAction,AverageEsReturn,PolicyRegParamNorm,MaxReturn,AverageQLoss,Epoch,AverageAbsY
38.7449317535,64,48.9397,0.944456598584,36.6281584429,2.30229,34.4373141024,0.0503793785785,2.30115,7.05037759698,2.30155585453,-2.32371,32.8761675779,75.6195434541,1.0,43.8937587826,24.616,40.7213188937,0.0121903,64,2.30198603947
38.7803054368,65,49.2281,0.933208932136,36.6182302258,2.3117,34.4656436004,0.0467442487343,2.31085,7.81922293028,2.31107108287,-2.33408,3.08027644643,68.7116177004,1.0,41.0487528145,24.6161,40.726622386,0.0108156,65,2.31149726087
38.7863362626,66,49.6238,1.00189830072,36.5143559314,2.29343,34.4708764835,0.0473546772091,2.29271,11.286631716,2.29288465923,-2.31364,6.25368490829,93.1199258499,1.0,42.7586643404,24.6161,40.8360517228,0.0113146,66,2.29318553626
38.7896147327,67,49.8822,0.892909205337,36.662094414,2.28235,34.4737121631,0.0444279614307,2.28165,5.41838797301,2.28179305048,-2.30162,11.3242388791,54.5850734136,1.0,40.3385468901,24.6161,40.7219653401,0.00960611,67,2.28207936433
38.827812185,68,50.1716,0.942739323253,36.6832878239,2.3005,34.5027551175,0.0485671808079,2.29964,7.36010220417,2.2998686728,-2.31891,4.03605323449,54.621788916,1.0,41.323390762,24.6161,40.7487716614,0.0121014,68,2.30017887744
38.8124543676,69,50.4357,0.913131449889,36.6857534043,2.28241,34.4902945865,0.0454854923174,2.28171,6.47414513212,2.28198214232,-2.29983,3.02785743467,47.9355828156,1.0,40.5672462486,24.6161,41.8185285415,0.0107125,69,2.28227383431
38.7564352096,70,50.6551,0.933979651018,36.7235051737,2.28138,34.4473584567,0.0472165344999,2.28065,7.54442068227,2.28076361022,-2.29418,21.1001852349,68.4239134859,1.0,42.3380469305,24.6161,41.7098607353,0.012052,70,2.28106043069
38.7844878652,71,50.8946,0.952016988707,36.6533381442,2.26635,34.4675895408,0.0482062197873,2.26573,12.580321907,2.26592704377,-2.28309,8.66552549507,88.4156047207,1.0,42.9839461071,24.6161,40.6587813383,0.0111868,71,2.26614092607
38.7862122447,72,51.0941,0.922609475189,36.8027879655,2.27086,34.4708415254,0.0449136447302,2.27032,4.00094595444,2.27047681002,-2.28453,25.8573178072,52.3665974531,1.0,40.8871962712,24.6161,40.8790577836,0.0105785,72,2.27071552831
38.7557388508,73,51.3157,0.965082377696,36.5929056202,2.26755,34.4464258917,0.0440369279483,2.26706,7.11593350701,2.26726463322,-2.27996,4.09881716927,63.9739115609,1.0,40.7770113077,24.616,40.6763446306,0.0104455,73,2.26744762545
38.8040489667,74,51.5411,0.877027358805,36.8010782136,2.27266,34.4835005503,0.0440310749925,2.2721,7.33313264764,2.27229340467,-2.28528,7.29698740854,54.6306595432,1.0,40.3016019706,24.616,40.8020284105,0.0100365,74,2.2725037018
38.7548243124,75,51.7207,0.912510814187,36.6436820959,2.26039,34.4449489495,0.0424424876182,2.25985,6.70248481425,2.25994307714,-2.271,29.0432335041,69.948117852,1.0,42.7171234997,24.616,40.7142604485,0.0102766,75,2.26013995494
38.7750629347,76,51.9362,0.927737487376,36.5267871573,2.2437,34.4617388904,0.0418123901562,2.24297,2.99469089316,2.24311618824,-2.25394,38.3255960879,54.098317438,1.0,41.5257829766,24.616,40.7941512222,0.0100833,76,2.24349334895
38.7787644835,77,52.1273,0.911587139457,36.7486891651,2.2462,34.4634993857,0.0392940619008,2.24564,6.34521052936,2.24580291738,-2.25608,18.8092142569,56.0748504182,1.0,41.8203427339,24.616,40.7117380523,0.00785537,77,2.24610197978
38.8167408754,78,52.3841,0.895245355782,36.6887119361,2.24504,34.4936902196,0.0404276490044,2.24445,5.14881617809,2.24459427047,-2.25518,37.1581333426,68.1077151807,1.0,41.5456280614,24.616,40.8167954711,0.00897749,78,2.24491364542
38.7530529311,79,52.627,0.961779103233,36.6631858796,2.24261,34.444442499,0.038550630387,2.24205,6.48350992522,2.24214480502,-2.2528,7.55900626896,57.6159718914,1.0,40.5648543906,24.616,40.7453638576,0.00816061,79,2.24242400856
38.786879302,80,52.8718,0.938274056702,36.5781097078,2.23723,34.472806495,0.0386460496968,2.23658,3.74037112495,2.23670188423,-2.25245,27.0778542292,53.4631431971,1.0,39.8904519201,24.616,40.7230874293,0.00753659,80,2.23695950379
38.7725149468,81,53.0602,0.949201669426,36.6804933708,2.23799,34.4599373624,0.039035123591,2.23743,7.91704451573,2.23752572138,-2.25043,6.20071078758,64.0707702284,1.0,41.5074099,24.616,40.7096148359,0.00910945,81,2.23775157865
38.78276722,82,53.2277,0.899565619347,36.6875286615,2.23043,34.4681706132,0.0382405395819,2.2299,9.96844304738,2.23003205919,-2.24099,27.083824924,99.3640371086,1.0,41.934818457,24.616,40.8089943123,0.00829443,82,2.23028328682
38.7933388837,83,53.4523,0.96460221975,36.6950036337,2.2307,34.4766555849,0.0375721938946,2.23017,6.05276034426,2.23031313621,-2.2424,14.8814602543,53.9546103988,1.0,41.8431056514,24.616,40.7086201452,0.00857161,83,2.23054320357
38.7101498317,84,53.6451,0.992497762002,36.5545912882,2.21775,34.4081144972,0.0366593677317,2.21728,6.94566705058,2.21737032902,-2.22698,16.5897837427,66.6673026885,1.0,41.7644211827,24.616,40.7740099294,0.00763564,84,2.21757181029
