Epoch,MaxEsReturn,QFunRegParamNorm,AverageQ,AverageAbsY,StdEsReturn,MaxReturn,AverageQLoss,AverageY,AverageAbsQYDiff,AveragePolicySurr,Iteration,MinReturn,StdReturn,AverageAction,MinEsReturn,AverageAbsQ,AverageReturn,PolicyRegParamNorm,AverageDiscountedReturn,AverageEsReturn
96,1305.60790137,74.7757,5.49731,5.50152934951,0.0,1893.20558453,0.050617,5.49822717702,0.123550094983,-5.59628,96,418.865618432,557.029922545,0.958716,1305.60790137,5.50073,1196.69758613,100.356,150.609252751,1305.60790137
97,420.695343911,75.1273,5.58351,5.58921511659,0.0,2326.93821918,0.0475627,5.58439972691,0.123530526152,-5.6826,97,-428.398309193,908.122589976,0.975073,420.695343911,5.5884,1346.21158324,100.854,161.189315068,420.695343911
98,1061.02111272,75.4989,5.67067,5.67593174508,0.0,1787.90791598,0.0586892,5.67155618048,0.127579781308,-5.76505,98,-71.0597408906,539.319869437,0.977759,1061.02111272,5.67518,1494.16058918,101.341,145.447330172,1061.02111272
99,1221.24501365,75.8676,5.79027,5.7963519908,0.0,2043.84451377,0.0562184,5.79130653377,0.125602284371,-5.88532,99,609.954458534,399.786115683,0.972681,1221.24501365,5.79536,1759.46143174,101.786,148.981040441,1221.24501365
100,1354.42622079,76.2683,5.86866,5.87469197291,0.0,2007.75062858,0.0644502,5.86956714797,0.128787686402,-5.9659,100,207.552630454,593.833928922,0.95938,1354.42622079,5.87388,1310.38049344,102.205,146.766217356,1354.42622079
101,1529.98634164,76.5594,5.95912,5.96635313507,0.0,1851.47453079,0.0600429,5.95969801863,0.127504037799,-6.05417,101,548.140515784,475.155006217,0.956755,1529.98634164,5.96587,1236.90246788,102.634,144.10454171,1529.98634164
102,1378.70738795,76.9303,6.07054,6.08062603959,0.0,2098.19895621,0.0709155,6.07211979888,0.134723315259,-6.16241,102,803.73945206,393.989594893,0.970928,1378.70738795,6.07889,1712.84243444,103.098,168.707146729,1378.70738795
103,1215.19409906,77.3416,6.14848,6.15854008662,0.0,2264.75462756,0.0620015,6.1490691197,0.131403209332,-6.24468,103,1167.43366034,291.219355497,0.977434,1215.19409906,6.15793,1873.11584854,103.664,173.244144618,1215.19409906
104,529.524565661,77.738,6.2107,6.22151828033,0.0,2385.33798259,0.0712944,6.21179068645,0.135653792927,-6.30434,104,1177.60376646,336.531165119,0.977587,529.524565661,6.22023,2099.85726342,104.104,178.173296602,529.524565661
105,1527.2895808,78.0621,6.28984,6.30165431492,0.0,2797.83562848,0.070549,6.29102844511,0.135995384962,-6.38473,105,1391.62922009,346.052659462,0.97349,1527.2895808,6.30037,2269.5168058,104.696,172.280861477,1527.2895808
106,1188.78231698,78.3535,6.42749,6.43984107861,0.0,2402.31583348,0.0662264,6.42859119221,0.136210638498,-6.52593,106,-540.083057465,912.475197181,0.971166,1188.78231698,6.4388,1660.29358353,105.231,170.045433636,1188.78231698
107,1469.96156743,78.7209,6.4824,6.4949640912,0.0,1857.65058596,0.0752741,6.48328260958,0.140960490893,-6.57355,107,-559.26430133,722.927188054,0.965523,1469.96156743,6.49405,890.53236802,105.687,144.385546838,1469.96156743
108,1492.77717704,79.0503,6.60209,6.61562381608,0.0,2134.6811201,0.0833663,6.60303013194,0.143130009371,-6.69889,108,31.7109338705,670.624813706,0.974342,1492.77717704,6.61492,1267.17343906,106.225,157.134988014,1492.77717704
109,789.441696947,79.4312,6.63442,6.65362419261,0.0,2321.80820813,0.0560381,6.63567413113,0.135396457875,-6.72993,109,532.734275843,517.692733201,0.977665,789.441696947,6.65277,2077.75700686,106.65,187.682381049,789.441696947
110,-15.4947925119,79.7764,6.7259,6.75084258964,0.0,2654.94698012,0.0940184,6.72694883835,0.145981033658,-6.82108,110,1124.95504217,505.795631475,0.965669,-15.4947925119,6.7502,1972.09349796,107.057,177.155391163,-15.4947925119
111,1624.78931568,80.134,6.79671,6.82602836635,0.0,1858.10743488,0.0790383,6.79749683426,0.144672452033,-6.8923,111,105.742913847,575.372314376,0.964784,1624.78931568,6.82519,1366.54691621,107.563,152.774928838,1624.78931568
112,1692.83704777,80.4578,6.90695,6.93811926708,0.0,2364.81917779,0.0789836,6.90816726551,0.144891617342,-7.00902,112,1907.34630388,151.583608182,0.981393,1692.83704777,6.93704,2180.79210391,108.163,173.751558333,1692.83704777
113,1288.04962395,80.7626,6.98121,7.01507470152,0.0,811.62361478,0.08115,6.98211708646,0.147970485965,-7.08674,113,-559.609569259,523.251596959,0.983654,1288.04962395,7.01414,74.5780109805,108.646,93.1090364093,1288.04962395
114,854.773012937,81.0915,7.05427,7.09372996355,0.0,2891.09646993,0.0881097,7.05538162084,0.151134089075,-7.16123,114,-541.165473014,1300.30931949,0.982762,854.773012937,7.09256,1432.82188378,109.118,162.237902466,854.773012937
115,446.263080308,81.4775,7.16373,7.20308943816,0.0,2927.49544841,0.102682,7.16436970022,0.156538187282,-7.26751,115,-545.723341809,1146.06677368,0.977232,446.263080308,7.20226,1303.05271197,109.59,155.232196345,446.263080308
116,1601.71933326,81.7624,7.25996,7.3028508048,0.0,2493.90376004,0.0778753,7.26151499188,0.151687154283,-7.36784,116,-584.248499455,1167.6072242,0.981313,1601.71933326,7.30122,1353.97366525,110.13,138.555214445,1601.71933326
117,1461.15791405,82.109,7.38431,7.42818671964,0.0,2551.50566564,0.100292,7.38549473098,0.15984901023,-7.4927,117,-581.273440662,993.966715883,0.973788,1461.15791405,7.42701,1169.26253013,110.614,136.311074649,1461.15791405
118,694.648519151,82.4634,7.46616,7.5185386894,0.0,2633.25976058,0.0935949,7.46747678436,0.157950259401,-7.57664,118,-428.947313497,997.116294911,0.979582,694.648519151,7.51714,1480.54127287,111.179,188.15243979,694.648519151
