AverageQ,MaxEsReturn,AverageEsReturn,AverageY,MaxReturn,AverageReturn,MinReturn,AverageDiscountedReturn,StdEsReturn,QFunRegParamNorm,AverageAbsQYDiff,AverageAbsY,AverageAction,MinEsReturn,AverageQLoss,Iteration,PolicyRegParamNorm,AveragePolicySurr,AverageAbsQ,Epoch,StdReturn
516.354,3491.11857836,3491.11857836,516.366498937,5375.66475839,4582.86310169,784.417152017,392.765469051,0.0,263.161,4.09197332535,516.384242756,0.999517,3491.11857836,281.642,1816,180.135,-518.548,516.372,1816,1279.61886061
516.209,4099.70769897,4099.70769897,516.217529893,3736.43556278,2481.77129702,-288.664384417,246.212021749,0.0,263.229,4.28686195488,516.232220977,0.999531,4099.70769897,356.023,1817,180.15,-518.248,516.226,1817,1491.85271716
515.92,3609.94434351,3609.94434351,515.926064213,5106.65044795,4224.94784321,1307.57416392,372.273763651,0.0,263.324,4.13646255951,515.936296814,0.999512,3609.94434351,289.089,1818,180.157,-517.729,515.93,1818,1042.50156716
515.927,3095.14446473,3095.14446473,515.926653574,5521.143031,4751.50657078,1397.18907574,405.140049019,0.0,263.388,4.01315084284,515.939226585,0.999718,3095.14446473,276.532,1819,180.143,-517.941,515.941,1819,1155.09656078
516.659,3443.89363521,3443.89363521,516.672579069,5557.93401417,5102.76914439,3389.56332752,431.838132416,0.0,263.452,3.98456876719,516.695709794,0.999645,3443.89363521,263.908,1820,180.166,-518.756,516.683,1820,619.321117373
516.284,3235.38707961,3235.38707961,516.295518996,5500.95195084,5197.36341622,4084.67371531,423.167310761,0.0,263.526,4.31677558979,516.317040193,0.999598,3235.38707961,335.083,1821,180.157,-518.328,516.306,1821,406.859191601
517.231,3601.16104702,3601.16104702,517.2249358,4603.52617487,4488.28873288,4370.69031472,358.963574912,0.0,263.594,3.85015909819,517.239491948,0.999624,3601.16104702,230.779,1822,180.19,-519.226,517.248,1822,72.5216362593
516.369,3544.70537318,3544.70537318,516.379527109,5290.89431709,5178.68878625,5091.96195147,400.188339721,0.0,263.664,3.92004113733,516.399241471,0.999653,3544.70537318,259.291,1823,180.294,-518.403,516.39,1823,58.2652783606
516.547,3021.02228625,3021.02228625,516.55650348,5638.21312218,3736.83306491,264.375952294,378.898000968,0.0,263.719,3.80227418166,516.575126298,0.999722,3021.02228625,253.847,1824,180.391,-518.696,516.566,1824,2059.59310989
517.346,3343.44900967,3343.44900967,517.356556735,5650.16108401,2951.5918295,-236.606276311,380.029223746,0.0,263.8,3.97775780094,517.373733272,0.999699,3343.44900967,290.326,1825,180.516,-519.405,517.363,1825,2222.7233508
