Epoch,AverageReturn,StdEsReturn,MinEsReturn,StdReturn,AverageQ,MinReturn,AverageQLoss,AverageY,AverageAbsY,AverageDiscountedReturn,AverageEsReturn,MaxReturn,AverageAbsQYDiff,PolicyRegParamNorm,Iteration,AverageAbsQ,MaxEsReturn,QFunRegParamNorm,AverageAction,AveragePolicySurr
85,140.541905836,32.4493524841,9.9838695462,9.13787808583,7.28768,113.785609021,0.183658,7.28960009764,7.28968975195,120.89364634,137.572210522,163.423659224,0.246722361377,18.9481,85,7.28831,186.68816993,96.9799,1.0,-7.34744
86,139.566513709,26.2875132805,66.5741729544,9.23669044584,7.30417,111.324482075,0.149981,7.30590396711,7.30590396711,120.163555067,145.708686408,161.887800394,0.237361866098,18.9481,86,7.30475,190.866911825,97.6558,1.0,-7.36267
87,139.015735854,18.3882238098,92.5779035997,9.51001325084,7.25033,114.318341444,0.184277,7.25214227616,7.25214227616,119.757474199,149.997679244,160.379682946,0.250579024774,18.9481,87,7.25066,178.72767913,98.3915,1.0,-7.30939
88,139.615271132,21.6722013826,39.7477058279,9.01221630163,7.2658,113.648375744,0.161036,7.26773098279,7.26773312238,120.215196157,144.417240267,162.819062511,0.238750292021,18.9481,88,7.26631,174.240370079,99.1724,1.0,-7.31685
89,140.045425533,25.2828739661,64.5125388469,9.55613925579,7.29678,112.048338035,0.204429,7.29885816515,7.2989010974,120.514113533,144.437897726,162.044544583,0.246067851117,18.9481,89,7.29712,183.681528055,100.006,1.0,-7.34702
90,138.613316246,29.3181641894,14.6059641372,9.62956923938,7.25358,110.099007389,0.166134,7.25516216903,7.25516410649,119.433662645,144.256674211,161.980283337,0.237015321805,18.9481,90,7.25402,178.938779794,100.784,1.0,-7.30235
91,139.494906427,21.4778270833,70.6539127534,9.54030068262,7.24105,110.941391367,0.152748,7.24218803098,7.2422074604,120.094599653,146.812083712,158.404729357,0.235083248269,18.9481,91,7.24134,201.707737584,101.496,1.0,-7.28998
92,140.009683357,21.0358238296,72.8375024935,9.46609378612,7.29735,112.101002645,0.176247,7.2994454423,7.29947226188,120.49570564,145.634004342,161.757422894,0.239645510088,18.9481,92,7.29745,180.058968595,102.222,1.0,-7.34835
93,138.989502298,21.6935439442,82.4193069654,9.86468893165,7.21513,114.578491155,0.181013,7.21681970696,7.21686381636,119.716098412,153.239479661,161.141385069,0.242475175145,18.9481,93,7.2154,200.52353185,102.927,1.0,-7.27282
94,140.278523288,22.5229017109,78.383718737,9.37873679025,7.22685,111.054936409,0.175627,7.22896095395,7.22898563393,120.68540422,145.606113622,162.443089554,0.240516930218,18.9481,94,7.22738,190.064338553,103.617,1.0,-7.27915
95,139.80698755,21.7143071468,76.140040395,9.0669483612,7.24332,111.370910058,0.155178,7.2441916907,7.2441916907,120.342055811,144.202916782,162.332565077,0.229489521749,18.9481,95,7.24348,178.364680103,104.248,1.0,-7.29325
96,138.6478059,21.7242598078,60.8591523396,9.54788960372,7.23884,111.261522811,0.148063,7.24022906437,7.24022906437,119.455116297,142.850867276,158.333210104,0.225363605531,18.9481,96,7.23895,174.824886814,104.877,1.0,-7.28695
97,139.25914924,23.9666207375,51.2913493726,9.23688337696,7.27058,111.575761344,0.174141,7.27256098768,7.27256312728,119.933273963,143.595464149,161.930356013,0.236086530667,18.9481,97,7.27076,177.417482194,105.562,1.0,-7.32052
98,139.797085105,15.8356502191,107.760439642,9.56669599648,7.23866,109.988471496,0.162304,7.24022356791,7.24031709485,120.327970415,148.907433435,165.739127711,0.231937273103,18.9481,98,7.2388,176.055435743,106.223,1.0,-7.28202
99,139.040921705,18.416679317,89.2042498789,9.33635964068,7.23902,111.816320777,0.171117,7.24063476051,7.24072107471,119.758901547,143.469381118,159.439856717,0.233373416738,18.9481,99,7.23923,174.754694159,107.01,1.0,-7.29236
100,139.591855702,24.2594490294,56.7935338777,9.70959472631,7.24169,112.515842157,0.17381,7.24303178448,7.24303178448,120.178394193,140.378457977,164.043828338,0.229386378128,18.9481,100,7.24178,176.55968455,107.673,1.0,-7.29056
101,139.672851104,14.8178315505,124.831311108,9.56664676199,7.22796,112.933989966,0.159405,7.22936991688,7.22936991688,120.240557232,154.722818428,160.57106819,0.226264924501,18.9481,101,7.2281,191.974257344,108.42,1.0,-7.26897
102,139.507063293,25.3137705659,38.8133413905,9.61848558516,7.1872,110.230985942,0.184024,7.18925300762,7.18927457664,120.093267026,147.372683648,162.838820167,0.232848288191,18.9481,102,7.18731,174.716326508,109.055,1.0,-7.22799
103,139.517848575,22.4446379864,43.2403990547,10.1038383958,7.21727,112.463801035,0.163556,7.21836175542,7.2183864354,120.120164888,144.353517111,161.373501482,0.226402195821,18.9481,103,7.21751,168.479362639,109.676,1.0,-7.25764
104,139.365721036,19.539258442,87.7781338902,9.75049827141,7.24835,110.295254207,0.15758,7.24953876895,7.24953876895,120.015085623,140.549408905,159.669907209,0.22606069433,18.9481,104,7.24844,181.057941393,110.3,1.0,-7.28891
105,138.889069939,23.6466459837,71.3865003955,9.54436914721,7.22409,110.523242483,0.148505,7.22506475871,7.22506475871,119.645361039,146.863998936,160.125933055,0.225550183774,18.9481,105,7.22457,194.848568126,110.846,1.0,-7.26161
106,140.256368521,16.7634909145,90.4706303746,9.21750242564,7.19941,108.700153569,0.161497,7.20119785312,7.20122908454,120.671157143,150.356180975,158.416878472,0.229179380006,18.9481,106,7.19983,177.898577311,111.587,1.0,-7.24346
107,139.220591654,24.7367990945,39.9123640536,9.73567491714,7.20972,110.5590357,0.138167,7.21068280396,7.21070748395,119.894339812,150.105491092,159.261068251,0.217609793996,18.9481,107,7.20987,194.742922553,112.314,1.0,-7.25238
108,140.069299998,19.6942038682,86.0324903044,9.80645656267,7.24329,110.602759482,0.176084,7.24499240433,7.24499240433,120.532556424,141.775370697,161.667366282,0.228166211471,18.9481,108,7.24336,184.28425939,113.025,1.0,-7.28329
109,139.548269125,26.6194570879,9.8155763945,9.80297399496,7.1772,113.22293165,0.157897,7.1786277214,7.1786277214,120.13588941,140.156940521,161.88246618,0.227069739039,18.9481,109,7.17751,177.505497411,113.639,1.0,-7.21368
110,139.539134816,17.9803351057,87.5371730043,9.50779873093,7.25049,112.098313163,0.144863,7.25082578842,7.25084521784,120.121766815,145.44439572,160.003914966,0.217544430152,18.9481,110,7.25059,177.099247354,114.276,1.0,-7.29065
111,139.160705937,16.1458193895,118.37693732,8.99190788137,7.23244,110.45282993,0.175489,7.23414301796,7.23414301796,119.856052047,151.84026838,160.809161013,0.22884700235,18.9481,111,7.23257,188.999663779,114.845,1.0,-7.27936
112,139.18307767,17.569960975,109.027314584,9.98780456948,7.24322,107.122921005,0.141037,7.24508996398,7.24524946366,119.854960751,147.809027772,157.585362851,0.213914507065,18.9481,112,7.2435,182.18450081,115.513,1.0,-7.28637
113,140.029452233,27.8735910983,38.629606149,9.52697742989,7.23376,110.365279728,0.142191,7.2354618309,7.23546824968,120.500384111,146.205732615,162.031697718,0.216080707822,18.9481,113,7.2338,174.365572589,116.086,1.0,-7.28064
114,139.024189069,24.5151317585,61.9874297716,10.2535232061,7.20687,111.060481425,0.155599,7.20777104607,7.20788476603,119.731972815,147.231451124,159.293643147,0.222807943887,18.9481,114,7.20722,173.922118128,116.71,1.0,-7.24864
115,139.356341494,28.4740736756,29.0420595817,8.98788597004,7.21331,108.944950739,0.170971,7.215570019,7.21558944842,120.006268316,141.720438564,158.747493356,0.223017567041,18.9481,115,7.21363,183.637318663,117.354,1.0,-7.25416
116,139.338036231,24.6261707419,43.4280583818,9.75604820778,7.18145,115.046534876,0.175693,7.18278189714,7.18284717087,119.971187376,145.601561711,163.191070866,0.223901211361,18.9481,116,7.18198,175.401501334,118.016,1.0,-7.22358
117,138.120733466,24.8411580538,53.8325603671,9.39643108674,7.20064,112.80918415,0.155213,7.20225078038,7.20232448276,119.081144182,147.689559851,158.581212671,0.217903195671,18.9481,117,7.20083,177.240465321,118.64,1.0,-7.23829
118,139.419973843,28.6824929683,24.3805568396,9.22417778484,7.24581,115.109673504,0.143662,7.24677869922,7.24681779793,120.046117856,142.748557515,158.475408417,0.210465706279,18.9481,118,7.24592,187.710788357,119.109,1.0,-7.28268
119,138.425327488,24.1808652098,42.4767768861,9.72808156155,7.19961,112.251558249,0.139681,7.20093475021,7.20105327661,119.307838923,147.371811876,158.6631794,0.210302387205,18.9481,119,7.19995,190.184415288,119.707,1.0,-7.23574
120,140.063234187,23.4252782384,33.6691227825,9.05898696887,7.25658,114.832262157,0.159579,7.25770297971,7.25772240913,120.532909699,142.060987358,158.019353092,0.216564034404,18.9481,120,7.25687,167.627867275,120.474,1.0,-7.29453
121,139.67565753,24.2970537643,38.7293372345,10.0212401953,7.26664,111.773422264,0.170282,7.26772805342,7.26779236441,120.228331999,144.108610262,161.877605793,0.222712694451,18.9481,121,7.26696,175.464549832,121.087,1.0,-7.30952
