Iteration,AverageAbsQ,Epoch,AverageEsReturn,AverageAction,AveragePolicySurr,AverageQ,StdEsReturn,PolicyRegParamNorm,MinEsReturn,AverageReturn,MinReturn,AverageY,AverageAbsY,AverageAbsQYDiff,StdReturn,QFunRegParamNorm,AverageQLoss,MaxReturn,AverageDiscountedReturn,MaxEsReturn
56,90.7364,56,179.514246973,0.625732,-94.4974,90.6566,69.4933848427,34.9575,46.445489415,240.730474888,207.770582483,90.6647465761,90.6728866958,2.38183289568,15.8311114915,51.8978,25.0248,268.158238601,135.802247127,301.322363714
57,92.6924,57,233.559584295,0.604346,-96.5144,92.5988,128.929427199,35.2325,6.62795425809,194.281080532,157.558309983,92.6136590609,92.6299830384,2.62362602683,16.5692510503,52.533,33.1915,229.510341755,121.574380376,454.986034014
58,95.1986,58,203.255140991,0.540252,-98.984,95.1025,102.228350015,35.5526,7.87094462887,370.421801597,234.070872101,95.1140951881,95.1320411982,2.64890586019,72.0642637572,53.1253,31.6157,464.690758312,176.195999438,322.270858592
59,97.363,59,280.464880822,0.587413,-101.134,97.2741,74.4172097729,35.8692,148.575197592,253.658594835,218.656290757,97.2899269262,97.2994193942,2.63401448732,14.672238103,53.7212,32.7565,289.354034428,143.851908771,374.552674698
60,99.5535,60,174.31865919,0.591032,-103.421,99.4556,105.161700583,36.2372,34.3757209609,312.83015689,210.107569161,99.4674253776,99.4809745963,2.69935072446,96.298164265,54.3281,32.5425,450.821007492,157.919505675,375.053757201
61,101.955,61,191.267047305,0.587218,-105.853,101.852,127.213703334,36.5036,9.4676911307,330.605201292,243.216793538,101.860940116,101.874581074,2.79625614226,39.0303920518,55.0045,37.7339,384.841807053,166.145103578,417.259855275
62,104.259,62,223.788088248,0.586204,-108.286,104.165,96.4533007281,36.7558,79.142149916,262.54753699,155.586227257,104.179996254,104.194204296,2.79799332141,49.7212988971,55.6237,35.24,364.075718703,144.797739092,366.563002409
63,106.227,63,165.352239603,0.586991,-110.293,106.13,106.241888127,37.0568,31.4124578417,324.969797059,219.275937156,106.143504136,106.1620003,2.88595523464,45.8307716062,56.2625,39.5676,399.485087098,165.231421218,331.530583625
64,108.804,64,248.02308934,0.559101,-112.951,108.699,100.357234008,37.2926,13.5322916222,341.246895425,313.385122567,108.710584436,108.730190741,2.8244755963,19.8734177097,56.8158,33.9865,392.64189223,168.934924969,422.717504725
65,111.155,65,233.13203857,0.582969,-115.328,111.049,90.1134359036,37.5381,69.6464735273,281.017484607,208.981532708,111.060463415,111.07421177,2.99828840334,61.1327953899,57.4546,39.3977,400.272389699,150.327304163,385.088283918
66,113.8,66,203.060791493,0.581046,-117.977,113.7,86.8688826532,37.8394,59.0539921938,327.232532431,286.662417632,113.713240472,113.730094405,3.03014253663,29.9510168724,58.0541,42.1926,378.923401554,164.782825611,354.326408162
67,115.995,67,167.40205249,0.562552,-120.237,115.877,94.713620721,38.08,6.61441683402,370.6040294,298.592181518,115.890910704,115.907514661,3.07597144576,25.458036072,58.5777,43.8344,416.458451945,176.918272463,318.307173251
68,118.196,68,172.722746712,0.568354,-122.476,118.082,109.489651319,38.3529,31.4175313285,376.512482011,273.808846317,118.096631058,118.112133684,3.09115225562,33.9966740851,59.2459,41.4242,421.509467416,178.361042718,352.162536059
69,121.166,69,196.405606918,0.597923,-125.494,121.049,84.1652858927,38.6042,76.155054517,330.941878034,259.519240645,121.058170802,121.07705433,3.0466736302,36.2194503681,59.7344,40.237,386.572672596,166.024641216,349.256310005
70,123.03,70,217.812740339,0.574317,-127.521,122.904,128.089884159,38.8629,10.778575203,363.974555908,220.07909175,122.913510388,122.932195519,3.21822692278,38.6796778993,60.3605,47.0208,394.544343246,174.537866536,357.237231881
71,125.159,71,275.347559121,0.531744,-129.611,125.04,110.386189769,39.1159,61.1002577833,412.88263242,230.684181224,125.055201622,125.083086058,3.16376913121,74.1985513146,60.9381,43.5182,567.933708966,188.42972081,436.595620438
72,127.481,72,228.860174959,0.541188,-132.093,127.356,143.331967719,39.3339,8.21806170855,400.482614757,392.40069576,127.366635148,127.391878549,3.29092622065,4.1623243342,61.4677,49.2284,412.327291626,189.495661437,413.167856187
73,130.294,73,201.606366161,0.508628,-134.808,130.187,128.46850685,39.5794,18.6437041148,335.096602231,278.894015215,130.202062681,130.22535185,3.27943216013,25.6064206859,62.0891,45.5874,390.932071895,171.380075892,411.067038075
74,132.412,74,203.234262334,0.61871,-137.068,132.278,121.085425274,39.849,6.69517267676,311.617859392,234.020620112,132.289838939,132.316452361,3.41891987786,56.7424050223,62.6252,53.8141,430.707344066,159.500178036,349.524433282
75,134.324,75,215.427269473,0.541552,-138.965,134.199,119.588353531,40.064,16.4341727581,254.471465811,239.932566183,134.213141132,134.242017514,3.39552530775,27.2918677726,63.1303,50.5519,395.697653859,143.714502681,378.701070528
76,136.701,76,165.882924846,0.532998,-141.281,136.551,137.887780476,40.3153,10.1059009675,395.193502953,238.643558514,136.555613767,136.589248071,3.44631255992,109.215572369,63.6927,55.4172,596.379895427,177.017237879,401.743216537
