AverageQ,StdEsReturn,AverageDiscountedReturn,MinEsReturn,AverageAction,AverageEsReturn,AverageAbsQYDiff,MaxReturn,Epoch,AverageQLoss,AveragePolicySurr,MinReturn,PolicyRegParamNorm,AverageAbsQ,StdReturn,AverageY,AverageReturn,MaxEsReturn,QFunRegParamNorm,Iteration,AverageAbsY
54.3814,2.3896419457,44.2213011021,88.9098830599,0.997653,92.370872412,0.702971072383,92.9999880646,85,4.18319,-55.791,92.7075416368,35.4679,54.3814,0.058324015856,54.3858750677,92.8848258665,95.1157167689,124.122,85,54.3859009246
55.8014,1.93748756243,44.4202913926,90.4171408221,0.998141,93.7214261299,0.748797209608,93.0553368852,86,4.43346,-57.2168,92.8000278107,35.6468,55.8014,0.0609917756019,55.8059248946,92.9181564186,99.1183856372,124.8,86,55.8059507733
57.0817,1.56577551124,43.2662598915,90.3779863464,0.997831,94.1560777045,0.719743924416,92.8121256319,87,3.40241,-58.5035,92.5017026092,35.7582,57.0817,0.0757075361664,57.085726977,92.7070912923,97.8942589565,125.834,87,57.0857538188
58.4552,1.34828252572,41.5984624038,92.5807928406,0.99533,94.0482080521,0.724283287631,92.5579113657,88,3.92645,-59.8704,92.1009286478,35.8383,58.4552,0.103073242918,58.4595735173,92.4075944984,98.0773350833,126.728,88,58.4595952875
59.7574,1.48173182719,40.3295705509,93.6208894344,0.99865,94.6163292211,0.747084052903,92.5000047087,89,3.7642,-61.1628,91.8001534895,35.9448,59.7574,0.11274442007,59.7626922168,92.1379712122,99.4781602271,127.57,89,59.7627184781
61.0097,1.86267957792,40.1385706867,89.9854630493,0.995833,93.2494298362,0.753146435265,92.4000041246,90,4.34724,-62.3867,91.7946716062,36.0419,61.0097,0.114995773907,61.0163184838,92.1195905246,97.1408566014,128.564,90,61.0163486457
62.1533,0.822059190439,41.8271695701,92.8106632427,0.998238,93.8109507488,0.750066462175,92.5995889039,91,3.94853,-63.4855,92.1005364977,36.1298,62.1533,0.0989452123585,62.1612718547,92.4322998993,95.6759786649,129.649,91,62.161291032
63.1329,2.51450818959,41.474464387,89.1280476966,0.998363,93.633667329,0.714158374106,92.5356737584,92,3.32458,-64.4286,92.1002912246,36.1671,63.1329,0.0925719845265,63.1409585363,92.3636626965,99.8,130.73,92,63.140977948
64.0887,1.40724560698,42.4706211633,90.9191332938,0.995572,93.3202736466,0.728675875708,92.6999807752,93,3.88937,-65.338,92.3001678965,36.1966,64.0887,0.0907069974295,64.0972455048,92.5722945903,95.4716386529,131.678,93,64.0972745173
65.0264,3.33326962395,42.7381087519,84.6956977005,0.998344,93.6990684192,0.699372479833,92.7976740354,94,3.06648,-66.2197,92.400004673,36.2794,65.0264,0.0764039115086,65.03536679,92.6048603799,99.7363293705,132.487,94,65.035382954
