MinReturn,StdReturn,AverageEsReturn,MaxReturn,AverageQLoss,AverageAbsY,AverageAbsQ,Epoch,QFunRegParamNorm,MaxEsReturn,AverageY,AverageQ,AverageDiscountedReturn,Iteration,AverageReturn,PolicyRegParamNorm,AverageAbsQYDiff,MinEsReturn,AveragePolicySurr,StdEsReturn,AverageAction
304.309243529,18.7467179567,329.522944574,404.341133687,59.6452,144.95868869,145.039,83,67.7886,592.961396288,144.897949352,144.879,181.859333578,83,386.392189062,42.7906,3.36344393058,12.4612572397,-148.653,181.186923426,0.707192
255.894298741,78.7489512036,252.77176231,528.420362162,64.7452,147.323152192,147.431,84,68.1876,480.278281943,147.242501717,147.232,170.972957214,84,357.232540004,43.031,3.47646760701,14.4915989029,-151.099,155.022784857,0.654642
235.593389028,73.3165479384,252.483546883,515.489720224,62.3482,149.147598325,149.256,85,68.6734,410.753631616,149.076253202,149.056,160.721854542,85,320.341200924,43.2088,3.49083171704,8.23185612502,-153.037,126.108421869,0.685507
285.754659715,32.2852500891,297.56787176,411.239514731,62.9247,151.323712341,151.418,86,69.1104,470.459419043,151.251368076,151.232,171.349834973,86,346.019682517,43.3959,3.50056304874,66.106637496,-155.096,127.57654036,0.707299
271.888594156,106.24961597,264.224225889,632.869346079,65.825,153.47193162,153.578,87,69.5618,440.547513898,153.399155514,153.387,173.158598239,87,370.420736157,43.5846,3.52774065908,66.5991196334,-157.215,122.059555797,0.660673
279.202980281,60.7669298055,276.876841611,578.971738716,69.5399,155.409505386,155.518,88,69.9776,387.377548982,155.338487452,155.325,184.899253443,88,414.446390769,43.7292,3.56694895821,45.3865555956,-159.253,112.800394532,0.70639
293.110978059,28.2553833052,217.350725754,407.755175566,66.2728,157.490354294,157.616,89,70.4005,437.642939742,157.416833152,157.402,174.372923415,89,351.771669653,43.9401,3.62787251846,12.6897663237,-161.254,171.932184575,0.713438
236.513975616,35.2654731188,196.187360622,392.70775833,68.046,159.319901071,159.433,90,70.7903,318.927651848,159.257366725,159.252,155.802093458,90,288.126239131,44.0971,3.57930755054,16.1428681383,-163.053,103.010687314,0.722103
280.660984893,49.3628507859,238.210172973,397.845261973,71.0636,160.7197841,160.822,91,71.3059,626.405255782,160.648037209,160.628,167.922173407,91,332.22427992,44.2911,3.6379183481,13.9629702002,-164.535,206.844568563,0.746608
358.667855103,11.9789602262,175.624347145,412.357813833,75.8296,162.431480475,162.544,92,71.7131,421.549145126,162.369150771,162.349,181.728569772,92,382.69264792,44.4776,3.70284324682,15.3067854258,-166.157,132.907942801,0.7516
277.301542172,43.8141406734,165.894830116,520.184403309,69.9175,164.50229961,164.613,93,72.0841,436.687808203,164.433315195,164.425,177.931298009,93,368.99361429,44.6566,3.65419032217,11.1498881399,-168.195,145.454465891,0.694337
442.269883617,59.8973088664,198.806170786,643.00453915,71.2595,166.279667016,166.387,94,72.5873,382.913134275,166.205372737,166.186,202.669854904,94,523.372347008,44.823,3.73397643649,47.0454218017,-169.994,130.392446417,0.698496
303.376324211,73.1681594984,223.091124661,532.005481166,81.3888,167.06662818,167.181,95,73.013,444.162003168,166.983060955,166.969,192.593220412,95,450.988206465,45.0075,3.8043552093,17.5710681149,-170.816,140.689612264,0.743712
275.886943637,43.3790427902,146.89144807,457.871104519,79.9306,168.830611835,168.97,96,73.3954,381.95836412,168.744478217,168.733,181.128847782,96,393.312160044,45.1901,3.88993640223,13.4166971946,-172.542,115.926566172,0.7095
268.894019578,31.6707470027,175.363226915,426.770520236,74.5346,170.211099537,170.351,97,73.7723,465.780104674,170.135265947,170.12,175.179071857,97,357.517653606,45.3041,3.84973277848,9.84024288195,-174.033,142.696849197,0.709267
222.426325224,50.4815759278,195.056801553,566.747589427,80.8145,171.930758433,172.052,98,74.1975,340.189422557,171.842458933,171.823,191.256822934,98,456.232429551,45.439,3.87036637375,14.7715695494,-175.609,112.416735102,0.710368
224.04825498,12.5386970199,208.015960861,308.071473562,82.6125,173.603406265,173.736,99,74.5977,492.448579959,173.506532656,173.491,145.876065619,99,265.026260983,45.5951,3.96159389851,12.7435263497,-177.393,130.415662956,0.632017
338.667318846,85.7509520994,184.181935204,732.606466936,83.5388,174.956220788,175.107,100,75.0651,497.061559193,174.851845074,174.838,197.252318161,100,454.548382338,45.7176,4.02313751624,10.8877833523,-178.774,177.650834489,0.684588
192.625837686,25.2921677987,401.275519672,310.483481064,86.7083,176.586842933,176.708,101,75.454,767.093699261,176.47849827,176.462,147.823432708,101,269.659317691,45.8562,3.97387955164,17.0521922856,-180.306,201.963264301,0.656267
251.318501886,91.7024929396,158.232393957,517.530898485,90.5028,178.071134915,178.196,102,75.91,400.867033933,177.969173019,177.949,185.793209146,102,418.150614219,46.025,4.05030900422,10.8319204382,-181.798,127.491135614,0.691911
238.231166912,80.4707317003,206.268282536,524.866505327,92.8597,179.168768865,179.326,103,76.2671,528.268262299,179.065984809,179.051,171.399523745,103,357.226914783,46.2328,4.17289423282,17.8593555798,-183.009,171.437747353,0.680083
56.9639362493,1.46243726855,162.799724256,66.3733380168,93.7894,181.078185027,181.215,104,76.681,495.909695792,180.968114837,180.957,48.8173049332,104,61.1432098796,46.3969,4.14822520952,15.8468172472,-185.025,141.873653418,0.595844
308.02929422,72.691219328,266.395182381,772.905924059,99.6866,182.258532619,182.413,105,77.1553,711.631997775,182.132046907,182.121,207.240377746,105,591.657383878,46.5384,4.30942365248,12.8760218589,-186.213,244.478760772,0.701261
486.486839459,29.1940786796,164.205873067,612.043279085,94.813,184.356361809,184.482,106,77.5072,587.158729411,184.223989804,184.201,205.511891107,106,525.882511658,46.6682,4.29414853882,16.1877322886,-188.37,174.594681191,0.675939
82.0689401102,72.2955153053,196.850104909,610.630905103,109.347,185.755252816,185.885,107,77.9841,482.909347086,185.636256504,185.615,187.060726187,107,515.117031093,46.8771,4.39955717574,14.8508176662,-189.823,162.908352685,0.696887
247.417666538,77.0335050703,234.955796462,519.39471607,96.8948,187.607682091,187.733,108,78.3236,521.090582033,187.483908261,187.471,158.155039403,108,318.363281225,47.0245,4.27098666195,41.6702123389,-191.785,130.260171122,0.689876
244.118239085,173.806599714,234.608195844,716.883329911,92.8331,189.550104644,189.693,109,78.6659,522.786605807,189.404464077,189.39,195.600580377,109,511.752388763,47.237,4.25099129019,15.6577876197,-193.596,185.932326963,0.736422
520.417335751,85.612752017,205.249969591,804.131385977,106.61,190.754443205,190.895,110,79.0883,540.511564561,190.628927451,190.612,218.860189904,110,646.294880703,47.4012,4.45183825416,9.38955616089,-194.904,203.764203836,0.704454
202.622192301,154.408624611,313.245360451,719.073925208,109.49,192.726110625,192.874,111,79.4713,758.155224092,192.576869543,192.551,145.44658675,111,298.87208044,47.5772,4.50028897185,20.9125066363,-196.721,260.824795722,0.703824
239.655498297,125.623267523,382.666025608,800.17167091,102.973,193.868159903,194.011,112,79.8179,561.999220456,193.726241685,193.719,212.456884256,112,599.390854624,47.7242,4.38222661078,110.31850424,-197.821,142.940077216,0.780709
234.762358229,112.62495064,193.041647297,699.037739885,105.705,195.619641328,195.767,113,80.2885,613.379637922,195.481898217,195.459,160.610564955,113,341.898851451,47.9087,4.52050630142,18.3616509166,-199.704,187.07245199,0.73241
223.681849844,156.729019805,244.924782405,826.274233739,105.29,197.80070875,197.939,114,80.6542,486.523024648,197.680094954,197.668,163.831792823,114,385.984729137,48.1026,4.52451477892,29.5027711199,-201.979,130.960001603,0.735773
220.546730281,207.562679844,179.589020934,866.107687365,113.392,199.141216868,199.27,115,81.012,395.734677159,199.018825411,198.997,157.492678954,115,363.355583162,48.2871,4.51347961487,28.3327738206,-203.337,127.29094095,0.74506
