MinEsReturn,PolicyRegParamNorm,AverageReturn,AverageDiscountedReturn,MinReturn,AveragePolicySurr,AverageAbsQYDiff,QFunRegParamNorm,AverageAbsY,MaxReturn,Epoch,Iteration,AverageAction,StdReturn,AverageQLoss,StdEsReturn,AverageEsReturn,AverageAbsQ,AverageQ,MaxEsReturn,AverageY
13.2766381547,44.9551,267.801129883,146.216944108,148.448407497,-155.793,3.65480363277,70.4512,151.398056147,456.012660867,94,94,0.744735,55.4679168253,63.5189,145.417358018,154.331283093,151.472,151.349,489.757145963,151.368991383
36.9831144536,45.1033,464.200553634,189.690642925,429.699450111,-157.149,3.72844589613,70.9451,152.708594597,537.834634656,95,95,0.70248,20.1610941814,69.9096,133.468172882,208.194803757,152.787,152.667,496.66564757,152.680749675
10.3098084197,45.2509,406.102450425,183.381962348,309.779049259,-159.576,3.75693750307,71.4067,155.052288676,448.416623199,96,96,0.695818,28.3014280791,70.3072,116.05369575,167.870275832,155.131,155.011,427.198051231,155.027416205
10.5919542874,45.4215,238.167342384,134.468506799,144.628975743,-161.433,3.72941427868,71.8529,156.9486457,411.348856924,97,97,0.75555,72.2617210909,62.8458,224.510041212,350.846341696,157.042,156.898,646.355411257,156.909945115
15.6522508789,45.589,464.467206841,192.781360435,374.859514089,-162.863,3.82427648942,72.2528,158.302069108,524.173803555,98,98,0.714257,28.3173530095,68.7914,188.594073312,239.257591025,158.396,158.252,773.883602083,158.271308932
19.306377129,45.7717,501.008154565,196.468974377,426.655879095,-165.464,3.83083299389,72.7341,160.811692155,561.565471861,99,99,0.719186,35.1923240836,69.0496,182.183143448,214.189955381,160.901,160.777,633.605857758,160.786754028
46.6053316476,45.9516,271.132757928,148.257486334,138.364505479,-167.151,4.01179470999,73.1805,162.408077961,372.538336629,100,100,0.768106,60.1164819202,78.2157,152.050059613,267.604430793,162.502,162.357,545.013113278,162.378390679
11.524792122,46.0861,474.789365184,197.057844031,429.996842973,-168.992,3.93079367106,73.6356,164.236534984,518.183541047,101,101,0.726252,19.6188734093,75.0132,140.504571656,180.229513453,164.319,164.195,509.924454497,164.204634515
9.01135034845,46.294,296.788540422,154.867884346,155.718285452,-170.748,4.05902239526,74.0444,166.101571752,444.3986741,102,102,0.743437,67.7218675609,81.5049,159.744270134,242.382203194,166.182,166.039,540.431590286,166.059098053
5.79786583652,46.4745,293.609167058,153.433614815,152.589859358,-172.209,4.1141770426,74.5452,167.363337499,456.761945789,103,103,0.735143,68.2696403371,85.4853,145.760428938,234.365296388,167.453,167.299,500.009139901,167.321918651
11.6367180161,46.6224,439.849908678,195.643983952,344.959516478,-174.707,4.09422357465,74.989,170.024820172,588.620546167,104,104,0.745102,49.1376602129,85.8707,194.458549668,285.478994316,170.126,169.979,674.219594877,169.986524077
40.6429174051,46.7834,427.24610588,193.28373851,295.80595241,-176.629,4.06473267447,75.3427,171.877737829,488.03988825,105,105,0.767352,43.4826532741,81.2471,188.934258647,252.016851159,171.972,171.827,713.715052129,171.840274875
46.3531730798,46.9152,255.731158342,143.177382272,139.448937437,-178.825,4.00500702407,75.7996,173.980875721,374.714289854,106,106,0.779132,50.1865215858,79.0651,195.809092963,251.524689435,174.065,173.926,749.476794615,173.942668655
289.930113064,47.1012,464.864163649,203.196556243,422.915644984,-180.333,4.16588043888,76.2773,175.452219434,516.221254969,107,107,0.779595,17.8111032237,88.48,48.8169873263,377.453224071,175.548,175.397,432.456745962,175.407008835
14.8705926028,47.287,298.402406927,157.770522041,207.563216499,-181.504,4.0881715666,76.6755,176.648140818,380.400133619,108,108,0.754794,49.4015014916,80.4884,156.240912856,227.972741657,176.75,176.606,503.19172894,176.621669309
