AverageReturn,Epoch,StdReturn,QFunRegParamNorm,Iteration,PolicyRegParamNorm,AverageQ,AveragePolicySurr,AverageQLoss,MaxEsReturn,MinReturn,AverageEsReturn,AverageAction,AverageAbsQ,MinEsReturn,AverageAbsQYDiff,AverageDiscountedReturn,AverageAbsY,MaxReturn,StdEsReturn,AverageY
3539.01119269,92,81.6898310467,50.9389,92,43.4296,118.12,-120.116,24.2037,2809.52088181,3381.57167728,2809.52088181,0.942473,118.12,2809.52088181,2.1379372,287.999552542,118.137123562,3646.04574995,0.0,118.136647972
3654.43111173,93,123.451443735,51.2799,93,43.6666,120.557,-122.65,24.8897,2621.23202973,3508.5084625,2621.23202973,0.930008,120.557,2621.23202973,2.1685330287,297.763122127,120.573332591,3914.16363156,0.0,120.572919909
2049.52164033,94,1323.90375604,51.6317,94,43.9142,124.344,-126.452,24.8709,2721.16866019,518.647749469,2721.16866019,0.935773,124.344,2721.16866019,2.20067303736,256.681029714,124.35963659,4429.81664582,0.0,124.359304568
4261.85622925,95,104.092126691,51.9705,95,44.1557,125.729,-127.775,24.4463,2859.30912893,4051.16934485,2859.30912893,0.938874,125.729,2859.30912893,2.16278229804,337.789868235,125.743384543,4440.10748797,0.0,125.743106027
3995.96972864,96,236.85590193,52.3408,96,44.4286,128.509,-130.583,27.4158,2985.57338764,3325.73090162,2985.57338764,0.940432,128.509,2985.57338764,2.24830626346,320.308581397,128.526799279,4180.59759792,0.0,128.526495651
3814.48414641,97,63.7789853531,52.6091,97,44.7246,131.299,-133.4,23.6369,2617.14967627,3661.65406545,2617.14967627,0.935302,131.299,2617.14967627,2.19762451652,304.426965007,131.31757342,3892.09563164,0.0,131.317264674
3821.31754117,98,57.0050691488,52.9312,98,44.9899,133.992,-136.022,25.0834,2915.5234094,3736.82139456,2915.5234094,0.936223,133.992,2915.5234094,2.18848590317,311.958070857,134.00750358,3919.89315427,0.0,134.007221341
3702.33420908,99,151.83013655,53.2895,99,45.1895,137.088,-139.152,29.3204,2801.08694691,3464.5509909,2801.08694691,0.944757,137.088,2801.08694691,2.2711927949,309.514213524,137.100251266,3898.63824025,0.0,137.099888435
3867.14717619,100,84.5219051143,53.696,100,45.4299,138.812,-140.905,29.0677,3015.6954653,3715.15154767,3015.6954653,0.944086,138.812,3015.6954653,2.28270908793,309.275403263,138.831492174,3982.58473586,0.0,138.831031383
4008.62034285,101,75.0521865044,54.0021,101,45.7098,141.406,-143.538,31.8441,2798.39575677,3882.38178057,2798.39575677,0.939813,141.406,2798.39575677,2.3350722203,325.448004388,141.422724177,4108.22531631,0.0,141.422415186
4536.25513915,102,88.4101225178,54.3178,102,45.982,144.482,-146.619,27.5619,2766.89810796,4342.65262826,2766.89810796,0.928944,144.482,2766.89810796,2.27845174332,365.262624208,144.496544867,4640.21079197,0.0,144.496269765
3745.99355396,103,1395.47624438,54.6178,103,46.1988,146.456,-148.593,28.1574,3107.08254756,148.671226469,3107.08254756,0.945187,146.456,3107.08254756,2.28112585893,339.0349538,146.47514299,4547.32634227,0.0,146.474865897
3494.71153171,104,88.9677662438,54.9387,104,46.4194,149.294,-151.382,30.7199,2769.42272592,3370.91202146,2769.42272592,0.925946,149.294,2769.42272592,2.34165949738,284.310929507,149.308666415,3654.07319206,0.0,149.30839601
4378.57920403,105,1148.61080694,55.1726,105,46.6173,151.698,-153.855,29.2259,2838.68186792,938.680272452,2838.68186792,0.943569,151.698,2838.68186792,2.32066628609,356.801179797,151.714822789,4866.06396073,0.0,151.714506237
4180.41906129,106,80.0903561558,55.4924,106,46.8808,154.497,-156.696,30.3684,2868.70921321,4045.4354521,2868.70921321,0.937254,154.497,2868.70921321,2.33515878893,342.88944791,154.510168445,4333.03882429,0.0,154.50986802
4015.83225626,107,1072.38293016,55.8377,107,47.0549,157.024,-159.178,31.9677,2919.04725106,1598.19759741,2919.04725106,0.951185,157.024,2919.04725106,2.37724470399,368.41123164,157.043269469,4713.47705462,0.0,157.042788406
4179.91026982,108,126.776766137,56.153,108,47.2763,159.573,-161.735,35.5916,2707.6078316,3961.13533124,2707.6078316,0.950624,159.573,2707.6078316,2.42619035819,318.033959916,159.588438259,4348.22884567,0.0,159.588087238
4117.89742932,109,151.497061411,56.4362,109,47.5044,161.404,-163.597,32.6601,2908.54544329,3855.16647231,2908.54544329,0.947278,161.404,2908.54544329,2.40068148024,328.064601442,161.420960485,4397.2389863,0.0,161.420698941
3947.28391366,110,83.6410685104,56.719,110,47.7336,164.972,-167.196,35.3253,2722.56420942,3739.82972023,2722.56420942,0.947314,164.972,2722.56420942,2.45108416213,323.327666173,164.984371351,4043.89838542,0.0,164.983999716
3380.0412647,111,77.8072901218,57.0704,111,47.8926,166.738,-168.948,34.7658,2725.58018365,3246.17600564,2725.58018365,0.939149,166.738,2725.58018365,2.43134800971,279.995049496,166.758079072,3500.90429822,0.0,166.757672063
3984.80452113,112,746.677206209,57.3266,112,48.1061,169.128,-171.331,37.5729,2900.75507792,1757.78578471,2900.75507792,0.958912,169.128,2900.75507792,2.46166717186,316.363046026,169.14171761,4333.74053691,0.0,169.141270421
4099.40341826,113,82.4666861262,57.6621,113,48.2887,171.662,-173.976,44.774,2754.43655755,3951.0646656,2754.43655755,0.944619,171.662,2754.43655755,2.53988389264,322.743352579,171.68423509,4281.83221856,0.0,171.683990427
2693.0152724,114,1491.00435921,57.9842,114,48.5154,174.528,-176.796,44.6128,3026.65501897,-29.358578712,3026.65501897,0.950963,174.528,3026.65501897,2.56479021653,305.076795041,174.542939405,4292.75448874,0.0,174.542685407
4281.09332009,115,53.3998615444,58.2983,115,48.7539,177.053,-179.356,44.0916,2931.14431868,4186.64363728,2931.14431868,0.932836,177.053,2931.14431868,2.55036879221,343.392335961,177.075243863,4345.46870169,0.0,177.07498745
3080.86047963,116,1236.08119638,58.5502,116,48.9564,180.015,-182.321,39.8482,2832.60440571,420.136718175,2832.60440571,0.931221,180.015,2832.60440571,2.59336922917,302.255983242,180.0279039,3945.24089317,0.0,180.027625118
3520.25594841,117,1510.22489789,58.8586,117,49.136,181.928,-184.287,46.0199,2794.18199974,840.674711209,2794.18199974,0.944534,181.928,2794.18199974,2.61594687088,348.350034791,181.942444649,4606.08806286,0.0,181.942104518
2962.96281959,118,1405.86685739,59.1696,118,49.2633,183.842,-186.169,45.3446,2874.14137313,102.073348575,2874.14137313,0.945377,183.842,2874.14137313,2.60636206327,298.950945978,183.861462585,4315.16730907,0.0,183.861271619
3975.55241149,119,1563.93993491,59.5855,119,49.4705,186.31,-188.684,53.9035,2953.40668417,215.792355359,2953.40668417,0.955672,186.31,2953.40668417,2.69407414708,356.197700925,186.335384221,4929.90042755,0.0,186.334960311
4517.45927074,120,633.90385554,59.8971,120,49.7062,189.019,-191.393,52.0328,2659.42559786,2721.29013997,2659.42559786,0.940225,189.019,2659.42559786,2.67188530685,378.675730311,189.029878125,4949.47070483,0.0,189.029581377
