AverageAction,MinReturn,MaxReturn,AverageDiscountedReturn,QFunRegParamNorm,AverageQ,MinEsReturn,AverageAbsQ,AverageQLoss,StdReturn,Iteration,PolicyRegParamNorm,AverageEsReturn,AveragePolicySurr,AverageReturn,StdEsReturn,Epoch,AverageAbsY,AverageY,AverageAbsQYDiff,MaxEsReturn
0.422441,1000.0,1000.0,99.9956828753,35.4727,0.947058,3.0,0.951155,0.00569212,0.0,116,36.1792,14.698630137,-1.05026,1000.0,18.7468243386,116,0.948511384884,0.947102510644,0.0277715821797,83.0
0.527,1000.0,1000.0,99.9956828753,35.6257,0.94855,3.0,0.95255,0.0062035,0.0,117,36.2383,14.1857142857,-1.05352,1000.0,16.2087215122,117,0.949943784545,0.948621855271,0.0281213874792,78.0
0.0351026,1000.0,1000.0,99.9956828753,35.7647,0.953682,3.0,0.958146,0.00638524,0.0,118,36.3353,11.1888888889,-1.06055,1000.0,12.4542669568,118,0.955275083425,0.953759996481,0.0304721669906,69.0
0.168539,1000.0,1000.0,99.9956828753,35.934,0.955961,3.0,0.959515,0.00615852,0.0,119,36.4459,14.984375,-1.06316,1000.0,17.048178227,119,0.957079509384,0.955968227971,0.0290931669281,93.0
0.00618529,1000.0,1000.0,99.9956828753,36.0404,0.965881,3.0,0.969639,0.00660891,0.0,120,36.5711,15.5820895522,-1.07068,1000.0,15.5334489868,120,0.966976053041,0.965857238481,0.0296065243327,73.0
0.0406157,1000.0,1000.0,99.9956828753,36.1154,0.96542,2.0,0.9693,0.00618863,0.0,121,36.6742,12.35,-1.07126,1000.0,13.5868502605,121,0.966783009754,0.965494101596,0.0290068101355,73.0
0.154129,1000.0,1000.0,99.9956828753,36.2785,0.969557,3.0,0.973763,0.00723415,0.0,122,36.7397,15.5538461538,-1.07508,1000.0,12.4641402792,122,0.970977846955,0.969578927532,0.0317564936655,61.0
0.05533,1000.0,1000.0,99.9956828753,36.2893,0.975784,3.0,0.979989,0.00592215,0.0,123,36.8071,13.875,-1.07915,1000.0,14.1401099123,123,0.977205898863,0.975798264784,0.0282659616059,85.0
0.134913,1000.0,1000.0,99.9956828753,36.386,0.977753,3.0,0.981699,0.00705267,0.0,124,36.868,12.3333333333,-1.07966,1000.0,9.65068922249,124,0.978766779379,0.977747755641,0.030846685205,48.0
0.109315,1000.0,1000.0,99.9956828753,36.5907,0.974919,3.0,0.979234,0.00689462,0.0,125,37.0017,14.6119402985,-1.08236,1000.0,13.819686611,125,0.976351507413,0.975034421361,0.0297720284465,71.0
