Iteration,AverageAbsY,AverageAbsQYDiff,AverageQLoss,MaxEsReturn,AverageY,StdReturn,MinReturn,AverageDiscountedReturn,Epoch,PolicyRegParamNorm,AverageAction,AverageEsReturn,AverageAbsQ,MinEsReturn,StdEsReturn,QFunRegParamNorm,AveragePolicySurr,AverageQ,AverageReturn,MaxReturn
55,62.2395620295,1.2981330067,8.55763,181.521644568,62.2160827671,1.79244382289,170.94443917,112.551477723,55,37.0495,0.869585,134.970373338,62.2668,8.35756683991,52.92721158,47.9315,-64.3902,62.2107,174.380089423,178.411867862
56,63.365894483,1.27572980913,7.78139,180.155965268,63.3332596332,1.79985726046,165.282243156,110.736333117,56,37.2225,0.906081,135.476649502,63.3966,37.7296974975,45.8979883999,48.4205,-65.4256,63.3303,170.10430194,173.399666292
57,64.3318873616,1.38674328343,10.14,184.119995449,64.3155808478,1.62070157746,168.223352837,111.640902462,57,37.5406,0.900941,149.10279602,64.3631,45.4035814221,36.1226412725,48.868,-66.4755,64.3103,171.853136103,174.998164738
58,65.3142169165,1.33761350761,9.36042,205.818852554,65.2837535722,1.6133333508,170.638691285,112.989499474,58,37.8721,0.921953,138.602742641,65.3443,15.7399004179,64.4900463096,49.3244,-67.3939,65.2797,175.396289243,178.856555654
59,66.3605672834,1.34260556588,10.3208,199.181354907,66.3379864243,2.531720392,166.806150736,111.586437887,59,38.0934,0.88017,149.016419179,66.39,16.8717133962,49.0328638304,49.7203,-68.4253,66.3345,172.15754872,181.528959811
60,67.1232227584,1.33417298071,9.23079,196.609487825,67.1006700238,1.73864447441,170.856515499,113.536395833,60,38.3491,0.848339,127.572720969,67.1545,29.6759468159,60.1319328376,50.1515,-69.2481,67.0971,176.618408626,181.147779247
61,68.3432753362,1.30079077814,9.3946,203.130852699,68.3193636102,2.54934920771,168.819450197,112.234197426,61,38.6021,0.883464,150.805103156,68.3744,29.0203943423,52.8768178958,50.4884,-70.4906,68.3156,173.716228742,180.881134309
62,69.2736783935,1.36541091239,10.336,184.343203188,69.2537246305,2.50075930963,171.803769865,113.766225865,62,38.8431,0.883422,120.117034522,69.3109,15.1144375079,61.0875870858,50.9037,-71.3314,69.2493,176.867582928,181.535006393
63,70.1613438426,1.43036640594,11.7156,185.41604224,70.1369237031,1.55180244474,170.584559406,112.385053745,63,39.1384,0.87541,128.464230401,70.1934,43.5563243527,48.9773943013,51.2688,-72.2751,70.1338,174.234751566,177.577826266
64,70.9308450415,1.35614736881,9.90713,197.081159532,70.8977336471,1.93702728827,172.828445099,113.224066983,64,39.415,0.904659,158.310935363,70.9643,45.8910846637,47.095498993,51.5926,-73.0215,70.8926,176.039153342,180.742741354
65,71.7296991652,1.36113430968,10.3399,179.882118913,71.7082111016,2.10677903545,168.390689942,111.992676939,65,39.6884,0.902607,147.48213961,71.7626,34.996339765,47.9814759626,51.9846,-73.8599,71.7039,173.36153875,178.332317371
66,72.8486338755,1.4502250961,12.7629,202.963530567,72.8257167161,2.93239268194,170.198299424,113.476476926,66,40.0568,0.897105,149.222512703,72.8859,39.7759267372,51.6655093299,52.3905,-75.0096,72.822,176.543940215,182.548268618
67,73.5197357673,1.38403511626,11.6758,188.585483101,73.4985882282,1.68088584136,164.894963354,110.61525289,67,40.3512,0.863186,130.919257474,73.5558,11.512149435,55.9335091934,52.8335,-75.7392,73.4929,169.989478307,173.833607219
68,74.3982437947,1.37075077534,10.3746,178.994045613,74.3807944548,3.76018731626,164.964295341,111.394599899,68,40.5409,0.876299,131.133686311,74.4308,39.890479063,49.6264180327,53.2012,-76.5261,74.3757,171.795841044,177.484840018
69,75.3119760609,1.376874477,10.7672,193.207432293,75.2971466826,1.93988299279,167.09189162,112.789012927,69,40.8156,0.897614,132.697310608,75.3519,32.0087389264,53.9864909821,53.5227,-77.412,75.2942,174.847795992,178.492109555
70,75.7057774351,1.41857583859,12.0613,184.356614954,75.6866956892,6.21340101912,158.41511823,112.357508127,70,41.0852,0.914824,153.209501735,75.7463,62.1461787588,41.6044621375,53.9393,-77.9257,75.6809,173.548169472,181.577208387
71,76.7578884031,1.35884319949,11.6322,195.290365754,76.7402496648,5.4865288924,155.981789321,111.855588701,71,41.3223,0.896866,155.829062485,76.7967,46.5249986862,35.4331666448,54.2809,-78.9572,76.7354,172.736337322,178.791113374
72,77.3478331692,1.46808214857,14.2858,196.572290137,77.3318049082,2.81790504301,168.105760579,114.278849747,72,41.6052,0.914793,140.338818557,77.3852,4.15053967221,49.5734634486,54.6329,-79.5932,77.3266,177.737440067,182.960145594
73,78.192964032,1.35788814192,10.7888,184.897600414,78.1768090042,6.1975834852,155.348111537,110.244664433,73,41.8453,0.904737,145.677269527,78.227,38.1021507217,48.4472815459,54.9952,-80.459,78.1718,168.648777398,177.662688325
74,78.7421647819,1.42197652295,12.7712,183.179935666,78.7224453293,3.73671562833,164.661960401,110.924914567,74,42.1127,0.907956,143.321612836,78.782,36.6198438423,51.8062362383,55.294,-81.0036,78.7206,170.860127486,176.821341815
75,79.4306024329,1.4855065748,13.6241,194.748770572,79.4173851514,3.82079943142,165.372427941,111.832567037,75,42.3434,0.916289,113.933282276,79.4734,14.1118747846,67.7725964038,55.6572,-81.7198,79.4103,172.57100615,177.453909253
76,80.139841076,1.406008954,12.5562,186.387640428,80.1326669747,3.66314578199,165.272654906,112.891145163,76,42.5659,0.912488,160.917033006,80.1814,95.4281814295,25.686741279,55.9831,-82.4002,80.1297,175.089042126,179.143651538
77,80.8925917766,1.46857385907,13.8145,178.472360918,80.8862083719,2.14629000756,170.678264304,113.028685769,77,42.7575,0.933574,123.505188908,80.9305,9.03543085152,63.4261375413,56.3436,-83.1629,80.8789,175.61435734,180.830943004
78,81.575636445,1.47707036139,13.6625,181.772682277,81.5713033305,1.44501054928,169.072293101,112.18951387,78,42.9182,0.940964,138.749538389,81.6083,27.2642504587,58.6779703525,56.6691,-83.9258,81.5651,173.589400806,177.267805938
79,82.4370850847,1.50779986016,13.0948,197.788050213,82.4317443699,9.9073332523,165.143221753,106.819648905,79,43.1419,0.795108,106.65884517,82.4749,12.5495235807,53.8698362724,56.9554,-85.6233,82.427,183.299716112,208.659527568
80,84.5480324372,1.78890954055,17.388,205.063513292,84.5450222006,11.3243115584,149.417266361,103.391952617,80,43.2148,0.698021,149.468380347,84.5759,29.3981610029,49.1511933859,57.1808,-88.4052,84.5374,171.895304045,198.459330379
81,86.6273941588,1.76426481182,16.7964,244.849887027,86.6244872962,11.0297472782,168.205870166,108.697402478,81,43.284,0.609589,155.761270812,86.6624,30.3880867844,50.0946846751,57.4775,-90.6955,86.6188,191.291476166,210.832756025
82,88.5965938651,1.79104740138,18.3378,207.910777932,88.5939988724,9.42067532784,191.436818408,114.597576086,82,43.3955,0.655872,130.765261717,88.6277,13.0949906005,69.3845249123,57.7843,-92.585,88.5862,207.460351455,224.685473236
83,90.4570837255,1.79719899018,18.213,234.901382931,90.4535047565,3.16971683188,208.186648124,123.828018013,83,43.5871,0.722276,185.773834854,90.4871,69.7629640443,50.4401784779,58.0831,-94.0877,90.4445,213.057930053,220.201927203
84,91.3767532036,1.85100370479,20.6416,226.465676029,91.3744437255,2.04269947682,192.057143834,122.046949679,84,43.8491,0.770443,193.803111509,91.4126,85.7892862273,37.0575181949,58.3507,-94.804,91.3694,197.634512982,202.306651069
85,92.6563299408,1.78460210611,17.2888,242.763244697,92.6516843707,3.31884625766,177.201678022,118.340184212,85,44.0723,0.757631,186.584510923,92.6961,33.0184359328,51.217576695,58.631,-95.8113,92.645,188.363491105,194.766041003
86,93.467572839,1.75250584538,17.4013,203.01214265,93.4636752422,3.37598445395,185.130801526,120.443398426,86,44.3204,0.740841,166.768685934,93.5029,67.2773365747,44.2351314966,58.8857,-96.7572,93.4569,192.994975239,200.741909466
87,94.4673446664,1.74886858323,18.1243,207.854372786,94.4630689767,3.1087663683,182.636844144,119.766467336,87,44.532,0.71334,151.588639993,94.5061,43.4959518063,52.766737002,59.1783,-97.834,94.4558,190.991046978,195.898123609
