AverageQLoss,AverageEsReturn,MinReturn,PolicyRegParamNorm,AverageQ,AverageY,AverageDiscountedReturn,AverageReturn,AverageAbsY,Epoch,AveragePolicySurr,StdEsReturn,MaxReturn,MaxEsReturn,AverageAbsQYDiff,AverageAbsQ,AverageAction,Iteration,MinEsReturn,QFunRegParamNorm,StdReturn
0.658571,133.67707833,-97.834975465,36.5648,9.47408,9.47821064686,47.8556361035,91.325083334,9.49284054589,81,-10.029,94.7079895281,421.521887391,228.413160521,0.465883608175,9.49034,0.947875,81,8.41137296084,38.3251,89.7475743867
0.63649,137.547803549,-146.214381389,36.8055,9.7231,9.72581611053,18.2126779222,10.9313233703,9.73848485163,82,-10.2846,108.088089012,166.917530846,253.545722239,0.459445081947,9.73876,0.966259,82,-26.0404369718,38.6279,64.8217276037
0.69122,61.6195397946,-82.1761008469,37.0037,9.9262,9.92838057806,61.127351567,147.437060865,9.93981070501,83,-10.4807,126.314734134,609.348235858,326.313968429,0.48271889589,9.94103,0.964345,83,-50.0970193518,38.9337,135.828389557
0.645471,149.322918543,-284.038956001,37.171,10.0494,10.0533799855,7.93404560574,-13.1046447059,10.0647018318,84,-10.6274,193.533797595,307.717763647,460.065860131,0.474077002366,10.0637,0.960015,84,-86.7310317849,39.1635,106.922692567
0.638112,50.2825878708,-134.925448189,37.3106,10.2847,10.2878105857,34.9007986902,147.825057591,10.2999182175,85,-10.8791,99.8367712181,598.015024721,241.358643524,0.472283915751,10.2996,0.964996,85,-114.204930926,39.4341,184.514834255
0.700912,78.6337302606,-147.397786735,37.5347,10.4658,10.468798205,19.2212986237,45.8178110987,10.482334129,86,-11.0224,146.55543954,459.160593766,307.075025477,0.49642754484,10.4832,0.962755,86,-63.0236344691,39.6579,92.6215011823
0.781727,42.2829298605,-222.647092748,37.7237,10.6674,10.6706474609,15.4171694342,24.3348645604,10.6841956024,87,-11.2309,62.8811491548,322.44019544,178.736792536,0.517786563842,10.6842,0.97002,87,-21.3537794189,39.943,123.722189289
0.78672,80.3627548601,-204.550831818,37.8294,10.8506,10.8539454834,25.0395318765,33.1132453284,10.8687931489,88,-11.4085,124.397866247,63.9754325974,400.588292925,0.5170519886,10.8702,0.961498,88,-26.6747000585,40.1866,35.1676704553
0.765182,-70.1421261556,-144.699574632,37.9751,10.977,10.9820359026,32.9397653958,44.5998718971,10.9972514773,89,-11.5594,86.3980498476,77.2292374482,28.2799698442,0.519633718121,10.9961,0.971803,89,-226.127657447,40.4202,32.158691846
0.750516,75.113061403,-178.861854029,38.1565,11.1303,11.1341311302,4.77997093801,1.44940324118,11.1471131927,90,-11.6847,94.2662264575,393.485696003,267.502206188,0.518502181444,11.1464,0.961388,90,-38.6529898408,40.719,100.378960846
0.814325,67.047579742,-230.969936808,38.3239,11.2841,11.2871661181,29.2684529031,40.5957885609,11.3010006751,91,-11.8426,64.2363867036,116.374728109,186.026557832,0.525383733705,11.3014,0.956937,91,-54.6838907824,41.0006,54.6470456193
0.794904,62.9528170097,-207.28387403,38.4349,11.4221,11.4267198509,34.5438289216,80.6537871311,11.4396746831,92,-11.9574,101.395400517,624.567974124,296.798137637,0.525997971781,11.4379,0.950948,92,-37.4546515654,41.2309,106.632874006
0.812839,166.861837902,-27.6495774057,38.5392,11.5673,11.5695833421,32.9477628605,91.074757524,11.5835506265,93,-12.1339,228.517647315,748.763998224,618.948371049,0.537942499588,11.5856,0.954549,93,25.5310321705,41.4546,117.579693954
0.844818,99.8751531632,47.6540904076,38.659,11.7375,11.741659032,75.8536261693,134.06270592,11.751920521,94,-12.2898,101.810424034,323.763063175,307.582250183,0.541377722789,11.7517,0.941575,94,-9.40945653884,41.6686,58.1866060067
0.897354,86.0066608572,-61.9204815548,38.7392,11.8655,11.8694439747,48.4345323563,93.1152599919,11.8805917858,95,-12.3918,82.5651786746,568.667931558,290.390875905,0.553247620316,11.8816,0.943088,95,-1.66739946293,41.9164,91.6215336556
0.760531,90.9561609172,-116.420345573,38.8943,12.0359,12.0393513484,58.0751599419,100.233020128,12.0504303858,96,-12.5936,81.1512725281,345.389702771,299.744075749,0.53319761031,12.0509,0.93968,96,1.9287211395,42.1018,44.7170009101
0.870807,139.139539753,120.408175321,39.0433,12.2002,12.2043030113,89.7343796786,139.091671115,12.2139303732,97,-12.791,90.2711518256,254.525745998,289.020155512,0.545376733872,12.2141,0.939211,97,5.39558369092,42.316,17.9642770133
1.03068,98.3277809731,24.0820840213,39.1902,12.3336,12.3407404913,26.0679287605,34.2542721031,12.3525546839,98,-12.9124,77.9067063237,199.323379085,268.833729222,0.584761783819,12.3506,0.948415,98,-1.90937368269,42.5967,21.4888688165
0.981219,75.9909139759,89.8474388338,39.3745,12.5432,12.5487067129,81.4811202589,155.353921447,12.5590180409,99,-13.1056,88.2202814982,342.080190196,234.174794555,0.57646869879,12.5578,0.921454,99,-36.4382829112,42.8411,51.6259555218
1.01211,117.636245909,-63.9872838812,39.4974,12.6654,12.6700404496,74.6636029628,118.875879582,12.679675143,100,-13.284,87.6492124261,278.156807017,256.957912112,0.583792897399,12.6793,0.935313,100,-1.84409059115,43.0612,57.6099935017
0.91002,102.175031716,39.543426717,39.6131,12.9214,12.9267672144,50.7780346658,75.8971020557,12.937875178,101,-13.5433,65.9041382607,175.656734466,248.594901163,0.573541698211,12.9368,0.950197,101,-4.01911377141,43.2552,29.4451304242
1.0557,97.265365129,-48.4765929323,39.7702,13.0737,13.0782424177,72.3631094221,127.264625624,13.091636301,102,-13.7276,30.9073619987,519.097075218,144.527193709,0.597578624805,13.0901,0.931713,102,48.1868879521,43.5216,99.1387268379
0.984766,97.3794108435,-135.115270783,39.9194,13.2832,13.2887602512,61.0625707699,125.839746717,13.3009730043,103,-13.9595,93.7551847672,540.910585161,318.157142901,0.592302926694,13.3002,0.92177,103,5.51771637879,43.7167,142.515798694
1.04631,112.811059021,27.3432529299,40.0787,13.4936,13.4964661269,52.0323565975,81.9067769821,13.508819066,104,-14.1747,62.2912471699,187.814519432,243.932670521,0.600136866137,13.5101,0.954785,104,30.674424735,43.9314,22.740230789
1.1571,118.09567545,-285.452803535,40.2523,13.7649,13.7722087725,58.0780355027,121.748083555,13.7826420114,105,-14.4732,67.2671638959,395.959825143,230.161809306,0.617965543642,13.7792,0.929552,105,9.10419692997,44.1756,86.655463178
1.06134,136.17232232,-167.914017079,40.3773,13.9588,13.9643082487,31.2473182544,44.5242591072,13.9752102913,106,-14.653,84.2708895667,729.702262786,253.964012338,0.604669533048,13.9752,0.935583,106,5.27331715343,44.3796,134.662371241
1.0796,80.9841808843,40.7319119195,40.5428,14.068,14.0728998765,74.7550891385,113.617599628,14.0834955583,107,-14.7611,63.5830236741,493.632222385,197.404906892,0.611229628061,14.0841,0.93316,107,-0.91714007866,44.5977,47.6329326845
1.18799,141.110017418,2.69438764548,40.6594,14.3433,14.3499805406,90.3905059532,217.603686848,14.3598658984,108,-15.0309,104.225412537,617.501392135,339.138730065,0.629246598979,14.3598,0.931337,108,46.9826474476,44.7915,126.245954798
1.1241,125.357282732,77.1131884943,40.8246,14.4566,14.4590954024,72.4406492272,151.240737234,14.4714529768,109,-15.1235,28.3885056977,718.275427456,170.493970489,0.623990114173,14.4754,0.927727,109,92.941729043,44.9862,106.275424419
1.14746,134.23108793,31.4963970316,41.0066,14.6946,14.7007471456,91.7456427539,255.919069461,14.7141164246,110,-15.3362,119.355847401,836.61902572,397.292548312,0.627526451782,14.7129,0.936471,110,15.6540838477,45.1968,191.748790605
1.16488,152.710331636,29.0190737783,41.1806,14.7209,14.72557516,72.6401224282,243.813165133,14.7421926695,111,-15.3706,193.690258191,859.396954612,612.844883954,0.630245836375,14.7444,0.907699,111,1.5752524723,45.3958,190.883656177
1.21236,90.9524669477,82.829878201,41.3198,14.9279,14.9326108863,65.8749961016,93.8323359224,14.9469047787,112,-15.5893,85.0295083479,334.226199054,319.195421083,0.631599248171,14.9471,0.961564,112,2.11256622047,45.5722,22.5231739916
1.25828,118.64280281,-131.041591521,41.5111,15.0656,15.070321517,68.1921179474,183.716118537,15.0852711397,113,-15.7397,74.1085792823,864.717663523,244.084628314,0.638978997483,15.086,0.939396,113,18.4922218841,45.7646,180.23026859
1.20979,122.549061669,105.530784327,41.7208,15.202,15.206471786,90.8965758614,221.712905145,15.2224192784,114,-15.8432,76.6303471719,712.265002455,193.937737041,0.641439818928,15.2242,0.934872,114,11.0178158673,45.9587,131.129432081
1.2651,180.496515346,78.9651048512,41.889,15.307,15.3123168105,83.6484043639,283.242012508,15.3276234459,115,-15.9497,158.779134869,937.874800161,509.475069269,0.64550094081,15.3298,0.927543,115,35.0403858533,46.1779,191.318619633
