AverageAction,AverageAbsQ,MaxEsReturn,Epoch,StdEsReturn,AverageQLoss,MinEsReturn,AverageDiscountedReturn,StdReturn,AveragePolicySurr,AverageReturn,AverageY,PolicyRegParamNorm,Iteration,AverageEsReturn,MaxReturn,QFunRegParamNorm,AverageQ,AverageAbsQYDiff,AverageAbsY,MinReturn
0.999962,18.5566,377.53394918,1750,112.863053568,0.897655,25.0099790417,173.124758393,72.7817793643,-18.6569,355.228480183,18.5466256518,105.879,1750,225.937544372,498.107493584,160.881,18.5458,0.400856039404,18.5497844915,281.36220382
0.99992,18.51,615.094433307,1751,179.74600019,1.0437,32.3540721567,189.006380523,88.5864181988,-18.632,427.399077143,18.4987434309,105.925,1751,337.759220732,530.824008052,160.897,18.4983,0.421999655132,18.5024784193,265.922458012
0.999889,18.5704,295.642788959,1752,89.6746725068,0.998908,24.842490034,114.242097366,86.9261094847,-18.7104,191.302574246,18.5594154615,105.952,1752,191.092142193,483.457828928,160.899,18.5596,0.422949951437,18.5636819974,96.7463833966
0.999942,18.5848,499.509630848,1753,162.257483845,1.01118,15.0717331645,143.591074543,56.3457388153,-18.736,264.621137921,18.5771772584,105.939,1753,261.020185785,503.31863171,160.937,18.575,0.425464557358,18.5804755403,231.385489966
0.999889,18.6682,337.479775745,1754,94.4699231906,1.13691,31.466981933,164.360888119,117.41918002,-18.7905,345.004636998,18.6592218495,105.943,1754,221.619190413,623.217271891,161.028,18.6593,0.428528064471,18.6628265696,240.269532051
0.999834,18.7246,661.571701741,1755,194.048367879,1.16775,150.740288739,199.476562095,181.655656913,-18.8412,650.550752081,18.716160447,106.092,1755,320.761524715,1183.75554309,161.043,18.7145,0.442284202335,18.7196079391,271.849750291
0.999895,18.6651,569.9417799,1756,223.364411578,1.06292,3.77470886911,198.274524785,99.259130127,-18.7888,485.04926066,18.6576319685,106.063,1756,346.935844476,695.323762935,161.023,18.6559,0.436934256686,18.662556341,254.481497524
0.999933,18.7206,768.456261266,1757,209.556964664,1.03931,119.342953124,223.424012761,228.326268044,-18.8316,915.90320045,18.7106613998,106.068,1757,404.076761341,1552.10797575,161.096,18.7112,0.444133092999,18.7142895554,591.301211441
0.999924,18.8006,874.727200462,1758,242.626456805,1.07356,53.1593744502,214.625565033,239.939355086,-18.9281,855.585522787,18.7881580763,106.064,1758,249.168210203,1599.25127357,161.119,18.7872,0.438644735417,18.7928954436,514.623422593
0.999944,18.8482,621.9132606,1759,171.085250384,1.15057,119.166447927,206.655372538,209.780010467,-18.9695,706.523579983,18.8407487848,106.087,1759,286.077926296,1332.34933482,161.156,18.8401,0.459511845568,18.8445686903,538.946895486
0.999892,18.8618,564.68632134,1760,159.307804721,1.05486,24.0118581486,191.525201462,210.305534493,-18.9749,543.029936782,18.8512291629,106.128,1760,191.31792996,1033.2158495,161.196,18.8521,0.446568644338,18.854433866,266.962891864
0.999964,18.8434,527.649688238,1761,147.206626698,1.04115,52.5404586214,177.224747751,162.475970212,-18.9479,453.142348911,18.8344989071,106.161,1761,306.543099961,921.016705649,161.233,18.8338,0.443953822782,18.8377437245,263.076953332
0.999951,18.9056,563.313009068,1762,177.181909784,1.05052,16.4649110595,210.815449325,157.180204244,-19.0132,672.334928047,18.8952058488,106.252,1762,254.87121502,1021.09185761,161.223,18.895,0.455152155211,18.8994116507,514.939351077
0.999943,18.9562,641.104744291,1763,196.755452832,0.938772,37.7103035799,212.885589567,165.355019361,-19.0551,713.892450756,18.9470216777,106.25,1763,298.533217584,1032.1977669,161.277,18.9471,0.43056914531,18.950605524,508.541639704
0.999887,18.9132,469.302481793,1764,153.700991758,1.00635,30.6939854994,176.844500396,188.604713673,-19.0084,463.360894079,18.9057266074,106.301,1764,270.014739366,1117.80877234,161.343,18.9052,0.442634164853,18.9093215178,238.720116079
0.999849,18.8928,1010.24441299,1765,252.36526086,1.05834,341.375437941,171.579894036,299.462472073,-18.9727,490.647896457,18.8812723156,106.417,1765,580.047370196,1381.42389117,161.375,18.8809,0.443465399019,18.8845964186,226.624261887
0.999915,18.9412,619.494375398,1766,190.473661423,1.12961,26.0727543409,213.058466785,156.98721467,-19.0294,752.631972895,18.928499451,106.432,1766,234.079031563,1147.18852722,161.383,18.9271,0.460486439624,18.9325194912,491.728171663
0.99993,18.8755,562.530701528,1767,163.831649048,1.18669,108.427914879,215.08307063,195.93347506,-18.9717,750.000544309,18.864715137,106.419,1767,390.91402967,1227.21236608,161.457,18.8647,0.459364820653,18.8689806475,320.940498964
0.999972,18.8729,668.347518867,1768,235.321959877,1.05137,26.3165906677,188.14556303,289.631996589,-18.9709,566.085082906,18.8636252248,106.452,1768,422.518860569,1208.15845918,161.506,18.8638,0.43990137887,18.8679985873,265.112291836
0.999903,18.9107,626.249231018,1769,170.343879784,1.0039,148.609493861,203.782713175,248.487525186,-19.0036,650.878181131,18.9008537608,106.471,1769,371.546843305,1019.854956,161.531,18.9011,0.440968859627,18.9054404269,272.220702736
