AveragePolicySurr,AverageReturn,Epoch,PolicyRegParamNorm,AverageAction,AverageY,AverageQLoss,AverageAbsQ,StdEsReturn,AverageAbsY,MinReturn,MinEsReturn,AverageQ,Iteration,StdReturn,MaxEsReturn,AverageAbsQYDiff,MaxReturn,AverageEsReturn,AverageDiscountedReturn,QFunRegParamNorm
-111.672,397.770368825,66,33.4228,0.619798,108.289717226,42.8362,108.341,108.664409855,108.301991938,382.610991405,32.6692632535,108.277,66,4.41748618052,373.105783762,2.86655562821,403.710283,166.276905239,189.549016287,61.0359
-113.79,374.725613167,67,33.5578,0.628571,110.394965896,43.8035,110.443,100.234298104,110.410173629,324.106801215,103.507325567,110.368,67,19.9036258736,365.528269342,2.92158900512,412.808249025,219.122212654,181.095456975,61.5763
-115.396,384.149187095,68,33.818,0.653931,111.92666852,51.1015,111.975,112.596945521,111.952000089,359.991483709,12.6490808727,111.907,68,8.10733342818,372.830192564,3.08826123285,392.330113301,176.664143138,187.33431237,62.2135
-118.084,194.632290389,69,34.077,0.464079,114.658705677,42.6412,114.722,134.723333004,114.67683185,170.735143392,11.3436731033,114.644,69,36.8702983705,391.569799325,2.89207666407,427.87011085,193.260716133,119.903525733,62.8195
-119.503,367.063425525,70,34.3361,0.643546,115.978904249,45.2078,116.053,122.128849372,116.010002363,346.888890074,14.5427146586,115.96,70,9.60548530028,389.249858258,3.0264787246,384.696331967,227.923936831,181.137379487,63.4731
-121.784,400.75334855,71,34.5349,0.621493,118.250639688,52.3992,118.298,110.699184303,118.266329426,392.858390469,13.063541776,118.231,71,4.12432402717,338.53808981,3.17074487105,408.688837629,165.708689571,191.083247104,64.0775
-123.269,382.472101279,72,34.7802,0.595473,119.654195203,50.6526,119.716,127.904649892,119.673724118,361.49327799,39.0816745096,119.63,72,6.15759743653,397.144233854,3.11454220164,391.037525027,223.769203025,181.393242437,64.671
-125.964,374.228030324,73,34.9778,0.648127,122.337478681,54.5362,122.384,158.200436989,122.351507329,322.41164736,3.96962963913,122.311,73,27.4374836241,450.283760766,3.27781088295,409.480090717,218.292007037,182.597714042,65.2677
-127.805,360.530396585,74,35.1588,0.633044,124.112295561,56.2465,124.171,97.9927276518,124.132754375,139.51849522,64.6124960504,124.09,74,33.6049467426,342.595012918,3.2432923354,387.075996123,208.947163197,176.11830718,65.8908
-129.722,395.59665063,75,35.3871,0.62239,125.933611769,56.6896,125.994,131.813204815,125.961686645,375.661222596,21.9378745646,125.908,75,9.19305293971,378.934533157,3.34512470894,432.603425908,191.554741964,188.142023586,66.4898
