MaxEsReturn,QFunRegParamNorm,StdEsReturn,AverageAbsQ,StdReturn,MaxReturn,Iteration,AverageDiscountedReturn,AverageY,AverageAction,MinEsReturn,AverageQLoss,AverageAbsY,Epoch,AverageEsReturn,AveragePolicySurr,AverageQ,AverageReturn,PolicyRegParamNorm,MinReturn,AverageAbsQYDiff
131.0,29.3176,23.0660190028,0.69142,0.0,1000.0,78,99.9956828753,0.689168253393,0.384889,3.0,0.00312258,0.689533822787,78,21.1458333333,-0.778679,0.68911,1000.0,31.6381,1000.0,0.0244914088
74.0,29.4634,16.7250879696,0.715856,0.0,1000.0,79,99.9956828753,0.713503184414,0.367013,2.0,0.0035877,0.713975917101,79,16.3278688525,-0.804857,0.713432,1000.0,31.7504,1000.0,0.0260039308722
84.0,29.7128,21.6563391546,0.743769,0.0,1000.0,80,99.9956828753,0.741410520854,0.517188,3.0,0.00343076,0.742202825169,80,24.3170731707,-0.836479,0.741311,1000.0,31.8399,1000.0,0.0249552759517
119.0,29.9156,22.8193387771,0.771053,0.0,1000.0,81,99.9956828753,0.76871867299,0.00574927,3.0,0.00396225,0.769392776922,81,20.1666666667,-0.868378,0.768591,1000.0,31.9375,1000.0,0.0272241979259
89.0,30.1762,21.9540935186,0.80149,0.0,1000.0,82,99.9956828753,0.798681044643,0.393149,3.0,0.00441825,0.799415103849,82,22.8,-0.903327,0.798587,1000.0,32.0629,1000.0,0.0284652597771
123.0,30.3536,22.5339209342,0.830104,0.0,1000.0,83,99.9956828753,0.827740624308,0.250729,3.0,0.00451986,0.828125486397,83,20.6530612245,-0.936863,0.827609,1000.0,32.1916,1000.0,0.0285478803234
122.0,30.6125,22.32833097,0.856326,0.0,1000.0,84,99.9956828753,0.853515819465,0.402783,3.0,0.00485643,0.854093270209,84,18.5576923077,-0.964897,0.853399,1000.0,32.3279,1000.0,0.0296453780427
102.0,30.8028,21.8910950932,0.89278,0.0,1000.0,85,99.9956828753,0.890008799971,0.198406,3.0,0.0045489,0.890668024101,85,18.6730769231,-1.00366,0.889929,1000.0,32.3689,1000.0,0.029396529465
75.0,31.0256,18.3629660628,0.920921,0.0,1000.0,86,99.9956828753,0.918191314857,0.0135259,3.0,0.00510861,0.919021658483,86,17.6842105263,-1.03541,0.91809,1000.0,32.5092,1000.0,0.0305638221238
76.0,31.2506,19.6481350729,0.954405,0.0,1000.0,87,99.9956828753,0.951328811595,0.303354,3.0,0.00540789,0.952238763631,87,20.431372549,-1.07194,0.95117,1000.0,32.6276,1000.0,0.0315596171578
204.0,31.5269,33.6267972412,0.981867,0.0,1000.0,88,99.9956828753,0.978535798044,0.384251,3.0,0.00636519,0.979601030454,88,23.488372093,-1.10035,0.978364,1000.0,32.7548,1000.0,0.0339542405644
134.0,31.7434,28.6357511425,1.00746,0.0,1000.0,89,99.9956828753,1.00419281686,0.0162758,3.0,0.00588785,1.00546475445,89,31.8387096774,-1.1276,1.00412,1000.0,32.8784,1000.0,0.0324544489587
