QFunRegParamNorm,PolicyRegParamNorm,AverageEsReturn,AverageAction,AverageReturn,AverageAbsQYDiff,AverageQLoss,AverageDiscountedReturn,AverageAbsQ,MinEsReturn,StdEsReturn,AverageQ,StdReturn,Epoch,MaxReturn,AverageAbsY,MinReturn,MaxEsReturn,AveragePolicySurr,Iteration,AverageY
34.4177,42.6042,680.663757439,0.936622,1023.03260443,0.10266173211,0.0364601,115.789082855,4.34561,680.663757439,0.0,4.34561,85.3092845142,77,1161.72001537,4.34673345913,919.81747894,680.663757439,-4.43874,77,4.34666695656
34.7289,42.8557,1144.78167958,0.941588,1172.66519023,0.106114389325,0.0385215,134.519494938,4.4706,1144.78167958,0.0,4.4706,295.370912693,78,1820.08770632,4.47148117204,595.254546528,1144.78167958,-4.56641,78,4.47142942436
35.0309,43.1567,1032.99465404,0.925804,872.152489497,0.11165857823,0.0457127,109.623302004,4.53673,1032.99465404,0.0,4.53673,152.209393692,79,1086.99526626,4.53795392498,537.508121809,1032.99465404,-4.63521,79,4.53788503526
35.3243,43.4024,700.669132482,0.944373,749.909135606,0.11198610046,0.0506967,97.6071250712,4.6122,700.669132482,0.0,4.6122,123.773346147,80,995.594542982,4.61349727607,569.746180325,700.669132482,-4.71252,80,4.61345277981
35.5827,43.5911,708.638478929,0.930217,1169.57912927,0.10804596593,0.0435783,132.508861384,4.70017,708.638478929,0.0,4.70017,308.067320235,81,1988.14765239,4.70124327802,858.721059912,708.638478929,-4.79444,81,4.70120621336
35.7912,43.8389,871.636173914,0.938674,909.486994677,0.110783400569,0.0448308,139.857802937,4.79988,871.636173914,0.0,4.79988,263.195515959,82,1231.08157427,4.80062307735,446.921286198,871.636173914,-4.89819,82,4.80059719985
36.0886,44.0916,1298.14320031,0.921923,942.271102721,0.114738915372,0.0517186,107.659260953,4.92523,1298.14320031,0.0,4.92521,193.919637891,83,1138.49214904,4.92652400308,492.141681385,1298.14320031,-5.02593,83,4.92643850946
36.3617,44.3239,1316.3064024,0.933044,999.147895234,0.114728162349,0.0448832,148.337191962,5.04651,1316.3064024,0.0,5.04651,296.002555413,84,1623.62641409,5.04773500127,532.544687147,1316.3064024,-5.14404,84,5.0476961767
36.6629,44.5911,987.347156457,0.938179,930.245775587,0.11760721326,0.0486014,109.71655449,5.12437,987.347156457,0.0,5.12437,170.719141368,85,1266.94533892,5.12551440932,726.313939779,987.347156457,-5.2243,85,5.12546114083
36.9284,44.8693,829.890842676,0.937603,989.185697599,0.120216312657,0.0549477,130.368638798,5.23222,829.890842676,0.0,5.23222,212.269952647,86,1239.24585748,5.23329573355,481.592642169,829.890842676,-5.33595,86,5.23323014041
37.18,45.1515,1074.55342544,0.926048,496.507555808,0.119093293327,0.0488829,119.275244492,5.29468,1074.55342544,0.0,5.29468,172.18661136,87,686.693839231,5.29573390821,107.917565457,1074.55342544,-5.39389,87,5.29567348283
37.4439,45.3648,744.878770764,0.929991,841.760825967,0.120758373607,0.0483586,120.544282804,5.40174,744.878770764,0.0,5.40174,194.208631913,88,1090.45318322,5.40277960979,473.427748451,744.878770764,-5.50327,88,5.40273033727
37.715,45.5859,1339.22576054,0.944555,1089.28623849,0.126038236795,0.0593102,128.880450038,5.50882,1339.22576054,0.0,5.50882,194.89815465,89,1398.25278941,5.51014128428,815.742209028,1339.22576054,-5.61428,89,5.5101068181
37.9298,45.7602,1449.05366539,0.944964,1307.91599917,0.128113882679,0.0702322,156.457261092,5.62929,1449.05366539,0.0,5.62929,319.301544007,90,1909.21075928,5.63072680529,989.964493275,1449.05366539,-5.73248,90,5.63068834
38.1909,46.0184,668.547090959,0.951471,1193.9149073,0.121359084293,0.0532608,149.868631123,5.71013,668.547090959,0.0,5.71013,448.367753013,91,2042.38802198,5.71098366148,733.89486241,668.547090959,-5.81844,91,5.71093250927
