AverageReturn,Epoch,AverageAbsY,PolicyRegParamNorm,AverageQ,AveragePolicySurr,StdReturn,MaxEsReturn,QFunRegParamNorm,AverageAbsQYDiff,Iteration,StdEsReturn,AverageAbsQ,MinEsReturn,AverageQLoss,MinReturn,AverageY,AverageAction,AverageEsReturn,MaxReturn,AverageDiscountedReturn
2824.24406143,92,5.1005742933,98.1524,5.09874,-5.20239,387.278279918,2126.31435753,78.264,0.127366126742,92,0.0,5.09874,2126.31435753,0.0668249,2110.43079644,5.1005216136,0.953348,2126.31435753,3379.7287758,257.673023469
1531.36491015,93,5.2583663618,98.6501,5.25751,-5.36785,504.690364019,1393.10517151,78.6734,0.118881063975,93,0.0,5.25756,1393.10517151,0.0477221,723.921718244,5.25832748117,0.94137,1393.10517151,2215.36803285,181.768993797
2062.00503692,94,5.3903340714,99.2048,5.38857,-5.49706,855.711118275,2317.91958615,79.0721,0.127370885417,94,0.0,5.38857,2317.91958615,0.0617913,631.415895942,5.39030360751,0.939846,2317.91958615,2881.45161012,214.239081969
2290.57758301,95,5.60569766428,99.7469,5.60428,-5.712,867.823542764,2384.07089594,79.5382,0.134608920288,95,0.0,5.60428,2384.07089594,0.0806604,1035.80832005,5.6056703393,0.937194,2384.07089594,3602.06651089,248.193223259
3288.90205568,96,5.71546180927,100.311,5.71408,-5.8251,104.447706802,2443.16188679,79.9579,0.129555869516,96,0.0,5.71408,2443.16188679,0.0655889,3094.25636607,5.71540950554,0.944112,2443.16188679,3408.07107296,278.104040786
3078.74947324,97,5.9359084335,100.887,5.93458,-6.05187,365.838790289,2139.62487674,80.3695,0.128019450383,97,0.0,5.93458,2139.62487674,0.0521075,2469.10998302,5.93586863069,0.948629,2139.62487674,3723.39700861,259.909489295
3223.41651356,98,6.09061717544,101.425,6.08935,-6.2039,211.185602074,2531.47336668,80.8345,0.134657629556,98,0.0,6.08937,2531.47336668,0.0777456,2694.60911487,6.09056604703,0.956404,2531.47336668,3446.24400343,282.142135432
3465.89630475,99,6.242891556,101.899,6.2418,-6.36084,146.04780957,2242.94024028,81.2976,0.135786677421,99,0.0,6.2418,2242.94024028,0.0654568,3233.87694785,6.24284039156,0.952019,2242.94024028,3712.24808595,299.684009073
3231.19339519,100,6.39824642043,102.482,6.39587,-6.52534,216.00787205,2460.62487334,81.7052,0.14513823961,100,0.0,6.39587,2460.62487334,0.0923115,2946.46807247,6.39819838388,0.954232,2460.62487334,3607.72455931,272.828060634
2844.23920081,101,6.56510439132,102.982,6.56345,-6.68659,254.223671289,2103.6362291,82.1091,0.143787194937,101,0.0,6.56345,2103.6362291,0.0869637,2270.70129697,6.56505810936,0.960297,2103.6362291,3116.87853858,249.949570806
2031.29030375,102,6.76948141902,103.502,6.7678,-6.89241,905.23102397,2371.12617026,82.5199,0.146579070037,102,0.0,6.7678,2371.12617026,0.0910631,979.110211895,6.76944287729,0.943886,2371.12617026,3702.08684522,262.121545103
