AverageAbsY,AverageQLoss,PolicyRegParamNorm,StdReturn,AverageAbsQYDiff,MaxEsReturn,AverageQ,AverageAction,MinEsReturn,AverageAbsQ,AverageReturn,Iteration,MaxReturn,AveragePolicySurr,QFunRegParamNorm,Epoch,AverageEsReturn,StdEsReturn,AverageDiscountedReturn,MinReturn,AverageY
153.974803939,60.1017,45.8757,30.6999320192,3.34005999422,447.023395553,153.933,0.708189,13.4354090962,154.079,469.718276699,101,528.715505433,-158.72,78.0688,101,288.44076376,125.794720682,200.978150589,391.048480001,153.946944373
155.55373833,54.1967,46.0186,52.6873057295,3.30193072632,465.044234077,155.512,0.681885,8.2940870652,155.669,461.668860503,102,543.180172118,-160.311,78.496,102,247.777152766,148.77901711,199.386158604,369.001759104,155.524331754
157.575194839,62.8835,46.1943,61.9872562979,3.44521862947,536.172130687,157.533,0.716372,61.6761351599,157.684,372.911464905,103,527.583825214,-162.353,78.8647,103,308.632673184,149.916779837,175.431631588,261.923273364,157.542991659
159.424594298,63.9798,46.341,16.5436316094,3.48257396139,444.206591138,159.372,0.700817,7.17235480728,159.534,462.054251479,104,496.825398002,-164.202,79.2831,104,229.653409758,138.856807037,198.694100396,428.981475475,159.385663224
161.375751877,58.9788,46.485,21.2266891898,3.43569258256,457.369920416,161.321,0.70342,120.004404645,161.487,486.713355721,105,549.244766134,-166.224,79.6707,105,301.176141212,121.266228874,203.216230373,445.834601752,161.337577816
162.662318544,63.659,46.6147,12.8234941098,3.52518161554,489.066951842,162.62,0.667305,10.1829197069,162.786,482.363539621,106,512.537148916,-167.543,80.0919,106,205.303790212,144.401195352,204.436854678,430.030379481,162.632065948
164.603379469,66.4685,46.7166,28.1070501468,3.57177156417,409.803058513,164.56,0.687822,16.8682167426,164.729,467.092925605,107,525.754601154,-169.472,80.5237,107,213.208447503,128.722585292,200.580906181,428.184649909,164.571757385
166.365322098,66.1329,46.8857,10.5144132195,3.59791147864,559.349746868,166.321,0.688566,6.45410871761,166.477,467.447799606,108,499.208192932,-171.307,80.9384,108,188.02651216,182.31509211,201.775834418,441.512449177,166.327751709
168.339147504,67.5078,47.088,18.4643276937,3.64798318374,448.99887401,168.288,0.691274,9.51860774379,168.454,365.693885084,109,398.125353819,-173.287,81.4483,109,223.720509723,153.321102404,176.025496307,323.560446934,168.302997268
169.973295456,70.903,47.287,7.67022044612,3.76424333389,433.48007691,169.932,0.694939,8.71331296263,170.099,413.127868293,110,428.793503531,-174.929,81.8463,110,130.637332626,116.97994281,188.95392067,392.925106783,169.944417761
171.468838611,78.0017,47.5039,103.270824266,3.83232549543,465.350567026,171.42,0.66848,10.7168750341,171.594,300.18437263,111,456.922096277,-176.493,82.3052,111,191.816402432,152.293983762,154.243399142,205.174064656,171.43284607
172.895534075,72.0676,47.6813,10.468979889,3.77683249766,338.774728656,172.849,0.722695,12.6107880526,173.015,446.981860617,112,477.972937029,-178.007,82.7625,112,146.125446271,122.000536226,197.067026707,415.110007014,172.86405806
175.063922952,78.5932,47.8675,46.0079090228,3.88881772435,428.921662283,175.028,0.69556,10.8098827015,175.187,469.589389994,113,527.390373127,-180.169,83.2038,113,215.392659819,128.303957894,198.793907788,376.927149366,175.039128527
176.649018412,75.1552,48.0373,45.6213423987,3.83299174917,539.812401394,176.614,0.711868,6.15678675757,176.776,456.626327274,114,552.441668676,-181.751,83.6322,114,182.279421909,183.664664387,197.652921029,391.053048539,176.620245468
178.301163996,77.1924,48.1966,21.5626889982,3.86607915251,697.627469404,178.265,0.692554,14.297031226,178.421,444.296384344,115,488.973382326,-183.371,84.1187,115,273.009473267,205.627489078,194.305975476,405.724798078,178.279206374
179.749890356,76.4689,48.3769,11.4311985829,3.86127909285,499.652225694,179.707,0.760794,51.7835759031,179.879,427.161107259,116,446.636208413,-184.772,84.5556,116,217.592381443,150.339445181,191.787207287,391.146603907,179.720020271
181.052994516,79.0192,48.5692,48.6026606376,3.90568070692,573.992197534,181.019,0.75384,16.9910198422,181.183,453.709105557,117,598.582896738,-186.235,84.9743,117,206.3832488,153.99607922,198.047590031,366.826529504,181.027214773
183.016222888,76.5292,48.7865,58.660880753,3.93040630575,426.823754084,182.97,0.726991,43.6516535787,183.139,527.697222642,118,623.535722655,-188.126,85.4376,118,219.168493211,117.801958824,208.330912285,406.284091602,182.986862648
184.421172958,80.316,48.9748,48.3429345897,3.96980849695,411.276274848,184.388,0.701925,9.69610521804,184.565,544.631422022,119,667.01433584,-189.572,85.9151,119,174.855627083,135.909007251,210.704023031,417.067903901,184.39578175
185.703544531,83.3598,49.1322,49.8232065057,3.9715180006,502.615181333,185.658,0.742874,52.5399533663,185.826,516.311627995,120,622.634796735,-190.785,86.3707,120,305.064508383,136.334830259,209.560904441,427.525734833,185.674342383
187.243930952,84.7943,49.3084,55.6127728383,4.05119320179,483.972906973,187.203,0.756817,17.0442522715,187.373,491.291067681,121,719.249228182,-192.438,86.8402,121,227.28737932,170.263871387,205.151470492,425.03028693,187.21434231
188.947192695,84.67,49.4539,136.39646304,4.03116295181,818.80133801,188.911,0.751815,69.9550310114,189.08,510.525502173,122,818.974546386,-194.066,87.3672,122,266.40815235,229.025194922,201.036815458,279.637245981,188.920264538
