2017-05-05 00:58:37.059244 EDT | AveragePolicySurr          -2.76473
2017-05-05 00:58:37.059602 EDT | AverageQ                    0.00551078
2017-05-05 00:58:37.059944 EDT | AverageAbsQ                 0.00711897
2017-05-05 00:58:37.060285 EDT | AverageY                    0.00547608
2017-05-05 00:58:37.060625 EDT | AverageAbsY                 0.0145712
2017-05-05 00:58:37.060965 EDT | AverageAbsQYDiff            0.0111844
2017-05-05 00:58:37.061303 EDT | AverageAction               8.86015e+06
2017-05-05 00:58:37.061643 EDT | PolicyRegParamNorm       2424.63
2017-05-05 00:58:37.061983 EDT | QFunRegParamNorm            7.92043
2017-05-05 00:58:37.062321 EDT | AverageForwardProgress      0.00265329
2017-05-05 00:58:37.062662 EDT | MaxForwardProgress          0.0321818
2017-05-05 00:58:37.063002 EDT | MinForwardProgress         -0.0201505
2017-05-05 00:58:37.063347 EDT | StdForwardProgress          0.00717049
2017-05-05 00:58:37.063689 EDT | AveragePolicyStd            1e-06
2017-05-05 00:58:37.064030 EDT | -----------------------  --------------
2017-05-05 00:58:37.064536 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #16 | Training started
2017-05-05 01:02:43.406660 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #16 | Training finished
2017-05-05 01:02:43.662629 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #16 | Collecting samples for evaluation
2017-05-05 01:03:01.657193 EDT | -----------------------  --------------
2017-05-05 01:03:01.658238 EDT | Epoch                      16
2017-05-05 01:03:01.658721 EDT | AverageReturn               6.09721
2017-05-05 01:03:01.659190 EDT | StdReturn                   0.835226
2017-05-05 01:03:01.660149 EDT | MaxReturn                   9.28258
2017-05-05 01:03:01.661130 EDT | MinReturn                   2.5923
2017-05-05 01:03:01.662105 EDT | AverageEsReturn             0.981903
2017-05-05 01:03:01.663075 EDT | StdEsReturn                 0.0561375
2017-05-05 01:03:01.664061 EDT | MaxEsReturn                 1.86121
