StdReturn,AverageDiscountedReturn,AverageEsReturn,AverageReturn,AverageQ,QFunRegParamNorm,Iteration,MinEsReturn,MaxReturn,AverageAbsQYDiff,AveragePolicySurr,MaxEsReturn,Epoch,AverageQLoss,PolicyRegParamNorm,AverageAbsQ,MinReturn,AverageAction,AverageAbsY,AverageY,StdEsReturn
0.0,99.9956828753,13.1052631579,1000.0,4.04963,42.7228,62,3.0,1000.0,0.0982310565104,-4.4343,48.0,62,0.0741881,30.6781,4.05482,1000.0,0.30758,4.05076346823,4.05017137437,12.1173852349
0.0,99.9956828753,13.8055555556,1000.0,4.11655,42.9533,63,3.0,1000.0,0.0992423068769,-4.52204,66.0,63,0.0729798,30.8584,4.12336,1000.0,0.262895,4.11742152653,4.11678060841,11.3512589719
0.0,99.9956828753,15.9375,1000.0,4.19729,43.2944,64,3.0,1000.0,0.103418569005,-4.59561,77.0,64,0.0816467,31.029,4.20369,1000.0,0.269623,4.19824518483,4.19749963199,13.5079548322
0.0,99.9956828753,17.1896551724,1000.0,4.25597,43.6215,65,3.0,1000.0,0.100621769398,-4.65736,54.0,65,0.0738107,31.2613,4.26186,1000.0,0.409132,4.25710054104,4.25640066445,13.0006059495
0.0,99.9956828753,20.875,1000.0,4.31518,44.0394,66,3.0,1000.0,0.10831022454,-4.71509,65.0,66,0.0916798,31.4254,4.32259,1000.0,0.354741,4.31643698969,4.31535576478,16.2219308859
0.0,99.9956828753,18.9607843137,1000.0,4.38373,44.4227,67,4.0,1000.0,0.112082826467,-4.79957,50.0,67,0.0973883,31.6412,4.39155,1000.0,0.355655,4.38579213673,4.38442832621,12.1412613363
0.0,99.9956828753,20.8367346939,1000.0,4.43805,44.7665,68,3.0,1000.0,0.107159660629,-4.8436,68.0,68,0.0914789,31.8239,4.44524,1000.0,0.218622,4.43955101228,4.43823792087,14.8053312775
0.0,99.9956828753,18.3090909091,1000.0,4.52011,45.0399,69,3.0,1000.0,0.10168736718,-4.934,61.0,69,0.0770642,31.9732,4.52681,1000.0,0.225713,4.52156389562,4.5203046204,13.6646494513
0.0,99.9956828753,13.9305555556,1000.0,4.58013,45.2876,70,3.0,1000.0,0.110466737302,-4.99902,56.0,70,0.0969731,32.1627,4.58821,1000.0,0.23858,4.58153670512,4.58009659447,10.3780301986
0.0,99.9956828753,14.7647058824,1000.0,4.63071,45.5493,71,3.0,1000.0,0.117069155468,-5.06681,58.0,71,0.1054,32.3108,4.63974,1000.0,0.265165,4.6326888391,4.63118718281,11.0614827842
0.0,99.9956828753,14.2608695652,1000.0,4.68787,45.8984,72,3.0,1000.0,0.114248859197,-5.13162,59.0,72,0.101972,32.5429,4.69546,1000.0,0.297876,4.68938222381,4.68815376174,11.460900354
0.0,99.9956828753,12.0602409639,1000.0,4.76844,46.2181,73,3.0,1000.0,0.112283423375,-5.20245,62.0,73,0.0976303,32.7703,4.77693,1000.0,0.236961,4.7699298902,4.76887263671,10.5137310076
0.0,99.9956828753,13.1066666667,1000.0,4.81852,46.4144,74,3.0,1000.0,0.127090685579,-5.26538,52.0,74,0.121357,33.0139,4.82837,1000.0,0.380537,4.8198755229,4.81871529799,11.5880091282
0.0,99.9956828753,20.4897959184,1000.0,4.8773,46.7457,75,3.0,1000.0,0.111495050836,-5.32872,65.0,75,0.0972077,33.1809,4.88552,1000.0,0.307653,4.87929672131,4.87750610126,14.1423123257
0.0,99.9956828753,15.8,1000.0,4.94675,46.8634,76,3.0,1000.0,0.111490296882,-5.39069,71.0,76,0.0998452,33.2467,4.95566,1000.0,0.256428,4.94859046812,4.94703876342,15.156821262
0.0,99.9956828753,12.4,1000.0,5.02427,47.1752,77,3.0,1000.0,0.122075909513,-5.47733,57.0,77,0.115524,33.4209,5.034,1000.0,0.127682,5.02619297384,5.02464254702,12.0068730317
103.88669925,99.9839177262,13.5479452055,952.090909091,5.04417,47.4556,78,3.0,1000.0,0.122301675034,-5.51373,56.0,78,0.110061,33.605,5.05472,686.0,0.137513,5.04653257733,5.04483279815,11.4030050064
0.0,99.9956828753,12.1807228916,1000.0,5.13394,47.8602,79,3.0,1000.0,0.121583884847,-5.58245,47.0,79,0.114899,33.8484,5.14283,1000.0,0.203999,5.1357158888,5.13377210303,8.51242122666
0.0,99.9956828753,13.5,1000.0,5.18026,48.1454,80,3.0,1000.0,0.123062631583,-5.65613,53.0,80,0.121325,33.9701,5.18977,1000.0,0.134696,5.18256675445,5.18081056487,11.8655189748
0.0,99.9956828753,12.5625,1000.0,5.23976,48.3934,81,3.0,1000.0,0.135859034378,-5.72648,43.0,81,0.137285,34.1662,5.25073,1000.0,0.141481,5.2417932427,5.24002169801,9.48662710082
0.0,99.9956828753,12.4487179487,1000.0,5.30641,48.6205,82,3.0,1000.0,0.127759602854,-5.79386,57.0,82,0.127906,34.4332,5.31689,1000.0,0.247666,5.30853488881,5.30674067006,12.1956774981
0.0,99.9956828753,10.6082474227,1000.0,5.36822,48.8777,83,3.0,1000.0,0.136603239262,-5.86129,43.0,83,0.143679,34.5474,5.37771,1000.0,0.0801511,5.3701884875,5.36873125391,8.12981873098
0.0,99.9956828753,11.0804597701,1000.0,5.41525,49.1047,84,3.0,1000.0,0.133422895585,-5.91455,36.0,84,0.137239,34.7621,5.42505,1000.0,0.0768432,5.41610876344,5.41528843692,8.65988026623
0.0,99.9956828753,10.3505154639,1000.0,5.49573,49.4001,85,3.0,1000.0,0.126926903512,-5.999,45.0,85,0.128164,34.9931,5.50491,1000.0,0.132621,5.49693842405,5.49617048033,8.57837275453
1.13772020805,43.2352291457,9.5462962963,56.3483146067,5.55241,49.586,86,3.0,59.0,0.1386543127,-6.07006,44.0,86,0.156742,35.1551,5.562,55.0,0.0655423,5.5541633339,5.55300034737,8.32709128361
0.0,99.9956828753,11.9166666667,1000.0,5.61055,49.8807,87,3.0,1000.0,0.133378508708,-6.12211,65.0,87,0.143951,35.3918,5.62125,1000.0,0.0627965,5.61284194515,5.61120138293,10.6012222266
176.508158452,72.939510522,12.8333333333,206.5,5.67282,50.2876,88,3.0,827.0,0.138575692896,-6.18377,48.0,88,0.151253,35.5413,5.68293,56.0,0.0510795,5.6740541733,5.67216656676,10.333436724
34.4809777339,62.7716900342,12.7051282051,104.103092784,5.73132,50.6032,89,3.0,145.0,0.132536152321,-6.24895,74.0,89,0.140679,35.7525,5.74284,68.0,0.0753828,5.7338383588,5.73145083663,11.6389145832
0.0,99.9956828753,11.4886363636,1000.0,5.78418,50.8122,90,3.0,1000.0,0.140360744355,-6.31938,49.0,90,0.156305,35.9497,5.79615,1000.0,0.0604871,5.78729028039,5.78539511459,8.55462968512
0.0,99.9956828753,10.989010989,1000.0,5.85791,50.9304,91,3.0,1000.0,0.158153142215,-6.39382,56.0,91,0.200369,36.1576,5.87241,1000.0,0.0930593,5.86119724709,5.85817274706,9.53362413418
44.6830879527,53.4535003664,8.81081081081,84.4117647059,5.90479,51.1962,92,3.0,256.0,0.153118646142,-6.45888,43.0,92,0.179528,36.3054,5.91902,49.0,0.0674742,5.90740706525,5.90466916595,7.17165782223
0.0,99.9956828753,9.13392857143,1000.0,5.96247,51.2902,93,3.0,1000.0,0.151752094701,-6.52339,36.0,93,0.184366,36.5032,5.9761,1000.0,0.0396732,5.96590190846,5.96355719658,6.92110583613
0.0,99.9956828753,10.8571428571,1000.0,6.01905,51.4171,94,3.0,1000.0,0.155935709675,-6.59193,68.0,94,0.201822,36.6968,6.03167,1000.0,0.0463784,6.0210611945,6.01928469572,10.2631009051
61.4709506678,67.0944084291,10.7872340426,126.924050633,6.07347,51.8597,95,3.0,337.0,0.151566196962,-6.66586,61.0,95,0.19171,36.8498,6.08593,63.0,0.061839,6.07496309936,6.0733245981,9.7793446463
0.0,99.9956828753,10.375,1000.0,6.16012,52.1422,96,2.0,1000.0,0.157450008271,-6.73268,43.0,96,0.197015,37.0683,6.17376,1000.0,0.047979,6.16287398244,6.1609593034,8.05353183392
1.59191592842,48.0509746284,10.2631578947,65.1753246753,6.2096,52.4585,97,3.0,71.0,0.161621387507,-6.79444,49.0,97,0.215144,37.2319,6.22286,63.0,0.0715453,6.21133423411,6.20972936385,9.06956800029
265.965406835,99.1373342958,9.91262135922,806.307692308,6.2661,52.7838,98,3.0,1000.0,0.15948886455,-6.86752,38.0,98,0.204865,37.4196,6.2786,245.0,0.0411058,6.26804585486,6.26695307917,7.37235296728
171.625433011,99.8377353058,13.0909090909,945.727272727,6.35276,52.8829,99,3.0,1000.0,0.156298773031,-6.95045,69.0,99,0.182435,37.5767,6.36502,403.0,0.0370873,6.35385985557,6.35289714481,12.7423843496
