StdReturn,MinReturn,AverageReturn,QFunRegParamNorm,MinEsReturn,AveragePolicySurr,AverageAbsY,AverageAbsQYDiff,MaxEsReturn,AverageDiscountedReturn,AverageAbsQ,AverageQ,PolicyRegParamNorm,AverageAction,AverageY,AverageEsReturn,Epoch,StdEsReturn,Iteration,MaxReturn,AverageQLoss
646.956732332,925.71430223,1653.01813556,36.5719,1822.61510002,-6.6005,6.47810047958,0.132626654821,1822.61510002,189.554205907,6.477,6.477,39.3286,0.919345,6.47805095393,1822.61510002,89,0.0,89,2935.72090307,0.0652907
928.098117144,-372.237235729,1363.45831172,36.8147,1756.10094868,-6.75489,6.63237611592,0.136508409518,1756.10094868,160.837741485,6.63104,6.63103,39.5361,0.896176,6.63233470881,1756.10094868,90,0.0,90,2943.98779051,0.0764335
159.276538985,1168.95716402,1323.78409857,37.0226,854.676371548,-6.85567,6.73530908172,0.129832492108,854.676371548,199.937253716,6.73416,6.73416,39.8223,0.920714,6.73525800943,854.676371548,91,0.0,91,1736.60711349,0.0606769
205.709869733,800.251716906,963.865161,37.2672,1510.88464712,-6.94482,6.82422139332,0.13707113016,1510.88464712,115.900508778,6.82336,6.82336,40.0824,0.944398,6.82414709239,1510.88464712,92,0.0,92,1550.88893141,0.0773051
122.378491937,2232.48925706,2502.79775506,37.5398,1393.16949497,-7.05162,6.92708400044,0.137781813072,1393.16949497,204.26334175,6.92607,6.92607,40.2975,0.919446,6.92702348828,1393.16949497,93,0.0,93,2717.39137721,0.073957
986.510598221,-571.749608355,1696.69876553,37.7603,813.557798378,-7.10373,6.98066117517,0.138104989783,813.557798378,164.710602184,6.97946,6.97946,40.4783,0.945807,6.98063634911,813.557798378,94,0.0,94,2705.65187713,0.0697812
698.063420738,867.547377707,1555.83894944,37.947,2016.28916426,-7.29267,7.17335269036,0.140512441949,2016.28916426,189.443641822,7.17192,7.17192,40.6942,0.935319,7.17330773041,2016.28916426,95,0.0,95,2969.78230389,0.0789061
776.901754787,905.289885012,2297.83373022,38.2242,1263.71001486,-7.37495,7.25036372937,0.142300177642,1263.71001486,240.92511809,7.24913,7.24913,40.8395,0.933617,7.25030376977,1263.71001486,96,0.0,96,3220.7361915,0.0880636
784.721855449,951.870678792,2299.51611212,38.4296,1862.08573076,-7.53359,7.40847473409,0.135382885881,1862.08573076,235.16099325,7.40738,7.40738,41.0656,0.925886,7.40843136991,1862.08573076,97,0.0,97,2960.68567798,0.0661196
641.483590097,1170.96580395,2396.54474959,38.709,1339.54754234,-7.58984,7.47207698264,0.14256804684,1339.54754234,244.438884918,7.47098,7.47098,41.2463,0.929025,7.4720271636,1339.54754234,98,0.0,98,3098.13853895,0.0841014
