Epoch,AverageDiscountedReturn,AverageQLoss,MinEsReturn,AverageY,PolicyRegParamNorm,AverageAbsQ,StdEsReturn,AverageAbsY,MaxEsReturn,Iteration,AverageReturn,MinReturn,AverageAction,QFunRegParamNorm,AverageQ,AveragePolicySurr,AverageEsReturn,StdReturn,AverageAbsQYDiff,MaxReturn
74,75.2861325007,47.891,62.3757690527,101.89636907,35.0028,101.99,77.0278752105,101.970079863,262.048235316,74,129.077335462,86.1950020315,0.764527,47.5248,101.879,-106.539,156.642122521,52.3886019995,4.11669387308,377.653227465
75,94.0368180092,49.7502,109.096719871,103.94576128,35.1734,104.031,68.9240904483,104.017279405,322.36719333,75,183.517703873,106.371697864,0.755968,47.8509,103.923,-108.537,219.059587309,66.0145224068,4.16189729289,368.572134449
76,114.266419201,48.3886,43.6683311627,105.121327314,35.3742,105.236,98.5453870015,105.209097779,366.221185006,76,208.529981482,155.021672159,0.707916,48.1835,105.104,-109.803,202.358637944,47.4682794353,4.16810738356,426.555982052
77,97.9051929489,54.3806,121.8640532,107.039881863,35.561,107.131,80.5215615984,107.114552409,343.483679055,77,185.83758223,109.557916158,0.753408,48.4975,107.017,-111.702,258.830460368,62.0654962155,4.31522799134,428.040705102
78,112.905069804,52.9274,-150.603663397,108.622229668,35.7086,108.709,110.547548407,108.702106431,228.827821113,78,219.065645081,133.76802245,0.739391,48.8176,108.599,-113.314,89.3064403142,45.0661793697,4.29030684273,327.229662367
79,114.940554334,53.6472,33.2438124573,109.989602347,35.9208,110.089,84.063055972,110.070098868,293.00731104,79,229.427507696,98.1325135163,0.765992,49.1677,109.968,-114.793,157.752851934,39.8234275702,4.39841389248,298.531118218
80,67.748347784,52.9267,38.2722453621,111.890967689,36.089,111.995,69.8270415463,111.973691806,299.411911349,80,209.800723015,-62.6378098721,0.78915,49.494,111.866,-116.671,183.044726418,137.542701011,4.37295767849,589.690142931
81,87.4732657448,57.5948,41.701142967,113.175078405,36.2962,113.272,104.42293182,113.257136572,376.257338143,81,133.970455482,116.422248031,0.765694,49.7758,113.145,-117.912,173.398484626,25.1772637242,4.45360130994,246.221940785
82,94.3179764048,57.8718,2.63758130613,114.871665295,36.4766,114.967,76.9825307194,114.94930709,280.294672163,82,243.401188369,-11.1393011649,0.76524,50.0761,114.854,-119.625,150.786422028,123.621559652,4.45532389574,738.605012842
83,73.4593519498,54.8427,3.49702970621,116.773063587,36.6512,116.886,108.972571712,116.859306825,408.809215473,83,200.676780502,-16.3010082855,0.741614,50.3692,116.754,-121.487,186.910171016,100.1030487,4.49349783288,515.870070565
84,85.8916835691,54.797,12.0240566892,118.213096025,36.8469,118.306,107.057902747,118.293288605,340.364818598,84,173.865360519,90.53238321,0.779212,50.6614,118.181,-122.941,163.670587265,84.0181315039,4.48141612556,546.737502159
85,77.9866022161,57.1653,8.09120279529,119.479704783,37.0737,119.627,78.4902934778,119.580297571,238.787634313,85,163.587139766,98.3779545345,0.777812,50.9209,119.462,-124.225,116.188351992,62.542524787,4.55264471917,448.595117795
86,88.621907279,60.7689,96.7432232575,121.353655322,37.2924,121.47,84.0771296725,121.448510069,357.3903085,86,178.239528686,98.2858747617,0.771373,51.2048,121.325,-126.03,179.69560202,74.0286249842,4.606202346,607.993416279
87,101.020577836,60.8648,41.7147200664,122.632703361,37.5009,122.767,69.9873555687,122.723538306,271.882470981,87,228.57033365,56.997168916,0.767279,51.5179,122.619,-127.286,145.776298569,92.6343634469,4.65740389289,541.729749139
88,102.124479046,62.0525,3.09197326724,124.144862189,37.686,124.275,140.404305158,124.23853863,442.006433144,88,168.604189302,99.4590225374,0.784379,51.8158,124.112,-128.851,222.508491458,37.4406060599,4.67314846161,248.522723176
89,104.938379547,63.8179,89.5093532217,125.033226454,37.8837,125.18,140.959735258,125.127234621,545.035462412,89,322.670368157,135.719506428,0.742667,52.115,125.009,-129.766,204.529970577,101.005896118,4.75498507038,677.161836523
90,80.7468074527,64.6834,1.51980476772,126.582394982,38.0548,126.736,128.197174809,126.681517734,393.495795458,90,120.608676778,104.173420165,0.809574,52.3903,126.561,-131.345,136.054238386,12.405851528,4.75574826405,211.359835204
91,104.911366108,67.9685,73.633918238,128.38052436,38.2436,128.506,110.32884925,128.4624166,377.118797566,91,213.673930566,106.504520436,0.780716,52.6671,128.351,-133.135,257.340568577,71.9802646278,4.85563283977,486.893400029
92,101.176488309,66.543,0.751848785716,129.811677329,38.4556,129.957,133.287875739,129.913807238,486.692577005,92,177.605996884,130.860838843,0.79259,52.8999,129.788,-134.613,130.611350459,29.6691105298,4.79602250496,295.294767809
93,106.395602979,71.492,44.8348513071,131.228797508,38.582,131.361,82.8735199128,131.321407177,318.395584655,93,211.758854324,102.747767032,0.770728,53.1647,131.206,-136.126,132.726520754,54.9638542141,4.90336851292,415.078926843
94,123.854156743,71.8135,-35.9643750484,132.595759547,38.7986,132.731,166.766965082,132.685800456,432.9278779,94,234.335306418,180.489200392,0.764548,53.4603,132.562,-137.406,152.184836816,39.4371853356,4.95390667017,446.989424948
95,110.245800741,73.3789,54.2312242737,133.817817181,38.9446,133.969,88.8075385873,133.928374349,332.993425783,95,307.178209948,80.7270272865,0.768684,53.721,133.789,-138.678,157.216938709,127.357773584,4.97279200373,644.617063529
96,102.290968896,74.823,1.4290785062,135.189181208,39.1338,135.35,137.051734448,135.298662691,487.142887014,96,325.425923052,55.31216341,0.777173,53.9552,135.162,-140.086,166.784871936,97.726436288,4.96958873573,508.200446439
97,126.839758852,78.6259,18.7037541238,136.142749825,39.2885,136.31,104.500064895,136.260123366,297.886494955,97,304.888486271,150.75061103,0.766092,54.2074,136.111,-140.954,162.81152518,114.746155254,5.14817558182,513.192069822
98,117.70455166,72.2458,69.5735982763,137.812725535,39.4629,137.979,48.8922901388,137.917074448,224.43330938,98,247.996389546,132.050992881,0.772995,54.4873,137.788,-142.599,164.258974722,74.3578481177,5.02876011129,394.295200724
99,112.712079484,78.2909,-2.49548924709,138.976307474,39.6331,139.146,80.8147957426,139.090193304,279.406951067,99,317.675989631,54.1085554358,0.771952,54.7161,138.947,-143.843,152.209194231,139.363116778,5.08383111477,586.984919578
100,119.729227142,73.1229,-10.4728062187,140.140338194,39.757,140.302,102.948549868,140.254190179,262.432551935,100,250.756952865,135.851934508,0.774637,54.9793,140.11,-145.019,99.9963680013,91.4399615095,5.05700996011,645.745887667
101,114.824484754,75.0692,1.85591320548,141.341638022,39.9119,141.51,139.708075292,141.46049512,434.46439433,101,238.988906968,152.029771836,0.779227,55.2247,141.314,-146.201,131.914295744,71.1129071481,5.08087871442,552.657799364
102,121.716455729,75.5552,8.84938007216,142.696170653,40.0649,142.855,66.919222559,142.802445638,223.372479987,102,255.612350598,146.629037688,0.779975,55.4801,142.665,-147.62,96.8446835185,81.2439905839,5.13149878895,614.06578927
103,102.944882204,75.808,99.711949094,143.91886028,40.2344,144.075,122.357082501,144.029165744,456.665862548,103,192.658704223,146.184160072,0.830579,55.7225,143.891,-148.926,245.150889921,73.083772423,5.14399271014,419.685387113
104,131.087340984,79.5563,-0.260012356798,145.158271926,40.3996,145.33,115.309410553,145.265790685,288.253289408,104,284.623020975,135.53800189,0.785125,55.9372,145.131,-150.025,162.98481114,53.2315248763,5.21448942032,435.972709733
105,90.3568081897,84.2496,9.29554345098,146.128989716,40.5689,146.274,94.5258682544,146.231620854,300.868544752,105,702.142452777,177.964672734,0.800427,56.1995,146.103,-151.005,126.900694878,324.72709498,5.25254748439,1135.02959275
106,111.866552609,84.6887,2.46188975534,147.083965673,40.7976,147.241,155.172484466,147.191299156,409.776161512,106,507.788041795,75.3451876762,0.866612,56.4518,147.057,-151.958,100.529220197,403.119783636,5.30951794638,1104.16604073
107,96.9468697409,86.1557,29.2597502994,148.571631466,40.9596,148.748,161.470453014,148.688148078,541.079495375,107,240.874105621,-50.0117450112,0.797438,56.7071,148.544,-153.416,201.931239542,98.1107672047,5.25793790969,655.257510861
108,107.423512501,86.4966,-21.4127433563,148.881719185,41.1548,149.078,88.9189192666,149.007427148,243.766494338,108,282.391465033,125.979246349,0.804234,56.9665,148.859,-153.743,85.6223021085,195.380373194,5.35605580469,1086.89025129
109,92.9461342582,86.5571,16.9591818438,149.865786574,41.3226,150.049,100.082136502,149.982923156,323.904519527,109,162.265010445,91.4720328471,0.812096,57.2299,149.839,-154.744,159.42864621,48.3335854353,5.36395566477,393.17248204
110,104.35204186,83.7988,76.4043773965,150.671793754,41.4649,150.872,64.1309206858,150.812969506,278.805200584,110,271.752584407,5.61711314177,0.815502,57.4617,150.648,-155.498,187.762818196,200.131166169,5.30386967732,993.605924169
111,68.0472081439,85.5377,-19.7938410708,151.926012756,41.6666,152.136,77.0267873717,152.055603914,221.411660257,111,224.740326981,-95.2492396819,0.796152,57.6826,151.906,-156.736,79.9360976319,249.361589671,5.31098636803,873.10224565
112,43.736462213,80.9813,0.998868081001,153.19081283,41.8139,153.381,60.8082934526,153.315268097,169.844637726,112,258.270960273,-24.0853330645,0.839245,57.8827,153.168,-157.916,64.4179083957,385.421326816,5.26725432587,1007.81856281
113,74.5801128218,89.5422,100.199590437,153.829832466,41.985,154.008,110.210645597,153.942862766,420.07820835,113,111.890430801,83.3793960009,0.774275,58.0953,153.802,-158.56,249.354333029,14.0342177512,5.36596388985,221.785612619
114,78.9856459119,86.9607,-14.109511345,154.856269317,42.1673,155.047,93.2032411294,154.972823197,251.761936776,114,173.95809611,10.2418789068,0.785974,58.2899,154.845,-159.525,93.6821646587,123.107276181,5.35032884405,766.018625073
115,73.0866426219,84.2144,-32.0810591241,155.04480208,42.3067,155.228,93.9610475429,155.174487057,217.721821298,115,126.437034357,52.8502944577,0.806683,58.4555,155.016,-159.648,90.9061411206,63.8153159117,5.29143648994,463.015746343
