MaxReturn,PolicyRegParamNorm,AverageY,AverageAbsQYDiff,MinEsReturn,AverageQ,MaxEsReturn,Iteration,StdReturn,AverageAbsY,AverageQLoss,StdEsReturn,AverageAbsQ,AverageAction,MinReturn,QFunRegParamNorm,AverageEsReturn,AverageReturn,AverageDiscountedReturn,AveragePolicySurr,Epoch
3702.28126467,41.9163,92.0285764203,1.70064408539,2169.4466167,92.015,2169.4466167,86,1383.05250536,92.0290603678,11.6958,0.0,92.015,0.88898,91.0793876713,45.1551,2169.4466167,1609.51965357,239.00761057,-93.6685,86
3599.2144906,42.1132,93.9863354792,1.6816391101,2310.33740909,93.9719,2310.33740909,87,1275.4465166,93.9868506262,10.3239,0.0,93.9719,0.899445,-141.601798839,45.4269,2310.33740909,2347.58501345,215.238236221,-95.6084,87
3460.88606042,42.309,95.23993271,1.85074613092,918.448842076,95.2245,918.448842076,88,92.3730158392,95.2404917118,15.5579,0.0,95.2245,0.895077,3175.59983366,45.7872,918.448842076,3337.38827406,282.694441075,-96.854,88
3735.279625,42.594,97.5236834856,1.77517113798,2370.89399965,97.5105,2370.89399965,89,1322.52171349,97.5241514108,12.8152,0.0,97.5105,0.908332,165.698964238,46.1022,2370.89399965,2921.65766684,275.594895974,-99.14,89
3640.25613475,42.8085,99.1234621021,1.75458422153,2134.11840532,99.1085,2134.11840532,90,54.0014901417,99.1238844908,12.795,0.0,99.1085,0.882912,3465.9715035,46.4058,2134.11840532,3575.13535238,297.295761298,-100.765,90
3549.26060861,43.1097,101.539671678,1.79232802894,2329.95587712,101.526,2329.95587712,91,1256.34066054,101.540182911,13.2606,0.0,101.526,0.893043,439.509108491,46.6609,2329.95587712,2196.12694325,280.255398109,-103.208,91
4007.46517371,43.3844,103.450311803,1.83346949305,2327.55370799,103.437,2327.55370799,92,943.834487794,103.450708937,15.3192,0.0,103.437,0.90126,1478.78612203,46.9234,2327.55370799,3376.44181634,303.953057182,-105.123,92
3694.05532267,43.6316,105.337650833,1.82654358372,2278.69721621,105.321,2278.69721621,93,62.921574154,105.338156265,15.0416,0.0,105.321,0.887839,3495.61473767,47.1843,2278.69721621,3605.00339327,310.223475051,-106.977,93
3260.9912594,43.846,108.02312588,1.92256470923,2146.19175912,108.008,2146.19175912,94,294.464397805,108.02362461,17.7067,0.0,108.008,0.896925,2222.08731962,47.5328,2146.19175912,2704.98344626,251.686525317,-109.692,94
3680.56373759,44.0772,109.593817748,1.88892531914,2421.26854979,109.579,2421.26854979,95,1069.85271538,109.594213422,15.3729,0.0,109.579,0.891569,286.253923914,47.8752,2421.26854979,2853.38944491,281.786885404,-111.278,95
3762.96418025,44.307,111.622753222,1.97477707645,1927.37276555,111.613,1927.37276555,96,109.207547993,111.62316024,19.1995,0.0,111.613,0.865833,3375.82309299,48.1727,1927.37276555,3638.43258114,310.132071054,-113.294,96
