StdReturn,Epoch,MaxReturn,AverageAbsQ,AverageDiscountedReturn,AverageEsReturn,QFunRegParamNorm,MinReturn,MaxEsReturn,MinEsReturn,PolicyRegParamNorm,AverageAbsY,StdEsReturn,AverageQLoss,AverageReturn,AverageY,Iteration,AverageAction,AveragePolicySurr,AverageQ,AverageAbsQYDiff
638.447934282,107,3210.19679231,96.4665,238.544609544,2117.58506456,49.2033,1378.48022195,2117.58506456,2117.58506456,43.4351,96.4806144483,0.0,14.3502,2625.84162138,96.48031973,107,0.940487,-97.8374,96.4665,1.79143942214
417.743158927,108,3029.17280695,98.5419,220.054120649,2309.00758713,49.4256,1495.90036543,2309.00758713,2309.00758713,43.6717,98.5518606815,0.0,15.7518,2708.45401527,98.5515353735,108,0.953116,-99.9004,98.5419,1.78063147027
647.012104872,109,3366.82009027,99.64,256.875076607,1785.92648604,49.6229,1641.36189218,1785.92648604,1785.92648604,43.8583,99.6536661045,0.0,10.5075,2920.36272751,99.6534433418,109,0.946036,-100.982,99.64,1.66196987043
696.432254895,110,3010.16267617,101.017,201.502436585,1167.11359181,49.8794,67.512565791,1167.11359181,1167.11359181,44.0613,101.033694392,0.0,18.1005,1387.98282814,101.033386901,110,0.934391,-102.393,101.017,1.821133622
786.834526825,111,3263.35844199,102.101,226.187576058,1358.26793367,50.1479,1316.71228006,1358.26793367,1358.26793367,44.2798,102.113340296,0.0,14.5844,2113.39387026,102.112990658,111,0.940818,-103.446,102.101,1.76925144266
598.698894086,112,2974.84357914,103.357,249.945903155,2285.55806839,50.4188,1246.99497266,2285.55806839,2285.55806839,44.5062,103.371647892,0.0,12.2686,1923.64600769,103.371301549,112,0.947156,-104.77,103.357,1.74407680271
243.375530493,113,3082.94767,105.069,247.969489388,2116.0337402,50.6856,2202.94706856,2116.0337402,2116.0337402,44.6892,105.084178534,0.0,18.9475,2888.58379352,105.084010589,113,0.961106,-106.521,105.069,1.8725771511
564.638253276,114,3157.5254069,106.661,238.030130348,2392.89190489,50.9076,1407.15316547,2392.89190489,2392.89190489,44.8944,106.679439854,0.0,18.5435,2577.4608308,106.679189252,114,0.952758,-108.036,106.661,1.85448722688
1029.40263564,115,3455.06467021,107.952,250.921721662,2178.91117105,51.1377,1027.1473005,2178.91117105,2178.91117105,45.0973,107.960005628,0.0,18.1403,2338.71421571,107.959447021,115,0.951003,-109.339,107.952,1.86193161356
482.530521686,116,3507.99674401,109.27,252.008428784,805.936382239,51.3781,1872.72944642,805.936382239,805.936382239,45.3003,109.29061102,0.0,15.6934,3131.65648652,109.290389872,116,0.95874,-110.72,109.27,1.82980915678
662.346758189,117,3267.2934172,110.449,234.477153168,2062.42245221,51.6585,1235.8797182,2062.42245221,2062.42245221,45.4222,110.467628601,0.0,19.777,2598.48279788,110.467380935,117,0.945838,-111.827,110.449,1.87420714006
771.898896431,118,3122.43499102,112.094,239.169704555,1904.31564541,51.8902,1259.87873891,1904.31564541,1904.31564541,45.5674,112.108095599,0.0,18.8309,2326.78205281,112.107874969,118,0.946741,-113.508,112.094,1.85514574189
760.38426493,119,3033.98610803,113.123,196.486856391,1493.47892632,52.1828,1053.28954104,1493.47892632,1493.47892632,45.76,113.137625371,0.0,18.2763,1896.50415206,113.137422662,119,0.945218,-114.571,113.123,1.91383861803
656.953293244,120,3510.20076447,114.449,257.620898108,2381.10725049,52.4437,1460.68717306,2381.10725049,2381.10725049,46.0026,114.463318546,0.0,21.6402,2966.78209939,114.463063738,120,0.938149,-115.917,114.449,1.92096591663
801.149436936,121,3508.21935529,116.438,265.396682699,2339.88524856,52.6473,1117.27363842,2339.88524856,2339.88524856,46.1632,116.454142418,0.0,15.0275,2915.39028536,116.454035058,121,0.946641,-117.927,116.438,1.83728951121
