StdEsReturn,AverageReturn,QFunRegParamNorm,MinEsReturn,AverageQ,AverageY,AveragePolicySurr,AverageQLoss,MinReturn,PolicyRegParamNorm,MaxEsReturn,MaxReturn,Epoch,AverageEsReturn,AverageAbsY,AverageAction,AverageAbsQYDiff,StdReturn,Iteration,AverageAbsQ,AverageDiscountedReturn
0.0,2517.18366082,45.134,2301.61869142,68.5072,68.520208467,-69.8402,7.31871,983.839779273,38.1077,2301.61869142,3948.75708441,82,2301.61869142,68.520724334,0.917211,1.46212370615,1167.14902297,82,68.5072,279.783374205
0.0,3080.30191844,45.5835,1386.36489178,70.4036,70.4179912348,-71.7676,10.3993,1639.33189914,38.3609,1386.36489178,3584.69945793,83,1386.36489178,70.4189359887,0.931462,1.59784670649,660.461397995,83,70.4036,284.848516294
0.0,1481.37568433,45.9355,2380.52673982,72.1491,72.167744123,-73.5491,10.2778,759.450176385,38.5808,2380.52673982,3546.95813513,84,2380.52673982,72.1683752533,0.91566,1.61595561912,791.479494003,84,72.1491,227.061665941
0.0,1650.60944362,46.246,1116.09559629,73.2812,73.2964843905,-74.659,8.63385,859.295591764,38.8445,1116.09559629,2476.44447685,85,1116.09559629,73.2967943764,0.900911,1.56287690733,494.823895678,85,73.2812,257.55664805
0.0,2140.35812069,46.5874,2318.5392387,75.4508,75.462436645,-76.836,11.758,829.722280184,39.054,2318.5392387,3865.69279605,86,2318.5392387,75.4630946445,0.9133,1.6409901548,937.801165857,86,75.4508,277.121377864
0.0,2566.74628862,46.9497,809.169110503,76.3302,76.342703481,-77.7183,9.36766,811.689750425,39.3015,809.169110503,3744.88451209,87,809.169110503,76.3431087306,0.92707,1.59052854036,1012.1438242,87,76.3302,274.113044045
0.0,2530.49233886,47.3637,2309.09196541,78.913,78.9293705727,-80.3449,12.3048,1195.20074265,39.5179,2309.09196541,3870.3908858,88,2309.09196541,78.9298099713,0.938412,1.68384366794,1008.58006927,88,78.913,296.197703339
0.0,1864.89405788,47.7049,1811.61302192,80.2053,80.2234469948,-81.7262,13.8947,1011.00442205,39.7553,1811.61302192,3272.78069819,89,1811.61302192,80.2239230523,0.921091,1.70038212259,777.806163113,89,80.2053,263.607423049
0.0,1980.87984933,48.035,2287.58588137,82.6257,82.6390895912,-84.1675,13.4916,959.687795474,39.9604,2287.58588137,3343.45953927,90,2287.58588137,82.6393287753,0.916911,1.70670361587,958.396389369,90,82.6257,226.820282934
0.0,1779.16568398,48.3828,2394.22891328,84.0776,84.0933032564,-85.6268,11.3639,1012.93590031,40.2649,2394.22891328,2523.14268333,91,2394.22891328,84.0938463051,0.92804,1.70111352741,533.449556894,91,84.0776,273.373919584
0.0,2030.38213265,48.6863,1592.6093367,85.8057,85.8216128902,-87.3692,13.5565,813.49616929,40.5451,1592.6093367,3848.88729477,92,1592.6093367,85.8223697974,0.91794,1.75133159385,1141.06085012,92,85.8057,233.892404889
0.0,2925.34384859,48.9928,2384.81550091,87.7727,87.7909885816,-89.2991,12.0804,1035.61971193,40.7444,2384.81550091,3931.74344141,93,2384.81550091,87.791642894,0.937629,1.70806903581,921.888171324,93,87.7727,291.201605483
0.0,3006.86906352,49.346,1088.08444804,89.3492,89.3697446842,-90.9008,14.8112,1128.24118046,40.9308,1088.08444804,3926.28700132,94,1088.08444804,89.3700714117,0.941499,1.79267657886,1052.73721915,94,89.3492,298.099183797
0.0,1034.99653945,49.6523,2440.74936326,91.9021,91.9236279866,-93.4132,14.9546,-381.231110839,41.1767,2440.74936326,3846.49286948,95,2440.74936326,91.924008781,0.935361,1.83104792123,1148.23299997,95,91.9021,235.946235123
0.0,2638.58898727,49.9867,1138.92080118,92.4883,92.50545517,-94.0051,16.0602,1295.99464272,41.4792,1138.92080118,3464.16839302,96,1138.92080118,92.5058473372,0.937876,1.81455767947,854.334943961,96,92.4883,276.483630174
0.0,2223.73454305,50.1898,1743.95310601,94.5413,94.5580720155,-96.0436,12.6937,1116.90375465,41.7542,1743.95310601,4004.88530369,97,1743.95310601,94.5583512885,0.926428,1.75255019413,1018.01736516,97,94.5413,263.0136775
0.0,3111.82050172,50.563,1722.82795752,95.7307,95.747245419,-97.2789,14.6778,1114.82228645,41.9293,1722.82795752,3579.68939161,98,1722.82795752,95.7477509945,0.954769,1.8335734292,704.569196336,98,95.7307,270.584437555
0.0,2999.93925852,50.9613,940.485070639,97.3606,97.3826698373,-98.9045,15.8759,-221.175292444,42.1526,940.485070639,3994.09422712,99,940.485070639,97.3830933707,0.945163,1.88608175351,1284.37621242,99,97.3606,277.769601716
0.0,2954.4311901,51.2563,2490.31605456,99.4103,99.4324370346,-100.995,17.5157,709.315141965,42.3925,2490.31605456,3878.43711924,100,2490.31605456,99.4328893336,0.928004,1.91626422713,1022.74099776,100,99.4103,289.610120316
0.0,3083.40724824,51.4749,2372.13075536,100.989,101.008891461,-102.501,18.4345,717.45224758,42.5675,2372.13075536,3962.26381102,101,2372.13075536,101.009312824,0.93576,1.88473950729,932.492204407,101,100.989,301.587513595
0.0,2609.37461268,51.7988,2314.85307718,103.481,103.498825089,-105.038,23.2619,1195.63557957,42.7694,2314.85307718,3546.55117866,102,2314.85307718,103.49944485,0.947251,2.00799180463,856.328952943,102,103.481,253.841010975
0.0,2189.90102513,52.0612,2516.27550867,105.642,105.666771129,-107.238,15.9629,1006.56333637,42.9336,2516.27550867,3307.02799882,103,2516.27550867,105.667039102,0.945218,1.91609506702,811.337445593,103,105.642,261.760183494
0.0,3072.07292099,52.3738,2336.78923856,107.268,107.288844015,-108.923,22.4745,2338.19950419,43.2248,2336.78923856,3677.75347692,104,2336.78923856,107.289533573,0.937057,2.07493676919,421.074853819,104,107.268,287.405757958
0.0,3901.51939594,52.6932,2143.7566259,109.411,109.429221207,-111.099,18.8604,2363.62471748,43.4469,2143.7566259,4170.97265348,105,2143.7566259,109.429949943,0.943749,1.99700016434,518.246540473,105,109.411,322.556077937
0.0,2894.49574402,53.0335,2544.27479088,111.043,111.066628138,-112.706,20.3499,426.51377117,43.6502,2544.27479088,3418.77090275,106,2544.27479088,111.067032879,0.952172,2.00257715607,847.819623935,106,111.043,258.260293231
0.0,3497.48701151,53.2789,2617.71975394,113.587,113.604626807,-115.248,18.1111,1390.70979222,43.8451,2617.71975394,3993.67474624,107,2617.71975394,113.604988216,0.945303,1.9792209436,711.831075375,107,113.587,301.677233885
0.0,3762.55169536,53.5477,2381.99399678,115.825,115.839024392,-117.503,22.4103,3429.10547459,44.0471,2381.99399678,3863.62165119,108,2381.99399678,115.8397125,0.93995,2.0940108146,124.613775317,108,115.825,306.410504172
0.0,3337.40919972,53.7777,1018.0201378,116.461,116.487314673,-118.181,16.0755,1661.68503458,44.2665,1018.0201378,4024.34169014,109,1018.0201378,116.487850575,0.944849,1.97864670755,724.910033863,109,116.461,317.457728441
0.0,4177.61726275,54.0656,2166.47053225,119.038,119.053695365,-120.75,22.364,4037.46237869,44.4863,2166.47053225,4303.67789231,110,2166.47053225,119.053924381,0.946304,2.102148426,79.8868559871,110,119.038,339.235805668
0.0,3898.08020941,54.3923,2391.08848767,121.12,121.138993336,-122.85,18.795,2163.56462762,44.6715,2391.08848767,4235.45564983,111,2391.08848767,121.139480832,0.942151,2.03382815281,588.790365925,111,121.12,331.810047372
0.0,3674.29656596,54.5951,2660.12645946,122.711,122.72764542,-124.428,14.4758,2477.58503263,44.8635,2660.12645946,4088.98086303,112,2660.12645946,122.727998337,0.950985,1.97602154883,439.025115521,112,122.711,303.212292203
0.0,3890.52219782,54.9076,2425.43768714,124.502,124.521994503,-126.202,23.3489,2911.66697639,45.0296,2425.43768714,4164.15834627,113,2425.43768714,124.52246199,0.945798,2.14638160342,350.212243657,113,124.502,329.338000334
