PolicyRegParamNorm,AveragePolicySurr,MaxReturn,AverageAction,AverageQLoss,Epoch,AverageReturn,AverageY,AverageAbsY,AverageAbsQYDiff,Iteration,MinEsReturn,MinReturn,AverageAbsQ,StdEsReturn,AverageEsReturn,StdReturn,AverageQ,AverageDiscountedReturn,QFunRegParamNorm,MaxEsReturn
62.989,-7.08145,1000.0,0.242674,0.22167,111,1000.0,6.53216140862,6.53375287842,0.16291409148,111,3.0,1000.0,6.54502,15.2305533141,20.8260869565,0.0,6.5316,99.9956828753,72.7918,68.0
63.1035,-7.12435,1000.0,0.191356,0.249133,112,1000.0,6.57258812882,6.57512428282,0.180583608564,112,3.0,1000.0,6.58903,18.0523052504,20.3653846154,0.0,6.57187,99.9956828753,73.1031,78.0
63.1621,-7.16055,1000.0,0.279972,0.195542,113,935.818181818,6.63284138946,6.63491910784,0.153858523692,113,3.0,372.0,6.64718,16.6764445147,18.0727272727,179.685491994,6.63264,99.7793863727,73.332,78.0
63.347,-7.21214,1000.0,0.257664,0.228394,114,909.5,6.65358172021,6.65529314678,0.169281496805,114,3.0,467.0,6.66914,11.6816609666,15.196969697,169.265816592,6.65354,99.9073645054,73.5935,62.0
63.4553,-7.31222,436.0,0.27541,0.228738,115,236.441860465,6.7514928915,6.75272597708,0.171560235373,115,4.0,204.0,6.76639,11.6253127354,15.2063492063,49.9447612662,6.75133,89.8412499715,73.8548,60.0
63.6362,-7.35932,271.0,0.332405,0.247269,116,155.384615385,6.77928835789,6.78089531215,0.176558238477,116,3.0,139.0,6.79609,12.2907186064,17.4576271186,31.580272473,6.77848,78.2135391516,74.1435,54.0
63.7288,-7.38127,377.0,0.297409,0.250579,117,225.488888889,6.81819396684,6.82033182339,0.173742144514,117,4.0,161.0,6.83229,11.2080171987,16.7966101695,48.4669978082,6.81843,88.4205517952,74.3792,59.0
63.8544,-7.44847,378.0,0.214219,0.265231,118,236.860465116,6.88642022951,6.88770373514,0.181077577672,118,3.0,181.0,6.90008,11.8879062097,15.3636363636,49.2981349689,6.88621,89.6680096457,74.7916,67.0
64.0271,-7.46435,1000.0,0.318844,0.238787,119,1000.0,6.89061363208,6.89252457145,0.176174366868,119,3.0,1000.0,6.90572,14.1869975388,16.9830508475,0.0,6.89027,99.9956828753,75.2354,66.0
64.1787,-7.48447,1000.0,0.234948,0.249629,120,965.454545455,6.91911489965,6.92158698206,0.183036524982,120,3.0,620.0,6.93744,18.2553357666,21.3777777778,109.242319169,6.91919,99.9781928522,75.4699,88.0
