AverageAbsQYDiff,MaxEsReturn,AverageQ,AverageY,AverageReturn,Iteration,AverageDiscountedReturn,AverageAbsQ,MinEsReturn,AveragePolicySurr,MinReturn,StdEsReturn,QFunRegParamNorm,AverageQLoss,Epoch,AverageAction,MaxReturn,PolicyRegParamNorm,AverageAbsY,StdReturn,AverageEsReturn
0.077233256029,616.276729614,3.22588,3.22666056598,856.574103392,81,61.7872496136,3.22588,616.276729614,-3.31252,427.833694546,0.0,29.1067,0.0202155,81,0.934416,975.111178291,35.3697,3.22669269552,153.552451077,616.276729614
0.0766876386001,659.901947533,3.29583,3.29649781554,894.290277475,82,66.6558811239,3.29583,659.901947533,-3.38088,767.757051977,0.0,29.2959,0.02006,82,0.917443,979.680822607,35.5776,3.29654053624,56.7496773842,659.901947533
0.078758364657,555.383897944,3.3676,3.36834894906,827.352912884,83,61.4969718022,3.3676,555.383897944,-3.45204,731.634612712,0.0,29.4651,0.0234833,83,0.898283,926.025874802,35.7867,3.36839427681,65.4114237441,555.383897944
0.0779334275937,662.449501667,3.43555,3.43656964695,702.906267222,84,57.7282770763,3.43555,662.449501667,-3.52126,-187.782533598,0.0,29.6706,0.0198481,84,0.883867,922.335997873,35.9068,3.43660685887,309.427291123,662.449501667
0.0770795071418,613.257613343,3.50386,3.50470327958,997.286399825,85,67.5233063905,3.50386,613.257613343,-3.5883,889.21154241,0.0,29.832,0.0205718,85,0.921745,1069.98883157,36.1121,3.5047313615,60.3656311954,613.257613343
0.0825738126925,618.350003214,3.57132,3.57226983995,744.288915569,86,48.2120051826,3.57132,618.350003214,-3.65499,591.795048926,0.0,30.0503,0.0271321,86,0.897598,834.355615973,36.37,3.57231188627,68.7795946454,618.350003214
0.080159038188,641.088442575,3.64613,3.64685494607,917.600449909,87,37.6338447462,3.64613,641.088442575,-3.73475,614.686372497,0.0,30.241,0.0220365,87,0.899806,1043.21733013,36.5938,3.64688368486,110.803725554,641.088442575
0.0794493506714,602.812459659,3.72,3.72055877381,1031.48537484,88,91.7678046832,3.72,602.812459659,-3.80692,937.11130476,0.0,30.3617,0.021451,88,0.897786,1079.36890279,36.7416,3.72058133696,47.0009549373,602.812459659
0.0817791397785,600.41256873,3.78527,3.78636183063,748.64887368,89,48.8161184802,3.78527,600.41256873,-3.87394,615.878951859,0.0,30.5324,0.0259263,89,0.914817,823.879120623,36.961,3.78640183075,62.3947452796,600.41256873
0.0814557723295,647.219723247,3.85942,3.86024002263,759.527097006,90,31.9897744591,3.85942,647.219723247,-3.94605,608.100486918,0.0,30.7342,0.0260436,90,0.922121,870.960439881,37.0844,3.86027494228,73.0880065543,647.219723247
0.0788576856038,727.5407827,3.92343,3.92410174439,953.028194117,91,53.0502986334,3.92343,727.5407827,-4.00879,665.219745958,0.0,30.8855,0.0236151,91,0.889009,1043.83846251,37.2278,3.92414531778,109.607127304,727.5407827
0.0835307167744,548.374923261,3.99045,3.99149271082,797.837372137,92,44.6960854727,3.99045,548.374923261,-4.07677,637.628777143,0.0,31.0459,0.0284974,92,0.938031,905.688318195,37.4128,3.99153993832,78.5552506541,548.374923261
0.0826961617878,617.010079816,4.0615,4.06208023957,972.100878969,93,87.0648235801,4.0615,617.010079816,-4.14668,912.596532432,0.0,31.2053,0.026391,93,0.905217,1069.85145933,37.6372,4.06212802864,40.5648456596,617.010079816
0.0818433862949,591.933184164,4.13673,4.13768271428,890.790713191,94,61.7650751221,4.13673,591.933184164,-4.22283,800.616788998,0.0,31.3484,0.0229843,94,0.918098,979.471340224,37.8202,4.13771265701,51.5589342889,591.933184164
0.0851603670201,592.646356497,4.20334,4.2040280887,807.091046005,95,44.2168524026,4.20334,592.646356497,-4.28738,723.309036487,0.0,31.4971,0.0282316,95,0.927689,890.331531879,37.9396,4.2040572897,56.5888852053,592.646356497
0.0856639328276,699.036012332,4.26413,4.26487442863,811.469059715,96,55.3030248881,4.26413,699.036012332,-4.34943,439.858276792,0.0,31.6352,0.0304334,96,0.92171,963.453603281,38.1024,4.26491131663,135.959412629,699.036012332
0.0830609006195,598.460168996,4.3364,4.33719803407,917.092805112,97,49.6046292014,4.3364,598.460168996,-4.42287,780.24169804,0.0,31.7687,0.0239958,97,0.912342,1000.9447714,38.2723,4.33722342352,58.3276499268,598.460168996
0.0858875939683,672.325808858,4.40216,4.40291631511,1082.83208103,98,66.984497254,4.40216,672.325808858,-4.48703,960.669906191,0.0,31.919,0.0298783,98,0.902575,1168.60352863,38.4674,4.40297160389,58.8081352943,672.325808858
0.0867984455713,694.550763234,4.46616,4.46706077934,944.947971599,99,59.7190018314,4.46616,694.550763234,-4.5506,794.882527238,0.0,32.1526,0.0310785,99,0.918574,1072.42542177,38.6578,4.46710923679,89.9920038806,694.550763234
0.0879970992083,592.382005179,4.52075,4.52150150037,827.730522132,100,99.3176979024,4.52075,592.382005179,-4.59927,425.506322804,0.0,32.2822,0.0358736,100,0.920664,1143.41453731,38.8171,4.52154198359,226.40689575,592.382005179
0.0847223840755,605.948112415,4.583,4.58378408176,1021.16065428,101,89.3607498909,4.583,605.948112415,-4.6618,971.905434734,0.0,32.4082,0.0296605,101,0.940514,1091.02798507,38.9374,4.58380389551,38.5757319612,605.948112415
0.0892021830191,613.991216175,4.64083,4.64152731029,1095.59524356,102,73.7647762405,4.64083,613.991216175,-4.72071,907.257276127,0.0,32.5993,0.0373892,102,0.926059,1242.17704884,39.148,4.64156978279,94.0632492396,613.991216175
0.0857068757859,601.647090801,4.70332,4.70396923557,732.262789728,103,70.4907324849,4.70332,601.647090801,-4.78501,-141.863201222,0.0,32.7178,0.0286801,103,0.93313,1271.43599149,39.2714,4.70399508116,399.771631411,601.647090801
