AverageDiscountedReturn,StdEsReturn,MaxEsReturn,MaxReturn,AveragePolicySurr,MinReturn,AverageReturn,Epoch,AverageAction,AverageQ,AverageAbsQYDiff,AverageAbsY,AverageQLoss,PolicyRegParamNorm,AverageEsReturn,AverageY,MinEsReturn,QFunRegParamNorm,AverageAbsQ,Iteration,StdReturn
99.9956828753,13.8957017527,80.0,1000.0,-82.6465,1000.0,1000.0,102,0.66983,75.2863,2.28144583371,75.2916478462,31.551,39.7426,14.4927536232,75.2762971706,3.0,91.0978,75.4366,102,0.0
99.9956828753,7.54109723104,39.0,1000.0,-83.5982,1000.0,1000.0,103,0.620962,76.435,2.23462093393,76.443276086,28.368,39.8014,10.847826087,76.4271259092,3.0,91.5529,76.5795,103,0.0
99.9956828753,12.3263698606,66.0,1000.0,-84.3919,1000.0,1000.0,104,0.634851,76.7792,2.23606567793,76.7908718961,30.5286,39.9376,15.0,76.7731953277,4.0,91.9197,76.9185,104,0.0
99.9956828753,9.73998684547,49.0,1000.0,-85.2162,1000.0,1000.0,105,0.586321,77.8493,2.36348771649,77.8565869178,33.7048,39.9956,12.5875,77.8389168817,3.0,92.4111,78.0113,105,0.0
99.9956828753,12.3791301521,66.0,1000.0,-85.8523,1000.0,1000.0,106,0.599045,78.4348,2.3640981913,78.4473176077,34.8681,40.1105,14.8088235294,78.430739633,3.0,92.911,78.5892,106,0.0
99.9956828753,8.1785844571,47.0,1000.0,-86.6829,1000.0,1000.0,107,0.567485,79.1723,2.31541461637,79.1773166023,31.7555,40.1462,12.0481927711,79.1579273236,2.0,93.5098,79.3199,107,0.0
99.9956828753,12.5834735359,82.0,1000.0,-87.6484,1000.0,1000.0,108,0.494534,80.1219,2.3651169377,80.124354643,33.3637,40.1651,11.7176470588,80.1079736,2.0,94.0785,80.2763,108,0.0
99.9956828753,8.36702338847,65.0,1000.0,-88.3157,1000.0,1000.0,109,0.526246,80.6792,2.35698651582,80.6955537222,33.7229,40.2822,10.1836734694,80.6728435985,3.0,94.6963,80.8403,109,0.0
99.9956828753,10.904693704,55.0,1000.0,-89.0184,1000.0,1000.0,110,0.603031,81.3052,2.43136758247,81.3447054322,36.1527,40.3548,13.0810810811,81.2975323738,3.0,95.1478,81.4966,110,0.0
99.9956828753,10.5666526417,57.0,1000.0,-89.6141,1000.0,1000.0,111,0.518096,81.8872,2.51956142948,81.9210184995,38.699,40.4385,11.1648351648,81.8782440899,3.0,95.607,82.0719,111,0.0
99.9956828753,9.05358398762,41.0,1000.0,-90.3965,1000.0,1000.0,112,0.57792,82.5557,2.43886997041,82.5896954344,36.9728,40.5613,12.6049382716,82.5451816961,3.0,96.1052,82.7392,112,0.0
99.9956828753,18.6817936051,93.0,1000.0,-91.3023,1000.0,1000.0,113,0.401211,83.5268,2.43173432796,83.5492100235,34.1329,40.5876,15.0757575758,83.5159628293,3.0,96.598,83.6881,113,0.0
99.9956828753,7.45659697859,40.0,1000.0,-92.2602,1000.0,1000.0,114,0.442612,84.3151,2.54188072065,84.3338816705,39.4954,40.7407,9.38317757009,84.3100412328,3.0,97.037,84.5114,114,0.0
99.9956828753,7.66380830155,38.0,1000.0,-92.7588,1000.0,1000.0,115,0.535122,84.7273,2.6082626987,84.7368275551,39.9179,40.8934,10.7741935484,84.7157429415,3.0,97.5919,84.9172,115,0.0
99.9956828753,9.57993866961,54.0,1000.0,-93.9452,1000.0,1000.0,116,0.609752,85.5587,2.57556368439,85.5742117962,39.5048,41.0882,11.5647058824,85.5490580187,2.0,98.0803,85.7458,116,0.0
99.9956828753,10.5211533417,43.0,1000.0,-94.725,1000.0,1000.0,117,0.578538,86.5765,2.54659823846,86.6001853048,41.3956,41.163,13.6216216216,86.5680877187,3.0,98.4844,86.7544,117,0.0
99.9956828753,10.1377532719,92.0,1000.0,-95.36,1000.0,1000.0,118,0.52785,87.2071,2.53624380093,87.222835948,39.075,41.2934,9.30841121495,87.2006277455,3.0,98.9123,87.3693,118,0.0
