AverageAction,StdReturn,PolicyRegParamNorm,QFunRegParamNorm,MaxEsReturn,Iteration,AverageEsReturn,MinReturn,AverageAbsQ,AverageQLoss,Epoch,StdEsReturn,AverageAbsY,AverageReturn,AverageQ,AverageDiscountedReturn,AverageAbsQYDiff,AveragePolicySurr,MinEsReturn,MaxReturn,AverageY
0.720125,5.98282596646,41.1025,67.9516,414.214838551,89,261.125873444,371.178163842,167.85,91.8923,89,137.245248188,167.772792649,380.364302158,167.747,184.414119003,4.36519693508,-171.873,26.8731885443,393.423740329,167.759852565
0.705997,4.17670888466,41.2979,68.2692,439.690410215,90,202.790444366,385.101480391,169.382,90.8486,90,146.634328811,169.312673159,393.554621669,169.266,189.12389482,4.38428546263,-173.426,20.40584168,402.355833138,169.295046203
0.706948,3.41435853989,41.4469,68.761,412.944445949,91,164.89431171,385.53542515,171.306,92.4118,91,154.933024996,171.233877282,392.107349626,171.202,189.184228797,4.41493818744,-175.529,11.3623266719,399.968332802,171.215278156
0.688626,12.0245122472,41.618,69.2024,377.700273646,92,247.128827293,387.935926196,172.919,112.542,92,137.419353863,172.838986678,409.494892174,172.797,188.223007115,4.71163741238,-177.148,14.9834715514,431.277271852,172.819813854
0.690909,3.4240049361,41.8047,69.5948,352.520761803,93,209.190678818,365.710298665,175.632,102.381,93,98.075568266,175.560919185,372.552005706,175.523,181.930191867,4.67318947439,-179.889,19.2410125573,382.548579643,175.544930796
0.670595,8.21381973242,41.9859,69.9974,467.541163931,94,231.208113966,436.05837348,176.861,116.192,94,146.978838035,176.77062012,454.01877957,176.74,199.742217294,4.72600126239,-180.972,3.60251285915,472.888122785,176.753225362
0.696862,8.93059181057,42.1477,70.4081,393.487832498,95,310.213508511,362.805735049,179.27,100.533,95,106.48130625,179.191720005,372.699013524,179.154,179.943158925,4.57847362774,-183.44,59.1948738167,408.592457068,179.171228514
0.639009,5.92541965345,42.2997,70.8298,386.782467079,96,187.36902222,368.345580716,180.813,100.891,96,131.889584607,180.718880982,380.325327462,180.668,182.06529923,4.66989579443,-185.036,16.7195592614,395.486672042,180.691676827
0.691466,22.2771901919,42.4978,71.2248,483.970698059,97,240.31057334,524.346422797,182.777,106.864,97,139.330697964,182.687232624,588.050722433,182.638,223.922575104,4.66121212521,-186.993,66.0960313805,625.474801471,182.661517357
0.744151,14.0883684951,42.6666,71.6978,357.769598301,98,244.31628487,503.180305331,184.061,121.066,98,140.848536638,183.980126271,531.541905225,183.938,214.948632861,4.8615520633,-188.362,3.90720504096,566.786294438,183.956783091
0.76107,24.5313583937,42.8011,72.0354,497.398362321,99,216.872134432,362.383288569,186.582,132.026,99,152.885364408,186.484731423,419.051179144,186.437,192.668437792,4.92897703889,-190.844,7.49340171189,459.530262403,186.452224156
0.741365,21.906715971,42.9333,72.4164,417.421040763,100,315.141923696,370.069990476,188.824,106.589,100,94.25476168,188.71895876,393.005388072,188.695,186.675087769,4.70444601572,-193.034,133.410667857,449.194723434,188.700131993
0.737553,13.7923968345,43.1675,72.8403,525.741479046,101,232.126502911,366.48099161,190.382,123.155,101,155.689516922,190.284419686,379.020273453,190.231,182.741333301,5.05916503014,-194.577,39.0095525925,473.263006101,190.258987001
0.740407,25.1794183594,43.3324,73.2448,448.242583921,102,220.614909237,375.256706855,191.654,127.526,102,132.525228048,191.559643649,399.213875018,191.519,187.440171493,5.01324216112,-195.947,8.44636280765,497.728054633,191.53304176
0.734903,13.3910081681,43.4877,73.6917,478.065709849,103,211.760332264,331.04843508,193.738,110.289,103,129.899994905,193.651613408,363.705150368,193.606,178.349314583,4.86140705838,-198.099,6.017315643,388.461992869,193.631485226
