AveragePolicySurr,StdReturn,Iteration,MaxReturn,AverageY,MaxEsReturn,AverageAction,AverageAbsY,Epoch,PolicyRegParamNorm,MinEsReturn,AverageReturn,AverageEsReturn,AverageDiscountedReturn,MinReturn,StdEsReturn,AverageAbsQ,AverageQ,QFunRegParamNorm,AverageAbsQYDiff,AverageQLoss
-8.51307,0.0,113,1000.0,7.82525000554,66.0,0.0698515,7.83062881463,113,42.2599,3.0,1000.0,13.7638888889,99.9956828753,1000.0,11.8350856162,7.84747,7.82511,58.9888,0.206428812354,0.315846
-8.51998,0.0,114,1000.0,7.7997033358,58.0,0.405464,7.80607055835,114,42.4354,3.0,1000.0,14.0416666667,99.9956828753,1000.0,12.1603151229,7.82603,7.79913,59.2567,0.227921926841,0.381147
-8.55776,0.0,115,1000.0,7.88686918982,59.0,0.322564,7.89373417104,115,42.6605,3.0,1000.0,12.6538461538,99.9956828753,1000.0,9.860341341,7.91034,7.88677,59.4706,0.2177815673,0.355609
-8.60861,0.0,116,1000.0,7.89341435859,67.0,0.175906,7.89859411658,116,42.8946,3.0,1000.0,13.2,99.9956828753,1000.0,11.7075474232,7.91689,7.89282,59.7781,0.208591375422,0.338828
-8.61526,0.0,117,1000.0,7.91440862207,77.0,0.337068,7.91947052682,117,43.1487,3.0,1000.0,15.6153846154,99.9956828753,1000.0,14.7102186437,7.93919,7.91413,60.0573,0.218572583694,0.376599
-8.64913,0.0,118,1000.0,7.94750031271,81.0,0.122639,7.95154822937,118,43.3925,3.0,1000.0,11.191011236,99.9956828753,1000.0,11.2588306461,7.96711,7.94748,60.2426,0.200608599822,0.330077
-8.70514,0.0,119,1000.0,7.96202139808,54.0,0.0486604,7.96730758351,119,43.5599,3.0,1000.0,12.45,99.9956828753,1000.0,10.1696853442,7.98298,7.96164,60.6415,0.2137222521,0.367266
-8.76389,0.0,120,1000.0,8.02047393078,48.0,0.0755893,8.02535099513,120,43.94,3.0,1000.0,10.9139784946,99.9956828753,1000.0,9.14948252133,8.04274,8.02061,60.9884,0.20965830826,0.347756
-8.81362,0.0,121,1000.0,8.07142174242,37.0,0.0614653,8.07656459177,121,44.2127,3.0,1000.0,9.10091743119,99.9956828753,1000.0,6.81329643657,8.09606,8.07154,61.2565,0.218657434029,0.350014
-8.89095,0.0,122,1000.0,8.11904176733,47.0,0.0380664,8.12366522943,122,44.3336,3.0,1000.0,9.85294117647,99.9956828753,1000.0,8.20974678841,8.14322,8.11802,61.5414,0.238069075074,0.412375
-8.98543,0.0,123,1000.0,8.20559751542,59.0,0.172174,8.20986134167,123,44.5535,3.0,1000.0,11.4827586207,99.9956828753,1000.0,10.0890996932,8.22754,8.20497,61.7176,0.233455457888,0.41542
-9.09363,0.0,124,1000.0,8.28163640324,47.0,0.0162802,8.2862208876,124,44.698,3.0,1000.0,11.7261904762,99.9956828753,1000.0,10.6439689949,8.30355,8.28152,61.9847,0.223219359362,0.375196
-9.19418,0.0,125,1000.0,8.36913095646,54.0,0.0147571,8.37335753671,125,44.8724,3.0,1000.0,14.5942028986,99.9956828753,1000.0,11.8447919707,8.392,8.36827,62.1848,0.232180804809,0.413852
-9.28073,0.0,126,1000.0,8.46662051061,71.0,0.018887,8.47108112631,126,45.0676,3.0,1000.0,17.9464285714,99.9956828753,1000.0,15.295213587,8.48751,8.46645,62.4373,0.213481091506,0.36237
-9.36292,0.0,127,1000.0,8.53450363689,89.0,0.0166814,8.53849363222,127,45.2154,3.0,1000.0,18.4444444444,99.9956828753,1000.0,16.8969279113,8.5605,8.53356,62.6894,0.240097209806,0.447562
