AverageDiscountedReturn,AverageQLoss,StdEsReturn,AverageAbsQYDiff,AverageAbsY,AverageY,PolicyRegParamNorm,QFunRegParamNorm,MinReturn,AveragePolicySurr,MinEsReturn,StdReturn,MaxReturn,AverageReturn,AverageAbsQ,Epoch,AverageQ,AverageEsReturn,AverageAction,MaxEsReturn,Iteration
119.769571833,11.6602,59.518087576,1.42543585656,76.9361324329,76.9327159656,39.7221,52.9845,185.054065609,-79.2949,39.8841866316,2.90573073549,197.12609437,191.471059869,76.9691,62,76.9282,137.233159655,0.714398,200.754799909,62
121.213424059,14.521,46.6800299288,1.56067993028,77.975260473,77.9679819702,39.9819,53.5391,188.068324324,-80.4527,61.5106772683,2.92787466793,201.594201755,195.581025981,78.0121,63,77.9604,144.115203977,0.732126,192.443500902,63
118.362529835,11.7692,43.7120011941,1.44939036322,79.2851809652,79.2754186641,40.2878,53.9635,179.677460031,-81.7325,78.4893378384,3.73479488712,194.072682828,188.34044829,79.3185,64,79.2703,155.500211645,0.726461,196.603471219,64
120.821670618,13.169,42.1798268342,1.51607794819,80.3283374828,80.3212429362,40.6283,54.4564,186.65131236,-82.7772,43.1136846062,2.60735035519,199.342932064,194.235953518,80.3596,65,80.3148,153.81070175,0.702254,192.986890306,65
117.320701264,14.7151,32.3362077212,1.55348031327,81.5713317167,81.5641028686,40.9528,54.9507,180.091403725,-84.0821,72.2278055599,3.34359441231,195.271882951,187.46181968,81.6086,66,81.561,169.658746266,0.700538,200.513726791,66
108.078986574,14.5768,58.9969132595,1.5629623173,82.6923596184,82.6878890727,41.199,55.4814,129.760505671,-85.119,14.2507803802,21.6111375413,191.113273125,163.777699994,82.7247,67,82.6807,142.287049555,0.724219,199.592578292,67
120.844709288,13.6077,54.52185039,1.55911647157,83.6740465866,83.6686551054,41.4437,55.9794,180.612559977,-86.1295,43.2099423853,4.85837590797,206.932652704,192.734552647,83.713,68,83.6641,131.888813418,0.702106,201.462274075,68
118.908453807,13.934,56.8615112246,1.574559786,85.0322343166,85.0258631888,41.73,56.5498,173.517228562,-87.5814,37.2831457462,7.10028167949,199.209290148,190.468859749,85.0651,69,85.019,169.023745671,0.695859,222.212267682,69
117.117267426,14.2373,82.1443643312,1.57528940224,86.0619501292,86.055897169,41.9844,57.0846,171.548176984,-88.6243,11.0264457714,6.71325597561,199.682128678,185.178944877,86.0973,70,86.0489,133.536836618,0.717299,226.85253066,70
124.069103701,15.8122,49.9733770221,1.6488232525,87.2226230944,87.2179515977,42.1755,57.5906,193.717684471,-89.7449,19.1373067322,3.29635526041,209.790940648,202.248172655,87.264,71,87.2125,177.969816967,0.683495,217.108530497,71
123.324392469,18.2445,63.9179040635,1.71564491671,88.0818794511,88.0766522347,42.4306,58.06,185.487696252,-90.7008,30.1776585033,5.23185014787,206.45850282,201.269428586,88.1175,72,88.0693,159.751519476,0.637013,218.738189368,72
117.922786743,15.4047,67.2068273591,1.61788856955,89.0780272986,89.0732397342,42.6383,58.5136,170.437348041,-91.6632,4.89133272597,6.76301229573,196.956596669,189.197103864,89.1152,73,89.0671,148.413452603,0.622694,208.040723758,73
132.421951981,18.5202,66.779899029,1.72953946197,90.4174080233,90.4129445194,42.8458,58.9819,201.304681728,-93.0457,9.45659438694,5.90233560519,230.346482044,222.959654594,90.4566,74,90.409,170.368314114,0.674259,214.058853172,74
116.463087459,18.0695,83.7087587011,1.72056195685,91.2239752504,91.2186747775,43.0577,59.4402,181.798164734,-93.8119,5.60041013433,1.88330236409,190.668993316,186.102898166,91.2638,75,91.2108,98.6839727814,0.605978,223.318413523,75
120.230194751,19.4659,86.030062185,1.76743727635,92.0670031396,92.0619232143,43.2778,59.9156,190.601407056,-94.7213,10.6929127035,3.69853718489,207.299584331,197.993853696,92.1124,76,92.0582,115.584750914,0.627784,209.806736358,76
122.876999564,20.0847,88.7272322621,1.8058639724,93.0252817094,93.0188343551,43.4943,60.5317,225.353783352,-95.6143,11.5869779012,11.7043412101,273.374036016,247.669173902,93.0574,77,93.0079,106.056988634,0.603488,221.367944456,77
115.546455758,20.8287,75.5124941759,1.85624284722,93.9503672935,93.9476613265,43.7256,61.0921,180.588549042,-96.5937,12.9293142586,19.7358304107,260.380186951,210.004705043,93.987,78,93.9395,98.8521641282,0.590555,224.030840036,78
122.231044186,21.0591,75.282594636,1.83353482596,95.1515220498,95.1474335467,43.967,61.6419,197.809281072,-97.8912,8.15644322488,1.62767512852,207.64513041,203.291247946,95.1944,79,95.1415,123.923870861,0.572953,215.623326842,79
122.450369227,24.4267,76.4499563724,1.90860988822,95.9046868848,95.8990156458,44.1828,62.1397,213.234814402,-98.691,14.1179375712,6.99003121195,241.970648946,225.91698655,95.9378,80,95.8891,146.544948357,0.599508,232.934766133,80
121.67634712,21.9586,69.2725086563,1.89024525084,97.2484639104,97.2420793899,44.3876,62.6072,196.763973064,-100.121,41.2006583915,8.93823439479,228.251462116,211.396444832,97.291,81,97.2392,129.65215103,0.631882,232.205723528,81
116.244210131,25.4224,73.0228836285,1.94293614259,98.2326681068,98.2279981989,44.6286,63.0727,132.18589663,-101.102,11.8354580002,24.9709377304,241.14847124,203.531760134,98.2723,82,98.2179,119.169962622,0.628002,216.304625385,82
