MaxEsReturn,AverageAbsQ,AverageReturn,AverageAbsQYDiff,StdReturn,QFunRegParamNorm,AverageQLoss,AverageY,AverageEsReturn,MaxReturn,PolicyRegParamNorm,Epoch,StdEsReturn,AverageQ,AveragePolicySurr,Iteration,MinEsReturn,AverageAction,AverageAbsY,AverageDiscountedReturn,MinReturn
64.0,63.2417,1000.0,1.80926422604,0.0,100.336,18.8418,63.0728447837,19.4716981132,1000.0,42.3125,89,15.8752254758,63.0751,-69.2074,89,3.0,0.679952,63.1285800106,99.9956828753,1000.0
68.0,63.8692,1000.0,1.80277856025,0.0,100.934,18.5718,63.7021715581,15.8253968254,1000.0,42.4459,90,13.4689998952,63.7052,-69.7785,90,3.0,0.788449,63.7571049578,99.9956828753,1000.0
84.0,64.3991,1000.0,1.85957171276,0.0,101.531,20.5373,64.246965203,16.2950819672,1000.0,42.4961,91,13.2285635594,64.2487,-70.4801,91,3.0,0.733868,64.2872173121,99.9956828753,1000.0
88.0,65.1988,1000.0,1.78654036957,0.0,102.098,18.8938,65.0496346742,16.7166666667,1000.0,42.5723,92,16.1617776113,65.052,-71.3322,92,3.0,0.67727,65.0825105986,99.9956828753,1000.0
62.0,65.866,1000.0,1.75914009636,0.0,102.727,18.5955,65.7190605147,16.4166666667,1000.0,42.6354,93,12.4100653593,65.7182,-71.8933,93,3.0,0.714778,65.7505720279,99.9956828753,1000.0
48.0,66.3624,1000.0,1.80172351142,0.0,103.244,19.5939,66.2112416574,16.1186440678,1000.0,42.8004,94,11.1158533083,66.2165,-72.5158,94,4.0,0.711271,66.2368485213,99.9956828753,1000.0
75.0,66.8348,1000.0,1.78231544023,0.0,103.7,19.1145,66.689855584,17.4918032787,1000.0,42.9507,95,13.578699509,66.6903,-73.0785,95,5.0,0.591573,66.7110748947,99.9956828753,1000.0
113.0,67.7376,1000.0,1.7599725035,0.0,104.121,19.4706,67.5939267811,22.3333333333,1000.0,43.1104,96,22.1530033078,67.5949,-73.8336,96,3.0,0.595483,67.613984826,99.9956828753,1000.0
84.0,68.2194,1000.0,1.87915702903,0.0,104.804,22.3221,68.0767643981,17.3571428571,1000.0,43.2073,97,16.610483535,68.0782,-74.5459,97,3.0,0.431669,68.0945871129,99.9956828753,1000.0
81.0,68.9301,1000.0,1.86325174055,0.0,105.176,21.7767,68.7668724748,12.5308641975,1000.0,43.3733,98,14.0423402254,68.7701,-75.2352,98,3.0,0.395023,68.7846297248,99.9956828753,1000.0
72.0,69.7573,1000.0,1.84872976748,0.0,105.718,20.8101,69.6159348636,14.5,1000.0,43.5221,99,12.4622960777,69.6146,-76.2651,99,3.0,0.432534,69.6303257589,99.9956828753,1000.0
55.0,70.3404,1000.0,1.95286131545,0.0,106.169,24.1172,70.189803063,18.4363636364,1000.0,43.64,100,14.2110886748,70.1935,-76.8642,100,3.0,0.574617,70.2054265319,99.9956828753,1000.0
77.0,71.0077,899.416666667,1.90468182038,195.474831429,106.678,23.4038,70.8640999437,17.5535714286,1000.0,43.7665,101,16.4391949347,70.8654,-77.4903,101,3.0,0.630594,70.8808425659,99.8495934287,460.0
69.0,71.7006,1000.0,1.91822881407,0.0,107.301,22.6398,71.555152161,15.5606060606,1000.0,43.8751,102,11.8323244827,71.5576,-78.169,102,3.0,0.621393,71.5720380292,99.9956828753,1000.0
68.0,72.2817,922.727272727,1.91572323288,244.357819195,107.846,23.3104,72.142458554,18.9230769231,1000.0,43.9694,103,14.4193328474,72.1464,-78.8084,103,3.0,0.613517,72.1587151183,97.9828772753,150.0
47.0,72.6898,1000.0,1.93409106473,0.0,108.252,23.5822,72.5446795896,15.6875,1000.0,44.0755,104,11.4330592472,72.5459,-79.2878,104,3.0,0.584329,72.5623837554,99.9956828753,1000.0
62.0,73.4265,1000.0,1.95050907972,0.0,108.733,24.3527,73.2739602067,17.7368421053,1000.0,44.2413,105,14.2083819045,73.2728,-80.08,105,4.0,0.5842,73.293549885,99.9956828753,1000.0
78.0,74.0783,978.909090909,2.05008194639,66.6953106508,109.311,25.9702,73.9148960892,20.7708333333,1000.0,44.4418,106,16.6986022161,73.9209,-80.8159,106,4.0,0.619923,73.9326216514,99.9920348258,768.0
95.0,74.8015,1000.0,2.01098158173,0.0,109.848,26.162,74.6413893374,20.5510204082,1000.0,44.585,107,17.625423688,74.6454,-81.4612,107,4.0,0.644169,74.6634718237,99.9956828753,1000.0
48.0,75.5867,1000.0,2.07822250447,0.0,110.268,26.5751,75.440567106,19.5882352941,1000.0,44.7675,108,12.6571323311,75.4346,-82.276,108,3.0,0.551373,75.4589224467,99.9956828753,1000.0
51.0,76.0701,1000.0,2.08923042585,0.0,110.66,27.1202,75.9164714741,12.3846153846,1000.0,44.9118,109,11.2286615514,75.9209,-82.9857,109,3.0,0.46301,75.9316361511,99.9956828753,1000.0
57.0,76.8069,1000.0,2.05296278643,0.0,111.184,27.8809,76.6558109386,14.7,1000.0,45.0704,110,13.5302307023,76.6616,-83.8606,110,3.0,0.271571,76.6705666968,99.9956828753,1000.0
50.0,77.5611,1000.0,2.09709068212,0.0,111.667,28.374,77.4146281468,11.043956044,1000.0,45.2809,111,10.6708106409,77.4159,-84.8572,111,2.0,0.304558,77.4305183314,99.9956828753,1000.0
109.0,78.5143,1000.0,2.11025274721,0.0,112.305,28.8809,78.359907149,13.9154929577,1000.0,45.4108,112,16.1129345985,78.3629,-85.675,112,3.0,0.287886,78.3783714695,99.9956828753,1000.0
37.0,79.565,670.533333333,2.18415013874,211.592648476,112.79,29.6963,79.4073485806,10.4432989691,1000.0,45.5784,113,8.84921695198,79.4006,-86.7694,113,3.0,0.22343,79.4289609384,99.3888301195,344.0
55.0,80.3292,1000.0,2.19359735433,0.0,113.375,30.94,80.1631659883,11.5057471264,1000.0,45.6902,114,11.4969996718,80.1686,-87.5535,114,3.0,0.263253,80.1853908045,99.9956828753,1000.0
56.0,80.9964,835.923076923,2.22218193157,210.951493345,113.641,32.3687,80.8390000009,12.3670886076,1000.0,45.8162,115,12.6192310697,80.8393,-88.3655,115,2.0,0.295698,80.8596085648,99.5804229575,302.0
56.0,81.8778,432.625,2.22532112706,122.644069193,114.17,32.124,81.7151819011,11.097826087,683.0,45.9349,116,10.9067786886,81.7161,-89.2321,116,3.0,0.384706,81.7358876618,97.5354817351,203.0
71.0,82.4053,287.257142857,2.24877523495,132.350906491,114.72,32.9622,82.2371453525,11.7529411765,746.0,46.1213,117,11.9152950469,82.2387,-89.9236,117,2.0,0.35883,82.2621381355,89.569096518,100.0
72.0,83.2616,591.647058824,2.29167085418,192.950448127,115.049,33.8096,83.0804513905,13.0526315789,988.0,46.2977,118,13.7265539211,83.0802,-90.8326,118,3.0,0.323682,83.1106552845,99.2213137495,315.0
78.0,83.8672,268.868421053,2.28731592608,66.1935642653,115.402,34.8202,83.7049465031,16.9661016949,458.0,46.4981,119,17.4753735701,83.706,-91.5545,119,3.0,0.48698,83.7268672773,91.9625469355,189.0
82.0,84.9562,115.505747126,2.3490005297,36.8500763621,115.932,34.4342,84.7784390939,11.191011236,219.0,46.6281,120,12.3787389353,84.7852,-92.5308,120,3.0,0.356885,84.7971557998,66.470486336,42.0
55.0,85.5805,134.386666667,2.39464034869,24.0432351308,116.416,36.2135,85.4016697328,12.6625,225.0,46.8715,121,13.0335564506,85.4008,-93.2847,121,3.0,0.385198,85.4264249051,73.411120323,96.0
55.0,86.3127,150.089552239,2.29671166862,34.1212637092,116.875,33.4926,86.1400403336,9.97,230.0,47.1067,122,9.45775343303,86.1412,-94.1813,122,3.0,0.284159,86.1621668209,76.6217549283,54.0
59.0,87.1316,124.209876543,2.46892500735,7.08801117761,117.469,39.2397,86.9531056984,11.9523809524,132.0,47.3503,123,12.2288736797,86.952,-95.0201,123,3.0,0.324379,86.9808614123,71.2165165404,67.0
58.0,88.0511,119.630952381,2.4937280303,13.6406079339,117.979,40.5453,87.8439474921,10.3645833333,140.0,47.4958,124,9.59613614915,87.8487,-96.1702,124,2.0,0.202991,87.8659329685,69.6436427413,78.0
55.0,88.7699,125.3125,2.43930577738,13.7364421795,118.49,41.2599,88.590449659,10.05,151.0,47.6728,125,9.08886681606,88.5884,-97.0083,125,3.0,0.327629,88.6181637926,71.3263243201,86.0
61.0,90.0204,124.666666667,2.5963939006,11.4794502385,119.027,44.309,89.8216240538,10.4947368421,144.0,47.8344,126,10.5140244027,89.8272,-98.2144,126,2.0,0.360551,89.8473063274,71.2242334677,70.0
36.0,90.8656,127.164556962,2.49849612742,14.1630919707,119.472,40.0788,90.6835218317,9.85148514851,167.0,48.0339,127,6.19387455094,90.6887,-99.2819,127,3.0,0.240593,90.7112307018,71.8226334166,74.0
73.0,91.5298,120.19047619,2.60522292414,5.35962905272,120.021,43.122,91.3379618726,9.9504950495,133.0,48.1603,128,10.5101330056,91.3337,-100.129,128,3.0,0.217881,91.366846971,70.0740419609,88.0
