AverageAction,Iteration,PolicyRegParamNorm,MinEsReturn,MaxEsReturn,AverageY,AverageQ,AverageQLoss,StdReturn,Epoch,AverageReturn,AverageAbsQYDiff,MaxReturn,QFunRegParamNorm,AveragePolicySurr,MinReturn,AverageEsReturn,AverageAbsQ,AverageDiscountedReturn,StdEsReturn,AverageAbsY
0.986175,79,31.3557,91.4114902789,99.2162567915,5.10993089733,5.10925,0.0529212,0.115000145841,79,93.1892684713,0.0852393017214,93.3119425951,50.5371,-5.21782,92.8960554419,94.6721302492,5.10926,45.5275333424,1.67793410943,5.10994007045
0.985569,80,31.4318,90.2544189768,99.2990032307,5.2106268155,5.21021,0.0259893,0.0640564278889,80,93.4085140906,0.0671963026963,93.5199311374,50.815,-5.31753,93.249190098,93.7315922757,5.21021,46.7590309057,2.25228945012,5.21062882113
0.988314,81,31.5352,92.7583038198,95.2746380587,5.33283613211,5.33231,0.0380565,0.0712504855419,81,93.2727397748,0.075316603978,93.4013069502,51.182,-5.44141,93.0434624048,94.2066206989,5.33231,46.0708858111,0.706309373801,5.33283906165
0.989351,82,31.5828,90.821630731,95.7048675752,5.44458460001,5.44398,0.0323912,0.0542608017288,82,93.2421296877,0.0755795994803,93.3022155055,51.47,-5.55474,93.1524552252,93.9270794575,5.44398,45.930799052,1.48744964321,5.44458766148
0.990791,83,31.6516,90.9829070026,98.1287443008,5.54647161599,5.54597,0.0401174,0.0375732535566,83,93.3470719767,0.0811974826283,93.4057521388,51.7642,-5.65791,93.2591898593,93.9369114711,5.54597,46.5783309225,1.68141205554,5.54647578484
0.976866,84,31.6792,89.748704743,98.3606569123,5.64489429851,5.64439,0.0320258,0.122736038445,84,93.5488258064,0.0762668927732,93.726699197,52.0528,-5.75695,93.2845574659,93.7606553162,5.64439,47.2869285812,2.15528365216,5.6448981391
0.983438,85,31.785,90.6439185852,97.7181321637,5.74801569472,5.74739,0.0369115,0.106301382016,85,93.447436889,0.0753117134636,93.6770382953,52.3393,-5.85839,93.2507940271,93.6720319515,5.74739,46.9142652864,2.01009577284,5.74801965431
0.98266,86,31.8668,89.9943627502,95.0971277117,5.83722607146,5.83676,0.0336375,0.103756712401,86,93.4950480755,0.0726421818864,93.654670708,52.6119,-5.94828,93.2781866267,93.4066229995,5.83676,47.1657315386,1.67749301256,5.83722738358
0.97999,87,31.9524,88.5648992428,95.1274723708,5.94561316188,5.94507,0.0320854,0.0919849607847,87,93.5397999295,0.073432176898,93.650928919,52.8517,-6.05404,93.4053567756,93.6169378549,5.94507,47.3392849996,1.74911230848,5.94561483182
0.988131,88,32.0266,90.4273523942,97.7161747639,6.06517991359,6.06443,0.0232735,0.0977053639211,88,93.4266384916,0.0705554304881,93.6264996596,53.1102,-6.17347,93.2572557097,93.7007941457,6.06443,46.9501194736,1.73632419642,6.06518136644
0.982211,89,32.1531,89.0128741942,96.2430841793,6.12924264109,6.12861,0.0392138,0.0934852599288,89,93.511594232,0.0770670904205,93.6306799678,53.3629,-6.23303,93.305342733,93.5695520015,6.12861,47.2477694783,2.01371082193,6.12924667815
0.977975,90,32.2318,91.9688656531,97.6656869846,6.23190204833,6.2314,0.0289256,0.0990333128454,90,93.5434359534,0.0722458749954,93.6355057179,53.6399,-6.33311,93.257294081,94.2834473117,6.2314,47.2937315044,1.2164838926,6.23190432387
0.979929,91,32.2534,90.8465991938,98.4002517062,6.30008231262,6.29934,0.0491452,0.097233394703,91,93.5157092236,0.083162953567,93.6307489071,53.879,-6.39807,93.2923797632,93.5209339956,6.29934,47.1961476658,2.15474600656,6.30008610875
0.981711,92,32.3383,89.2332563402,95.6982553078,6.36948230957,6.36877,0.0276118,0.094381707293,92,93.5039137456,0.0694600091862,93.6163303685,54.0838,-6.45873,93.2964913273,93.0843714824,6.36877,47.186522414,2.13500848871,6.36948439446
0.985488,93,32.4066,90.5888201599,98.3699094636,6.44139756035,6.44079,0.0329007,0.0895548998363,93,93.5029099116,0.0715547859361,93.6009880974,54.3105,-6.52421,93.3219125787,93.9139874041,6.44079,47.3064754432,1.96821488683,6.44139919126
0.9833,94,32.4653,89.9489748572,94.558373318,6.49283613643,6.49185,0.0394393,0.128104255227,94,93.4796166566,0.0771087796385,93.6065017604,54.5787,-6.56691,93.2414605068,91.9190096645,6.49185,47.0988288713,1.66879460775,6.49284054897
0.990118,95,32.529,90.3774339064,99.2050386887,6.53811039735,6.53743,0.028594,0.142684032508,95,93.3569686775,0.0724677134825,93.5149985669,54.7292,-6.60675,93.1066697402,94.3884263434,6.53743,46.6150370868,2.24369382164,6.53811202756
0.985876,96,32.5787,91.1177816436,94.9967791888,6.57521897475,6.57441,0.0297822,0.0946707172753,96,93.4990546735,0.0648556096848,93.6096299684,54.8745,-6.63894,93.2513556348,93.7702006426,6.57441,47.2965394814,1.24075790891,6.57522196001
0.984976,97,32.6363,91.1390276474,95.396536121,6.59553919277,6.59461,0.0419402,0.105154530469,97,93.4939746107,0.0750112144898,93.6042702256,54.954,-6.6498,93.2207149355,94.044826428,6.59461,47.2372939309,1.21670446823,6.59554397123
0.985137,98,32.6942,90.0230840183,99.3637248279,6.61119265555,6.61051,0.0291733,0.0993051895414,98,93.4543828176,0.0668202547144,93.5934345273,55.076,-6.66042,93.2853621384,94.1418463829,6.61051,47.0119807857,1.99271508697,6.61119595692
0.993065,99,32.7368,89.9401693233,95.747094725,6.64561707889,6.64515,0.0263548,0.119719814755,99,93.3663234769,0.0636326006015,93.5899656426,55.143,-6.69014,93.2040559871,93.0512469303,6.64515,46.7658460491,1.98804389735,6.64561935196
