AverageQLoss,AverageReturn,AverageAbsQ,AveragePolicySurr,MaxEsReturn,QFunRegParamNorm,StdReturn,MaxReturn,AverageY,Epoch,AverageAction,AverageAbsQYDiff,Iteration,AverageAbsY,MinEsReturn,AverageDiscountedReturn,MinReturn,PolicyRegParamNorm,StdEsReturn,AverageEsReturn,AverageQ
32.057,408.034594338,87.8517,-92.3935,394.478633721,51.8872,344.731309717,1043.62096479,87.770370382,89,0.837564,3.1701721263,89,87.851962366,-2.07443167894,85.3591282872,114.246657041,37.5181,110.835092079,167.00425211,87.7497
31.8174,203.984806146,89.3274,-93.9528,352.051824428,52.2121,40.5363965174,314.072753419,89.2366876282,90,0.856322,3.19672912655,90,89.3203206417,14.6717043228,110.804561537,126.889067847,37.7065,127.890184837,184.120655459,89.2178
31.8862,225.533299692,91.0092,-95.5689,245.082102424,52.4937,45.9336469699,349.865859835,90.9275890742,91,0.848147,3.22986160699,91,91.0071093204,-49.7057961681,106.230432011,140.44218832,37.9028,107.886589814,67.1572448369,90.9094
32.3916,247.345816764,92.5041,-97.1881,294.175242029,52.7998,46.1628394686,386.103973346,92.4244408552,92,0.848108,3.23735109061,92,92.5031664357,9.36436989711,114.91100886,165.311796407,38.0612,94.3243251242,155.187175705,92.404
35.0945,182.160905341,93.9059,-98.7555,296.367119449,53.149,55.4519819442,332.329521128,93.833821385,93,0.857535,3.34119330859,93,93.9074969102,-0.421710282014,89.5189081401,110.599554176,38.2267,109.049869442,139.339783946,93.8112
35.7969,161.136200996,95.5622,-100.385,508.143681244,53.4057,32.4762065593,296.258912263,95.4816726462,94,0.866157,3.36464092523,94,95.5579432283,-1.18022797857,82.1173552701,105.120272288,38.4703,160.659328704,195.878218722,95.4578
33.9481,226.35091296,96.9539,-101.652,345.702449517,53.7097,62.7296490102,391.196629548,96.8558789141,95,0.809746,3.35182144173,95,96.9375631305,-1.6371056494,85.0975221124,118.820366833,38.6938,121.150813574,190.69712861,96.8418
39.25,208.032371138,98.6812,-103.51,272.541366222,54.0321,97.3193585701,548.616546378,98.6105788507,96,0.83607,3.45520505267,96,98.6799512454,3.58405325367,93.6096787189,85.920500042,38.8887,96.5122549233,124.748160301,98.5878
38.2963,261.021221296,99.6777,-104.484,269.040083538,54.3272,90.3422184565,543.293985263,99.595871908,97,0.817743,3.47290087078,97,99.6745925632,3.08231725024,90.5010349164,130.003175163,39.0747,96.4697316604,132.611957223,99.5769
38.9745,148.314704026,101.108,-105.876,333.711988271,54.6163,46.6522703352,305.137335774,101.022910457,98,0.844127,3.48703776319,98,101.1044091,2.9680693969,75.4492714714,82.515400629,39.2536,108.871294176,93.339640513,100.999
40.2197,287.954771038,102.363,-107.106,220.063297936,54.9021,284.938643249,1190.43224951,102.275763097,99,0.843292,3.58122370563,99,102.351768942,43.5834912101,82.7176187979,-16.5360650332,39.4578,56.7397626153,118.559185671,102.259
36.5245,519.753235653,103.43,-108.282,329.023753446,55.1724,356.969993344,969.026045858,103.351539792,100,0.71229,3.49554674157,100,103.428819744,10.9284605753,80.0995867342,143.238215403,39.6575,105.512355242,123.374965555,103.33
39.4722,165.447485191,105.139,-109.95,244.622315912,55.4238,49.2971933566,339.204530135,105.055864954,101,0.862035,3.56200413112,101,105.130992578,-3.4259708399,101.100482832,53.5984386876,39.8346,95.7465852979,126.364530095,105.037
39.1892,199.001855647,106.286,-111.164,254.954284912,55.6427,62.637356695,387.857085741,106.209598307,102,0.828362,3.56868856934,102,106.280811974,-3.00029884505,111.341666383,82.0506876478,40.0168,94.2548033019,149.706093712,106.188
42.8516,141.730576162,107.342,-112.259,206.167175813,55.9091,95.0656730353,369.486896725,107.271289551,103,0.828106,3.62703888345,103,107.344768778,-8.98152296391,63.4201607776,-122.651511707,40.2145,68.3987762927,84.9830010858,107.247
43.8698,117.416128138,108.492,-113.348,248.031130876,56.1693,94.6911580168,368.191856345,108.400701282,104,0.822841,3.68816732172,104,108.473396518,-3.47788326746,46.2548120569,-231.211642563,40.3976,86.5106532492,103.06955947,108.385
40.8852,170.950779938,109.862,-114.724,191.69473451,56.4317,64.5327005135,411.175669989,109.784954542,105,0.810168,3.62993710468,105,109.855641385,-247.232959742,93.3544505563,89.5554282371,40.6075,113.081413435,41.1772566122,109.761
47.5045,191.833718302,110.958,-115.878,314.720388114,56.7128,40.715919974,363.272531239,110.878320581,106,0.853349,3.78772106111,106,110.949259665,-10.0661887121,97.6245820016,124.99490479,40.7776,118.252531657,126.211171698,110.855
45.973,180.014543025,112.155,-116.935,303.237160565,56.9844,79.5944476309,363.236895488,112.074504698,107,0.819695,3.78872497593,107,112.150478929,-2.77794569333,88.9085564546,-37.9030855898,40.9309,93.5193199038,70.1611092533,112.052
47.019,175.94908705,112.961,-117.785,315.36211303,57.2677,142.10298574,502.640530431,112.871816619,108,0.836561,3.83624409734,108,112.94758877,-0.682592344502,70.6167468125,-202.724436954,41.0747,114.391795751,135.481547009,112.85
45.7705,234.06890151,113.688,-118.739,319.268620042,57.5088,76.0287058407,409.205898259,113.598016526,109,0.841427,3.84717284143,109,113.665923387,-4.05263671356,105.409024041,6.50622712267,41.2344,99.7409044636,88.0664208211,113.577
46.0529,255.414151443,115.133,-120.021,385.876509509,57.766,43.2260527087,363.951415328,115.057461332,110,0.877489,3.85000522026,110,115.130699811,-4.19580266853,122.992985024,171.639856019,41.4128,124.071506509,122.956299805,115.029
46.37,234.934144671,116.194,-121.144,315.849967214,58.047,72.1249268953,410.009939061,116.107805078,111,0.841741,3.79879452847,111,116.180809295,-4.75703239593,106.961849136,42.7888388901,41.5984,109.120082842,157.956571135,116.09
44.1589,272.588362107,117.378,-122.331,325.141297231,58.2573,56.0884479556,419.995841675,117.295064985,112,0.871757,3.8121471261,112,117.368076714,-5.12527305583,130.164280899,72.7749362971,41.7783,108.180720538,142.037295254,117.269
50.9613,262.9696457,118.32,-123.26,476.77163483,58.5108,60.463495292,493.248044318,118.231068755,113,0.872953,3.9168140365,113,118.304511308,-40.6737990802,120.136993223,4.32534085474,41.9339,157.607589044,76.9741289177,118.214
47.9478,278.076591416,119.403,-124.356,374.828251341,58.7791,63.2949297906,452.108325372,119.304935383,114,0.887591,3.93160471298,114,119.383325736,-38.0503592397,125.16220882,142.434149509,42.1209,145.502887784,164.22848787,119.278
50.9803,240.813670144,120.552,-125.598,444.05442136,59.0032,72.418811855,558.520911208,120.468826058,115,0.886952,3.95942439256,115,120.542772608,9.8318489758,120.865022774,72.8325527334,42.2701,136.163567072,199.348093841,120.445
48.9453,249.560942693,121.655,-126.579,328.244397089,59.2842,72.3159977856,525.32697715,121.555460313,116,0.887355,3.94886964601,116,121.632145265,1.74531759832,125.265144832,154.986093478,42.4122,122.867987196,143.763132479,121.538
