AverageAbsQ,StdEsReturn,AverageQ,AverageAbsQYDiff,AverageAbsY,PolicyRegParamNorm,AverageAction,AverageReturn,StdReturn,MinEsReturn,AverageDiscountedReturn,Iteration,AverageEsReturn,MaxReturn,AverageY,Epoch,AverageQLoss,QFunRegParamNorm,MinReturn,MaxEsReturn,AveragePolicySurr
0.838965,0.0,0.838956,0.0149322820787,0.838956786941,34.3031,0.979659,1383.32204311,1059.3664135,1610.55898872,177.830093066,105,1610.55898872,2600.76353333,0.838948456285,105,0.00124164,29.2225,-417.238943106,1610.55898872,-0.848692
0.84416,0.0,0.84416,0.0147688367182,0.844215035919,34.4244,0.972722,1858.81968007,1138.82396928,477.553155252,183.431597934,106,477.553155252,2778.03822913,0.844207992316,106,0.00108803,29.3803,-326.010117409,477.553155252,-0.854536
0.850845,0.0,0.850845,0.0143692355062,0.850825246135,34.4602,0.968027,898.652795174,918.811021142,1734.36045461,190.837636962,107,1734.36045461,2647.561134,0.850818541785,107,0.00101467,29.4947,-251.635904019,1734.36045461,-0.861798
0.85483,0.0,0.854826,0.0148574806184,0.854822072781,34.6526,0.978878,-40.3725612838,359.690340964,996.695437419,107.461843254,108,996.695437419,671.877262903,0.854813262043,108,0.00126233,29.5983,-428.451132377,996.695437419,-0.866194
0.855361,0.0,0.855361,0.0145067002363,0.8554092055,34.7705,0.99587,-149.865848703,221.956367784,168.894513975,127.38860344,109,168.894513975,258.206553641,0.855404708426,109,0.00101417,29.7625,-398.678987265,168.894513975,-0.867432
0.860771,0.0,0.860771,0.0149052875389,0.860775897064,34.9504,0.924779,1880.76963138,700.327596593,1401.29722989,174.33752676,110,1401.29722989,2242.49531431,0.860768946586,110,0.00101414,29.8578,-209.914228312,1401.29722989,-0.872863
0.861309,0.0,0.861309,0.0157477501791,0.861327230149,35.1134,0.906173,2393.52726434,92.8991930214,-22.9868880149,202.205897097,111,-22.9868880149,2551.1175028,0.861319074548,111,0.00150118,29.9631,2184.15585915,-22.9868880149,-0.873444
0.867885,0.0,0.867885,0.0153954666966,0.867906721464,35.1617,0.966608,1624.56170738,1057.04714748,1012.70678874,197.675259673,112,1012.70678874,2740.26165382,0.867899440815,112,0.00118735,30.062,-367.580857806,1012.70678874,-0.88149
0.872832,0.0,0.872832,0.0159463230529,0.872864210248,35.2912,0.963141,1049.30991571,1223.88282089,1697.39698515,187.485487216,113,1697.39698515,2956.52886283,0.872854835551,113,0.00138322,30.1946,-548.433952112,1697.39698515,-0.885485
0.885625,0.0,0.885625,0.0163768749651,0.885635823566,35.5046,0.988741,529.13672159,944.658423462,1619.73080752,147.533389707,114,1619.73080752,2691.81913672,0.885629023904,114,0.00148086,30.3262,-432.354939361,1619.73080752,-0.89954
0.892092,0.0,0.892092,0.017117824264,0.892155518352,35.726,0.943271,2442.9123748,283.299873397,1573.51788539,210.9288927,115,1573.51788539,2603.37247525,0.892145947658,115,0.00170383,30.4824,1605.24829405,1573.51788539,-0.904893
0.900781,0.0,0.900781,0.0163292963218,0.900817303415,35.8572,0.926037,1859.87537686,1096.7278204,501.700827562,192.189513717,116,501.700827562,2611.28406276,0.900809941771,116,0.0011761,30.6546,-341.529613218,501.700827562,-0.913856
