PolicyRegParamNorm,AverageReturn,QFunRegParamNorm,AverageAbsQYDiff,AverageAction,MinReturn,AverageAbsQ,AverageEsReturn,AverageY,AveragePolicySurr,MinEsReturn,StdReturn,MaxEsReturn,AverageDiscountedReturn,MaxReturn,Epoch,Iteration,AverageQ,AverageQLoss,AverageAbsY,StdEsReturn
42.4552,3528.17402753,52.0705,1.91594858184,0.943837,686.10523296,110.113,2691.52609473,110.125549643,-111.981,2691.52609473,1148.1977069,2691.52609473,328.129767962,4198.35637263,92,92,110.113,17.5229,110.125918718,0.0
42.6698,3670.48273302,52.5089,1.95342658219,0.939763,2460.19291587,112.247,2703.81726535,112.260620577,-114.158,2703.81726535,703.003814977,2703.81726535,350.193764647,4357.82227631,93,93,112.247,18.2749,112.260962409,0.0
42.9051,3990.04417377,52.9445,1.98010964205,0.940402,2148.09024624,115.737,2808.25970944,115.750911895,-117.646,2808.25970944,844.587323305,2808.25970944,362.774764239,4602.53689945,94,94,115.737,20.993,115.751317605,0.0
43.1031,3778.8205032,53.4526,2.00881248313,0.966076,2632.45297889,117.749,2902.91115259,117.762738917,-119.719,2902.91115259,415.416500255,2902.91115259,314.798672976,4179.30143665,95,95,117.749,19.6776,117.763155207,0.0
43.2842,3193.31716682,53.8296,2.0381503021,0.927797,1398.1455391,120.093,2896.4305692,120.104583561,-122.056,2896.4305692,1108.59967354,2896.4305692,342.523925421,4380.5659779,96,96,120.093,22.2025,120.104956061,0.0
43.49,3698.35270317,54.2284,2.06012521711,0.949059,2354.90455457,122.817,2806.85434245,122.835841367,-124.824,2806.85434245,580.037861118,2806.85434245,342.209570912,4236.52053146,97,97,122.817,22.1391,122.836217007,0.0
43.695,4104.81331114,54.5612,2.04171823665,0.957237,2815.48809997,125.589,2671.55847158,125.603007383,-127.637,2671.55847158,435.265860375,2671.55847158,349.223476718,4357.10678933,98,98,125.589,21.3274,125.603230702,0.0
43.8539,3793.97579319,54.9384,2.0994599686,0.943825,2275.85877312,128.485,2988.85007942,128.500761076,-130.565,2988.85007942,687.72851981,2988.85007942,344.069108432,4356.77924642,99,99,128.485,24.6087,128.501060247,0.0
44.0728,4361.7941258,55.3698,2.11008152607,0.96105,4199.09477947,130.724,3085.01106523,130.738303364,-132.79,3085.01106523,94.9428805207,3085.01106523,347.466001173,4527.25428784,100,100,130.724,22.5736,130.738792907,0.0
44.3077,3456.72744178,55.6784,2.09170005794,0.936938,858.61777228,132.732,3041.96817381,132.741504476,-134.788,3041.96817381,1029.84729293,3041.96817381,313.897703368,4023.36408878,101,101,132.732,23.6628,132.741750829,0.0
44.5362,3620.23107909,55.939,2.10443828135,0.95122,2109.89811687,135.8,2654.64430358,135.816646193,-137.862,2654.64430358,764.897871044,2654.64430358,327.692986382,4252.33806773,102,102,135.8,22.5374,135.817017341,0.0
44.6874,4156.16983898,56.33,2.1293694445,0.96549,2944.41192249,138.208,2987.85639164,138.222773191,-140.352,2987.85639164,428.33703132,2987.85639164,360.991154838,4475.18075077,103,103,138.208,21.9483,138.222991756,0.0
44.8981,3786.83745364,56.7471,2.1428174397,0.943155,929.052552413,140.912,2871.13140918,140.92577186,-143.058,2871.13140918,956.183871001,2871.13140918,306.515703605,4199.95015107,104,104,140.912,25.0172,140.925937152,0.0
45.12,4226.45876059,57.0532,2.19576433417,0.965733,2296.11414828,143.379,2935.65470126,143.394622208,-145.538,2935.65470126,656.214084285,2935.65470126,350.930140129,4628.74934644,105,105,143.379,26.2509,143.394803536,0.0
45.2766,4161.01468024,57.4356,2.21557877439,0.961823,4040.94818327,146.009,2665.66195394,146.020007006,-148.2,2665.66195394,69.5148483529,2665.66195394,344.009675984,4238.87902729,106,106,146.009,27.2616,146.020287627,0.0
45.4414,4012.5154526,57.8482,2.26448644989,0.948123,2510.76229304,148.37,2801.19001826,148.389787571,-150.617,2801.19001826,505.517419439,2801.19001826,344.751332262,4344.61777042,107,107,148.37,29.3348,148.390115153,0.0
45.6733,4134.26321135,58.2154,2.34075551655,0.951448,3744.53963233,151.131,2654.10977146,151.14243989,-153.288,2654.10977146,239.113713548,2654.10977146,357.637224676,4528.9370281,108,108,151.131,35.6138,151.142748284,0.0
45.9465,4463.20374721,58.581,2.27210226455,0.96822,4229.97009953,153.556,2624.31961156,153.579409,-155.83,2624.31961156,140.229362958,2624.31961156,359.297244781,4646.58335219,109,109,153.556,25.5129,153.57963493,0.0
46.1609,4791.70249792,58.9288,2.32451830525,0.962355,4499.15814276,156.436,2780.36265912,156.44910906,-158.689,2780.36265912,114.562063523,2780.36265912,370.033045959,4921.01208415,110,110,156.436,30.5113,156.449403672,0.0
46.3809,4182.12422511,59.283,2.33077426686,0.945139,3919.27000293,158.762,2774.62465701,158.779473837,-161.032,2774.62465701,128.298545269,2774.62465701,358.633198091,4343.47344379,111,111,158.762,34.158,158.779779072,0.0
46.5958,4489.29055398,59.5733,2.24492480295,0.958635,4109.89854705,161.278,2985.76619261,161.291940758,-163.457,2985.76619261,176.472245605,2985.76619261,380.709611738,4738.72543898,112,112,161.278,29.7666,161.292202376,0.0
46.8173,4183.11059996,60.0021,2.44258082997,0.956911,3760.87407091,163.636,2993.59548449,163.662464303,-165.862,2993.59548449,217.882461741,2993.59548449,344.494059978,4464.62860769,113,113,163.636,42.2836,163.662737422,0.0
46.9851,4647.46126246,60.385,2.37746048962,0.96839,4412.83763279,166.056,2868.56706226,166.069175625,-168.293,2868.56706226,139.960343428,2868.56706226,365.917193785,4920.83799268,114,114,166.056,37.4344,166.069375901,0.0
47.192,4628.65633896,60.7365,2.42319965993,0.966963,4376.62738942,168.748,2886.68042726,168.766351699,-170.953,2886.68042726,121.655012162,2886.68042726,368.561318923,4775.50026736,115,115,168.748,41.5523,168.76658881,0.0
47.3822,3166.74217271,60.9713,2.25368429571,0.936224,1303.02629172,171.718,2889.68619181,171.733408447,-173.952,2889.68619181,1145.66735536,2889.68619181,339.297238152,4269.26078978,116,116,171.718,31.5139,171.733718904,0.0
47.6296,4593.17540646,61.4322,2.48432833623,0.952984,4489.57531378,173.617,2931.39246669,173.631819315,-175.874,2931.39246669,54.9289706459,2931.39246669,379.80394142,4689.569867,117,117,173.617,44.5632,173.632182979,0.0
47.8343,4397.53289673,61.8343,2.3314112842,0.953494,4290.00364501,176.131,3081.85299382,176.150857208,-178.466,3081.85299382,83.5931531804,3081.85299382,369.297172864,4550.43706957,118,118,176.131,35.9388,176.151098653,0.0
48.0623,3633.40300161,62.2646,2.47211997495,0.961946,2875.51092247,178.943,3009.2507048,178.964122797,-181.353,3009.2507048,289.75135055,3009.2507048,289.374209267,3887.72465498,119,119,178.943,48.4676,178.964272669,0.0
48.2437,4631.32034666,62.6159,2.48703741667,0.963052,4541.64091791,181.187,2958.82036182,181.205718075,-183.576,2958.82036182,51.0809571182,2958.82036182,367.541512414,4714.22670188,120,120,181.187,43.2616,181.20601825,0.0
48.507,4296.87088761,63.0149,2.46174097205,0.963397,3627.32088883,183.867,2887.0637553,183.885511114,-186.221,2887.0637553,236.04190377,2887.0637553,314.128689187,4576.84952061,121,121,183.867,43.4917,183.885746695,0.0
