MaxReturn,AverageAbsQYDiff,MaxEsReturn,AverageDiscountedReturn,Epoch,AveragePolicySurr,MinEsReturn,StdReturn,AverageReturn,MinReturn,QFunRegParamNorm,AverageAction,AverageY,AverageAbsQ,Iteration,AverageQ,AverageAbsY,StdEsReturn,PolicyRegParamNorm,AverageQLoss,AverageEsReturn
-5.91494531848,0.298061032292,-26.5980657397,-9.57092184704,80,4.45472,-54.4957384842,4.12432986476,-11.8821734635,-21.3465782682,44.2785,0.0383839,-5.04568828798,5.04378,80,-5.04378,5.04569422925,7.572696167,36.344,0.344257,-38.1763524972
-5.642902758,0.283105461966,-20.1444154218,-8.98362878096,81,4.451,-55.0648782608,3.76923872056,-11.0775585608,-20.7293115178,44.5418,0.0327859,-5.03429084888,5.03327,81,-5.03327,5.03430843655,8.51721863156,36.4885,0.301239,-40.1467066429
-4.42256639504,0.305313240907,-21.8899525383,-8.64894678172,82,4.51762,-49.5658756601,3.59060021447,-10.6391350548,-20.2015644432,44.8339,0.0338081,-5.0907149032,5.08858,82,-5.08857,5.09073247245,6.5399862214,36.5938,0.359957,-37.5421839952
-6.54175918505,0.29362005189,-28.2302518273,-9.7645061313,83,4.52657,-54.0724615574,3.58906848564,-12.0921985447,-21.0692490907,45.1137,0.0395096,-5.10387924556,5.10285,83,-5.10285,5.10388129176,7.63488906581,36.7197,0.331021,-38.9671146864
-4.64332419421,0.305873412925,-23.5699937094,-8.17671538665,84,4.49211,-60.448632281,3.12304400393,-10.048933822,-19.4291039034,45.3915,0.024094,-5.08401426833,5.08275,84,-5.08275,5.08401426833,9.05458517129,36.8643,0.365492,-38.2506007432
-5.07946528843,0.307759417803,-28.5052360827,-9.48240698933,85,4.5503,-49.8328909553,3.46131118051,-11.7503767137,-20.4655941037,45.6771,0.0389054,-5.13582551277,5.13442,85,-5.13439,5.13582590661,6.05401628571,37.0027,0.364664,-37.3196512686
-2.5229170602,0.296566490005,-23.0969365402,-8.18371946051,86,4.54242,-43.9203932502,3.59670144172,-10.0925339562,-18.2906434751,46.0011,0.027387,-5.11871821385,5.11663,86,-5.11663,5.11871821385,5.65038191892,37.0901,0.34229,-34.6569461404
-3.48154121249,0.302514120407,-24.0665421362,-8.20867217992,87,4.55486,-56.6605190667,3.37363350717,-10.0343209402,-18.3035818786,46.2748,0.0220208,-5.1296487888,5.12781,87,-5.12781,5.1296487888,8.59901640627,37.2127,0.354257,-34.9248877757
-2.38011396137,0.301056044191,-21.6462627334,-8.12796126298,88,4.57529,-60.917170939,3.4579057096,-9.93694428502,-18.7578619673,46.5617,0.0224111,-5.15373184336,5.15161,88,-5.15159,5.15373184336,9.64213979312,37.3725,0.355775,-40.8061405162
-3.83076230084,0.310959298272,-27.9997459621,-8.23422022517,89,4.58277,-54.9046196424,3.30153342326,-10.1162506639,-19.8321004758,46.8389,0.0268958,-5.16314078734,5.16185,89,-5.16185,5.16314078734,6.73586071214,37.4877,0.379418,-40.4756428278
-1.29617387717,0.30100329516,-21.0220729253,-7.94049932744,90,4.60762,-57.1499809837,3.47806641869,-9.80875592591,-18.0821865919,47.1396,0.0236774,-5.17784829556,5.176,90,-5.17599,5.17790195888,8.34573269696,37.6709,0.365028,-38.7424218005
