MaxEsReturn,StdEsReturn,MaxReturn,MinReturn,AveragePolicySurr,AverageDiscountedReturn,AverageQLoss,AverageAbsQYDiff,AverageY,AverageAbsY,QFunRegParamNorm,AverageAbsQ,Epoch,AverageAction,AverageEsReturn,AverageReturn,PolicyRegParamNorm,StdReturn,Iteration,AverageQ,MinEsReturn
1612.16126207,0.0,2717.23852926,670.703776907,-4.70589,215.341175136,0.0348415,0.109756688121,4.60118884351,4.601256684,35.8585,4.60045,88,0.946777,1612.16126207,2138.1713806,37.8152,739.784364714,88,4.60045,1612.16126207
1679.61115941,0.0,2742.65737105,2153.70844653,-4.80937,209.996636533,0.0544314,0.121487711288,4.70171647454,4.70177578908,36.1842,4.70062,89,0.98257,1679.61115941,2602.44297702,37.9905,162.542916132,89,4.70062,1679.61115941
1275.68647055,0.0,3158.64779856,-160.412208269,-4.95468,155.332255076,0.0576299,0.122151027034,4.84559385304,4.84562142737,36.3873,4.84425,90,0.885834,1275.68647055,937.291138317,38.2458,836.711703208,90,4.84425,1275.68647055
1760.15275151,0.0,3084.59772272,2782.44539303,-5.09398,226.001971265,0.0412054,0.115307255032,4.97805376942,4.9781131812,36.6606,4.97736,91,0.989427,1760.15275151,2950.45052634,38.4588,89.6761905522,91,4.97736,1760.15275151
2010.32826113,0.0,2842.17937323,645.474045182,-5.2378,192.303200655,0.0662209,0.126609979778,5.12570082373,5.12575837653,36.968,5.12494,92,0.926967,2010.32826113,1751.86524363,38.7097,818.310126697,92,5.12494,2010.32826113
1781.88367776,0.0,3112.01558081,867.447189679,-5.39752,215.806791278,0.0592601,0.125423206184,5.28488140031,5.28493556468,37.2391,5.28394,93,0.951809,1781.88367776,2589.95112552,38.9027,764.1490941,93,5.28394,1781.88367776
2013.82861421,0.0,2919.42503391,2322.06422791,-5.51616,222.827067365,0.0626821,0.127691392229,5.40269540006,5.40272162604,37.4927,5.4009,94,0.979997,2013.82861421,2774.57984653,39.1746,166.25381667,94,5.4009,2013.82861421
1974.45967697,0.0,2477.82052604,665.558209701,-5.70648,197.79050584,0.0713476,0.1327256472,5.59536796012,5.59540656656,37.7084,5.59427,95,0.935448,1974.45967697,1611.61635983,39.4768,648.231171648,95,5.59427,1974.45967697
1908.25726442,0.0,2474.29317931,2209.42203109,-5.81054,197.541493642,0.0644732,0.134443359469,5.70110225688,5.70115711389,38.0143,5.70006,96,0.97768,1908.25726442,2371.70570829,39.5715,86.5068007406,96,5.70006,1908.25726442
1670.62294921,0.0,3013.08556652,913.780524424,-5.98829,215.203961553,0.0532749,0.133442823238,5.88235644387,5.88239320946,38.2464,5.88153,97,0.95292,1670.62294921,2135.32147217,39.8229,887.661484616,97,5.88153,1670.62294921
