MaxEsReturn,Epoch,StdEsReturn,AverageReturn,QFunRegParamNorm,Iteration,AverageQLoss,AverageAction,AverageAbsQ,AverageAbsY,MinReturn,AverageQ,AverageAbsQYDiff,AverageY,AverageDiscountedReturn,MinEsReturn,AverageEsReturn,StdReturn,MaxReturn,PolicyRegParamNorm,AveragePolicySurr
397.532188001,67,104.186934876,358.481916908,61.6109,67,48.687,0.748514,119.634,119.577981403,154.859242721,119.499,3.09344595816,119.516966954,174.530768668,15.1181295035,232.064078841,44.8759983001,397.33576197,39.3665,-122.847
362.882291459,68,110.796976349,370.649692751,62.153,68,43.2951,0.718792,122.008,121.949176547,360.706316729,121.873,3.05177690711,121.888365748,180.587358182,42.6601781016,201.931455263,5.22633552203,390.497103196,39.5733,-125.297
341.844546554,69,93.4080620995,371.20613674,62.681,69,46.153,0.727583,124.127,124.065830541,225.245539436,124.005,3.10958857381,124.021474388,179.760181958,50.1967654738,207.526240165,30.4644662357,389.236142525,39.8514,-127.411
335.22492291,70,64.6891100486,350.995704929,63.243,70,48.9116,0.72664,125.855,125.785054097,286.578659747,125.726,3.21387275217,125.736724826,171.451486231,126.751383555,205.196824146,28.3602768868,381.191718319,40.062,-129.192
330.802716818,71,92.0309067948,299.004858261,63.7868,71,48.4243,0.725439,128.042,127.979488371,236.751453775,127.916,3.25268628145,127.930020953,156.334875607,49.0220793042,179.235854627,32.6829979438,371.917453342,40.3358,-131.391
340.081209682,72,86.5623924244,334.481363706,64.3567,72,56.4779,0.687261,129.891,129.82966292,258.47325006,129.773,3.31029964863,129.787505739,166.712745031,82.2182223722,225.117752825,35.6663566495,377.276510432,40.5496,-133.334
545.577639111,73,118.444268546,323.377841695,64.8384,73,51.6706,0.722602,132.148,132.0979329,277.552095542,132.02,3.27622374197,132.039378936,164.270537765,59.8193514138,236.485040366,30.2614102199,381.158116084,40.7523,-135.517
354.644060211,74,88.6357962034,375.101366006,65.3268,74,55.5143,0.711535,133.94,133.857692335,357.89653609,133.795,3.38430969853,133.805275318,179.251317023,40.3506257919,234.611129751,5.11718584807,387.519792092,40.9699,-137.396
468.375933338,75,137.571941223,379.548596433,65.8075,75,52.1966,0.747758,135.558,135.494821951,353.460324775,135.434,3.32144683378,135.450212742,179.550310826,14.062892666,221.93723534,5.66386942796,388.776426941,41.2196,-139.012
373.021809001,76,119.402975736,354.841245246,66.3741,76,57.9056,0.742158,137.397,137.317304831,300.584804987,137.254,3.50869389655,137.265768606,172.582002753,36.6987316371,212.958748804,20.868270578,373.849095133,41.3899,-140.909
360.72391597,77,122.849760449,316.235971004,66.9561,77,61.9386,0.757862,139.734,139.668044871,250.736095237,139.609,3.5135992963,139.620674572,162.466472772,14.0440359442,203.600592045,29.3682147301,369.239562142,41.5728,-143.3
