QFunRegParamNorm,AverageDiscountedReturn,AverageReturn,AverageEsReturn,AverageAbsY,MaxEsReturn,AverageAction,AverageQLoss,MinEsReturn,AverageQ,AverageAbsQYDiff,AveragePolicySurr,StdEsReturn,MaxReturn,MinReturn,Epoch,StdReturn,AverageAbsQ,AverageY,Iteration,PolicyRegParamNorm
30.1162,141.086806185,1335.97275322,446.044202551,2.74049618584,446.044202551,0.841642,0.0211418,446.044202551,2.73976,0.081929366035,-2.81659,0.0,2080.36232828,-229.122440965,78,674.256874421,2.73976,2.74041533393,78,35.1684
30.3326,152.700430241,1847.37652138,1318.51210076,2.85842333469,1318.51210076,0.878299,0.0247745,1318.51210076,2.85767,0.0862347331228,-2.93792,0.0,1960.75653212,1584.1803022,79,120.163425167,2.85767,2.85835463079,79,35.4091
30.5721,118.530685737,713.261239582,1262.28143573,2.96123898085,1262.28143573,0.782086,0.0222438,1262.28143573,2.96049,0.0857225235021,-3.04413,0.0,1451.26553288,405.820629443,80,325.751027435,2.96049,2.96115289098,80,35.6772
30.8152,152.309266292,1766.60990675,1336.86303351,3.07157942425,1336.86303351,0.905504,0.0250747,1336.86303351,3.07076,0.0874368442564,-3.15486,0.0,2087.34649847,626.015644735,81,435.692819221,3.07076,3.07153655272,81,35.9359
31.0534,152.97159136,1440.62457311,1210.39686045,3.18641877665,1210.39686045,0.748693,0.0255373,1210.39686045,3.18579,0.0893695921479,-3.2679,0.0,2369.51575924,846.317953709,82,452.292806835,3.18579,3.18636188475,82,36.1374
31.2336,177.445272589,1957.82216579,1426.6720071,3.30273970361,1426.6720071,0.907467,0.0294296,1426.6720071,3.30183,0.0942223795138,-3.38898,0.0,2130.60292302,1135.26984164,83,279.755942715,3.30183,3.30267215673,83,36.3601
31.4578,146.019122374,1811.51529926,1258.74933388,3.42959990921,1258.74933388,0.900321,0.0269096,1258.74933388,3.42876,0.0919141204574,-3.51355,0.0,2087.19054002,830.912365352,84,342.376289925,3.42876,3.42954050793,84,36.5569
31.6996,194.689841337,2081.21059658,1444.44158196,3.5387936104,1444.44158196,0.904462,0.0291384,1444.44158196,3.53802,0.0940149339177,-3.62785,0.0,2411.93244228,1431.98640688,85,321.026668414,3.53802,3.53875002004,85,36.7538
31.9508,156.145499246,1826.22405859,597.542946927,3.61788359566,597.542946927,0.885225,0.0369301,597.542946927,3.61676,0.0980501231966,-3.70463,0.0,2098.69412651,1127.02805986,86,307.563113441,3.61676,3.61782418642,86,36.9965
32.1857,177.765983192,2060.63531218,585.891431467,3.71596780615,585.891431467,0.925226,0.0338863,585.891431467,3.71526,0.0979019139176,-3.8034,0.0,2189.63125777,1956.37224631,87,69.4640161726,3.71526,3.71594227351,87,37.1867
32.417,192.249670811,2082.19485607,1327.7645905,3.85950245305,1327.7645905,0.879859,0.0325917,1327.7645905,3.85858,0.0980398037914,-3.94552,0.0,2431.81135626,1357.8196255,88,312.425237397,3.85858,3.85944788118,88,37.3855
32.6833,152.433138142,1778.09780819,1471.28603262,3.94504876743,1471.28603262,0.875744,0.0429156,1471.28603262,3.94423,0.103488765321,-4.02904,0.0,1898.47839345,1680.42253607,89,69.2034711441,3.94423,3.9449850653,89,37.5627
32.8974,193.332483071,2090.15032379,1371.18473167,4.07536467053,1371.18473167,0.871401,0.0452518,1371.18473167,4.07437,0.105150294468,-4.15983,0.0,2522.29874474,1171.57100846,90,482.413387297,4.07437,4.07531340446,90,37.7568
33.1115,153.825070766,1657.38316899,1345.15139745,4.1854614863,1345.15139745,0.853257,0.0332039,1345.15139745,4.18482,0.10117676989,-4.2718,0.0,2343.76799526,215.849657814,91,805.47071437,4.18482,4.18540574952,91,37.8965
33.3651,165.252885832,1289.41318872,1572.52398403,4.2957007938,1572.52398403,0.833604,0.0506681,1572.52398403,4.29453,0.109446801275,-4.38085,0.0,2271.86587504,683.50232502,92,485.712271171,4.29453,4.29563893972,92,38.1011
33.5611,127.117877421,724.848873514,1555.65697181,4.41015755584,1555.65697181,0.72383,0.0414509,1555.65697181,4.40951,0.104879368069,-4.49482,0.0,981.428316447,502.537879878,93,110.53733617,4.40951,4.41007664956,93,38.2296
33.7827,206.728547517,2457.56801393,1097.16065122,4.49857270427,1097.16065122,0.930153,0.0475772,1097.16065122,4.49737,0.109353256103,-4.58131,0.0,2543.41554304,2305.76939271,94,76.6621019177,4.49737,4.4985290308,94,38.4101
33.9789,188.561766439,1561.91847704,925.424551035,4.57391037199,925.424551035,0.825706,0.0437811,925.424551035,4.57303,0.107593655878,-4.65346,0.0,2608.61613653,465.163841189,95,776.602820585,4.57303,4.57385894603,95,38.5868
34.2361,187.792415,1619.33272172,683.529373999,4.6171822757,683.529373999,0.832501,0.0447562,683.529373999,4.61646,0.108395692175,-4.69528,0.0,2861.49387552,715.295282202,96,845.85081194,4.61646,4.61714263856,96,38.749
34.4308,217.237753988,2466.2172148,1368.75143428,4.73107945283,1368.75143428,0.885382,0.0413043,1368.75143428,4.7303,0.106920256626,-4.80903,0.0,2758.19769777,1142.19714853,97,447.851700214,4.7303,4.73103288656,97,38.974
34.6954,184.58318178,2198.96144472,682.753472891,4.79527145113,682.753472891,0.92032,0.0440736,682.753472891,4.79443,0.110279613472,-4.87552,0.0,2360.79854869,2086.42750638,98,73.2959217584,4.79443,4.79521933393,98,39.11
34.9007,197.760768264,1985.52265048,1566.6943809,4.93944382521,1566.6943809,0.903332,0.0580375,1566.6943809,4.93837,0.115112741712,-5.02376,0.0,2606.28594294,644.065356802,99,670.272374107,4.93837,4.93940747376,99,39.3204
35.148,190.197873631,1741.61789496,1643.26833954,5.01124256227,1643.26833954,0.892841,0.0552671,1643.26833954,5.01045,0.117545953382,-5.09853,0.0,2607.77580896,655.059696529,100,736.076856667,5.01045,5.01119418785,100,39.5234
35.4098,199.843305259,2217.74211727,1580.08717897,5.10959962657,1580.08717897,0.935241,0.0662658,1580.08717897,5.10838,0.124323824591,-5.19946,0.0,2989.56293111,483.987880645,101,946.724039409,5.10838,5.10957262263,101,39.7507
35.5997,206.224727912,2044.6712755,1787.60913058,5.25517998753,1787.60913058,0.945281,0.0696617,1787.60913058,5.25382,0.125977035856,-5.35075,0.0,2710.62948493,898.277616013,102,634.139151791,5.25382,5.25512603105,102,39.9777
35.8316,183.207060032,969.898153338,1764.05187088,5.38625688621,1764.05187088,0.898269,0.0573906,1764.05187088,5.38567,0.120789225794,-5.47644,0.0,2625.31068971,-119.31901316,103,890.017616076,5.38567,5.38621954771,103,40.1177
36.0922,201.631492889,2463.19136194,410.540692384,5.43871771351,410.540692384,0.962331,0.0630911,410.540692384,5.43758,0.124623157098,-5.53055,0.0,2563.81524306,2392.83572693,104,56.399375406,5.43758,5.43865911412,104,40.2962
36.2967,159.046782602,605.482267651,1696.01725884,5.57744670421,1696.01725884,0.866754,0.0666206,1696.01725884,5.57635,0.125388142144,-5.66557,0.0,1465.657162,230.223484812,105,380.248320301,5.57635,5.57737177641,105,40.5323
36.504,145.375630283,1711.75047519,1447.11224648,5.68317753727,1447.11224648,0.929886,0.0802114,1447.11224648,5.68187,0.130413075766,-5.76741,0.0,1792.05492678,1640.17254184,106,54.7123572477,5.68187,5.68315396317,106,40.6282
36.6671,208.458705854,1782.30390477,395.960607122,5.70529605971,395.960607122,0.87318,0.0682025,395.960607122,5.70432,0.12587194644,-5.79399,0.0,2687.46601164,1075.83610917,107,589.18444552,5.70432,5.7052752538,107,40.8218
36.933,185.939393632,2204.92730591,1421.63457866,5.84945924256,1421.63457866,0.907142,0.0774051,1421.63457866,5.84876,0.129682289378,-5.93426,0.0,2277.67428268,2140.7360959,108,40.0587691187,5.84876,5.84939716611,108,41.0034
37.1743,203.375796646,2364.35310746,599.944064722,5.88453971579,599.944064722,0.907203,0.058687,599.944064722,5.88344,0.122545098514,-5.96775,0.0,2438.97444639,2272.33563114,109,55.0131528477,5.88344,5.88449941656,109,41.1312
37.3745,223.038220705,2193.18902532,1591.64748534,6.0215213397,1591.64748534,0.897764,0.0859838,1591.64748534,6.02038,0.134055229346,-6.10498,0.0,2822.76617715,939.398070248,110,749.837232916,6.02038,6.02147142977,110,41.3114
37.5308,132.224136396,818.695432414,542.458194372,6.10154710933,542.458194372,0.860075,0.0621504,542.458194372,6.10081,0.126041462143,-6.18302,0.0,1460.52803042,604.707490188,111,237.785041255,6.10081,6.10148162196,111,41.4142
37.7675,178.177014401,2055.85637428,1933.6445235,6.13421261533,1933.6445235,0.930028,0.063619,1933.6445235,6.13331,0.129439766148,-6.21592,0.0,2153.93189925,1980.95878707,112,56.5472009652,6.13331,6.13415633901,112,41.565
37.9838,201.855495112,855.376628109,698.571397356,6.22666026264,698.571397356,0.882649,0.097467,698.571397356,6.22599,0.13930949447,-6.31273,0.0,1723.74523668,-480.47007327,113,605.735767207,6.22599,6.22662484854,113,41.7938
38.1669,171.721845262,1057.89610134,1301.27364181,6.29171035873,1301.27364181,0.838174,0.102482,1301.27364181,6.28988,0.137262169517,-6.38229,0.0,2283.98792169,595.824188042,114,491.11991098,6.28988,6.29166289746,114,41.909
38.4161,195.138690867,2296.57620277,403.086948545,6.39149732219,403.086948545,0.920587,0.0920314,403.086948545,6.39062,0.138213064288,-6.48104,0.0,2361.68176405,2197.43162085,115,53.3315100477,6.39062,6.39141240439,115,42.034
38.6133,203.265407134,1358.97141433,1686.08068235,6.49443647582,1686.08068235,0.869056,0.0721049,1686.08068235,6.49333,0.132848881329,-6.58606,0.0,3023.84086092,-205.854848924,116,1033.19489697,6.49333,6.49436783326,116,42.3204
