MaxEsReturn,AveragePolicySurr,PolicyRegParamNorm,AverageAction,AverageAbsY,AverageEsReturn,AverageQ,AverageAbsQYDiff,StdReturn,StdEsReturn,MinEsReturn,AverageAbsQ,Iteration,MinReturn,QFunRegParamNorm,AverageY,MaxReturn,Epoch,AverageQLoss,AverageDiscountedReturn,AverageReturn
1166.63591596,-137.344,46.1562,0.894526,135.49508956,1166.63591596,135.479,2.14733874781,990.06524477,0.0,1166.63591596,135.479,111,1070.19452816,53.6551,135.494789877,4182.96565273,111,21.8375,316.384759715,3376.95685663
1299.19028646,-138.854,46.3436,0.919563,136.988745319,1299.19028646,136.977,2.13963626862,1318.18010023,0.0,1299.19028646,136.977,112,-245.010675259,53.9421,136.988284682,4038.89614228,112,24.0188,287.79032491,2085.54950148
2843.00384561,-140.569,46.5364,0.92141,138.721036564,2843.00384561,138.703,2.21019746126,936.605200606,0.0,2843.00384561,138.703,113,-188.964581579,54.258,138.720585305,3021.72511485,113,28.1202,243.724226323,1359.48926079
781.626980724,-141.759,46.7784,0.91464,139.877732322,781.626980724,139.867,2.19554357626,1163.05670952,0.0,781.626980724,139.867,114,392.372392457,54.5824,139.877339032,3832.56799091,114,27.5538,292.301392088,3162.75015477
1685.51956828,-143.445,46.9907,0.917692,141.549829727,1685.51956828,141.536,2.1862294828,1195.15311885,0.0,1685.51956828,141.536,115,574.991353529,54.8458,141.549235872,4060.65396766,115,26.3171,308.660713424,2619.36576926
1752.51376082,-145.63,47.1647,0.916194,143.719233372,1752.51376082,143.707,2.17937659691,1348.84782606,0.0,1752.51376082,143.707,116,-177.476468509,55.1172,143.718961836,3803.53143784,116,24.9796,234.009347589,1999.53172682
2706.20661972,-147.095,47.3707,0.897318,145.203221998,2706.20661972,145.19,2.27137644172,1174.01224122,0.0,2706.20661972,145.191,117,783.942881079,55.3787,145.202847257,4087.85772503,117,31.2004,289.909421773,2316.87619965
1519.67054046,-147.89,47.5253,0.888637,146.065436177,1519.67054046,146.052,2.18500371135,997.990449779,0.0,1519.67054046,146.052,118,1258.16160531,55.7008,146.065140012,3791.46662096,118,26.0472,290.736957066,2417.99166519
1221.59927324,-149.119,47.7307,0.885324,147.258616425,1221.59927324,147.243,2.26748799975,1126.50543723,0.0,1221.59927324,147.243,119,865.82300558,56.1648,147.258072853,4088.21302358,119,30.0577,285.54499044,3033.37701315
1230.02238635,-150.894,47.9142,0.890139,149.042707443,1230.02238635,149.029,2.24991828927,892.790173245,0.0,1230.02238635,149.029,120,652.799570569,56.4433,149.042273007,3789.74829288,120,28.1407,268.51607633,1934.34452336
