AverageDiscountedReturn,AverageAbsQYDiff,AverageY,MaxReturn,AverageQ,AverageEsReturn,AverageAbsY,MaxEsReturn,AveragePolicySurr,MinEsReturn,AverageAction,AverageAbsQ,StdEsReturn,AverageReturn,AverageQLoss,PolicyRegParamNorm,QFunRegParamNorm,StdReturn,Epoch,Iteration,MinReturn
84.7891977116,0.076998720477,3.54554661071,1118.81666069,3.54479,640.246961573,3.54561821087,640.246961573,-3.62613,640.246961573,0.948827,3.54479,0.0,1072.50771825,0.021746,82.6766,62.6644,36.6006606455,67,67,999.518689663
82.5724494456,0.0780399494258,3.62788425119,1067.4227313,3.62701,682.265111771,3.62793852631,682.265111771,-3.70598,682.265111771,0.950775,3.6271,0.0,1002.80899056,0.0230082,83.1458,63.1135,49.7880167012,68,68,924.695270137
82.182723545,0.0810630102002,3.70281540615,1043.14320653,3.7019,751.608455688,3.70287134664,751.608455688,-3.78269,751.608455688,0.942299,3.7019,0.0,937.692960163,0.0278126,83.6784,63.5639,45.291521918,69,69,881.671544993
82.0545134557,0.0798252198459,3.77885086441,960.134233205,3.77788,679.524477248,3.77891710594,679.524477248,-3.85772,679.524477248,0.922886,3.77788,0.0,857.866202117,0.0232681,84.2256,63.9999,90.2659931054,70,70,629.412506341
84.4387948794,0.080231837611,3.85440116648,1086.33319833,3.85371,602.122487206,3.85446619195,602.122487206,-3.93514,602.122487206,0.959776,3.85371,0.0,1038.1993741,0.026806,84.7584,64.4151,32.4910793505,71,71,989.09492788
88.8072274189,0.0799128072553,3.93164861512,1110.25385329,3.93036,782.24044213,3.9316988149,782.24044213,-4.0156,782.24044213,0.949102,3.93036,0.0,1045.15117161,0.0256834,85.276,64.8223,41.6652662662,72,72,949.913390556
72.7640280024,0.0825442716332,4.00963432875,887.366303927,4.00878,675.102804964,4.00967847724,675.102804964,-4.08905,675.102804964,0.929844,4.00878,0.0,784.851322536,0.0290838,85.784,65.29,66.2338066835,73,73,687.85967606
77.0826995471,0.0801858694286,4.08318751507,1084.54534338,4.08217,676.482061815,4.0832467593,676.482061815,-4.1635,676.482061815,0.947822,4.08217,0.0,984.548084013,0.0258274,86.2138,65.6452,50.990249116,74,74,914.404814127
76.3474359832,0.0799507205832,4.16166705652,1000.48987617,4.16103,690.542880792,4.16172896901,690.542880792,-4.24202,690.542880792,0.953557,4.16103,0.0,900.178288132,0.0259706,86.7226,66.0317,61.0207675396,75,75,798.069339811
72.8011944024,0.0805287796406,4.23457537632,993.332538748,4.23375,620.77081862,4.23460109716,620.77081862,-4.31909,620.77081862,0.931482,4.23375,0.0,782.67922207,0.0260765,87.2717,66.4131,179.817871474,76,76,337.339590782
88.2789495725,0.0812053979137,4.31528647834,1063.93024264,4.31455,732.35673175,4.31533572546,732.35673175,-4.40002,732.35673175,0.944963,4.31455,0.0,981.672424693,0.0263231,87.702,66.7799,107.168720459,77,77,680.080229625
81.1376189338,0.0828015819111,4.39254436487,1002.18373999,4.39169,673.240576607,4.39261225576,673.240576607,-4.4747,673.240576607,0.947973,4.39169,0.0,916.040027489,0.0260005,88.1925,67.1862,38.2029576159,78,78,859.431602102
90.2906029943,0.0846795427567,4.46807038631,1031.59302039,4.4673,641.150444333,4.46816868152,641.150444333,-4.54784,641.150444333,0.950757,4.4673,0.0,891.298518702,0.0312389,88.6401,67.591,100.222611662,79,79,730.52533216
78.9214856686,0.085682257463,4.53557302486,999.356453061,4.53472,661.998569935,4.5356428185,661.998569935,-4.61804,661.998569935,0.959542,4.53475,0.0,941.548234874,0.0324604,89.042,67.983,51.0403165769,80,80,842.66912392
