StdEsReturn,AverageQLoss,QFunRegParamNorm,MinReturn,AverageAbsQ,Iteration,Epoch,MaxEsReturn,AverageAction,AverageDiscountedReturn,AverageReturn,AverageEsReturn,AverageAbsQYDiff,MaxReturn,AverageQ,PolicyRegParamNorm,AverageAbsY,StdReturn,AveragePolicySurr,MinEsReturn,AverageY
1.72896782727,0.00060985,38.3002,91.0344504149,0.55717,87,87,95.6921444617,0.957657,40.8497257893,92.4996021357,93.8937395155,0.0113755371771,93.4525922381,0.55717,32.2368,0.557161349785,0.710999277141,-0.570166,89.8934352617,0.557160882218
1.69190422699,0.00051827,38.6035,90.9232440458,0.573057,88,88,98.7502863822,0.969846,39.3517098855,92.1340800834,94.1256196999,0.0114325092662,92.6752717514,0.573057,32.434,0.573103013231,0.516250756854,-0.585616,91.7798934286,0.573102492536
1.53738277396,0.000466132,38.9587,91.8215749136,0.581847,89,89,99.5341935159,0.959323,42.2559000835,92.7610749134,94.7791614234,0.0105413298565,93.2408710829,0.581847,32.5952,0.581867300304,0.421573391809,-0.594391,93.4569235207,0.581866498779
1.19438843366,0.000637233,39.314,92.5382479475,0.594048,90,90,94.9365049974,0.968973,45.0931460028,93.2138004233,93.8959590031,0.0121231784303,93.4581522634,0.594048,32.7709,0.594065708427,0.233254945088,-0.60658,90.5715404915,0.594065336265
1.23812433506,0.000522215,39.6324,92.2705948217,0.605479,91,91,94.4194418336,0.991222,42.1898796121,92.5472028215,93.5476847971,0.0108934440742,92.7021212335,0.605479,32.9713,0.605461738271,0.11553563299,-0.618152,89.9791536027,0.605461308044
2.60160249297,0.000428412,39.9014,91.9855400982,0.61265,92,92,99.8467338106,0.98999,42.012643324,92.5207371298,93.7017083592,0.0106983121634,92.7053226938,0.61265,33.0653,0.612662633925,0.191711020156,-0.624882,88.8040947031,0.612662223555
2.17283527176,0.000581732,40.2087,92.4207520099,0.624439,93,93,98.8764017639,0.990239,43.758715779,92.8453478111,93.7392461965,0.0116203436252,93.0039959821,0.624439,33.1626,0.624472381,0.142440186847,-0.636009,90.8843479863,0.624472089545
1.95079718329,0.000646211,40.4972,92.6360061217,0.633228,94,94,95.1778793271,0.991379,44.5081585669,92.9751744383,92.6627237617,0.0110500510911,93.1713690016,0.633228,33.2875,0.633229989896,0.124805139958,-0.64419,88.9688807986,0.63322943367
1.91088192668,0.000593277,40.7459,92.5552107733,0.638366,95,95,98.662567608,0.991346,44.2008418441,92.9189584923,94.1621890556,0.0111573833219,93.1011064664,0.638366,33.334,0.638383084743,0.164514593773,-0.648866,91.3052723842,0.638382519712
1.28081077962,0.000537101,40.9688,93.010225615,0.645553,96,96,95.2183384502,0.99287,45.7776156953,93.1940827606,93.7905586783,0.01072659686,93.3016409149,0.645553,33.5077,0.645555131628,0.078314611809,-0.655598,89.7286030714,0.645554788249
1.1285611514,0.000655236,41.2159,92.9550832209,0.651344,97,97,95.9854001393,0.994875,45.2998188129,93.0969408532,94.2073062661,0.0114962703754,93.2012972369,0.651344,33.5755,0.651380211189,0.0582709375865,-0.660461,90.7182838219,0.651379641226
2.38011441706,0.00048412,41.3738,93.1356496269,0.658302,98,98,99.4542827759,0.992329,46.2795859954,93.2856899991,93.5222577055,0.00988861910142,93.4067464728,0.658302,33.6671,0.658307397439,0.0652369997921,-0.66697,90.680167023,0.658307157284
