QFunRegParamNorm,Iteration,AverageY,MaxReturn,StdEsReturn,AverageAction,AverageQLoss,AverageEsReturn,Epoch,AverageAbsY,AverageReturn,MaxEsReturn,StdReturn,AverageQ,AverageDiscountedReturn,PolicyRegParamNorm,MinReturn,AveragePolicySurr,MinEsReturn,AverageAbsQ,AverageAbsQYDiff
37.9958,88,9.27681262549,420.548690102,96.2687247377,0.893966,0.407822,82.2094853626,88,9.2923610239,232.825947941,253.867601419,123.61196404,9.27473,77.8117646951,35.3075,11.5919408226,-9.88521,-37.5332535251,9.29199,0.333877012729
38.2228,89,9.413300215,502.168176739,90.7624015871,0.894452,0.422759,115.033791636,89,9.42442138349,183.203875716,263.48013011,123.159102225,9.41088,79.0570644658,35.4638,-38.7244644105,-10.0255,-12.7103234191,9.42398,0.345721066243
38.5267,90,9.58402355306,938.551318268,101.673442924,0.867965,0.402867,122.777622356,90,9.59515429164,465.230326478,263.698612555,234.725720925,9.582,73.1629268193,35.6202,127.790160078,-10.2039,11.0384815384,9.59593,0.342688523464
38.8224,91,9.70748104314,467.71384199,144.611612349,0.892844,0.467062,134.698283869,91,9.71902506318,212.538286281,405.445945125,74.0182811779,9.70613,84.7037607762,35.8079,20.3639881191,-10.3277,9.43340250643,9.72104,0.356057583139
39.1384,92,9.84155210152,828.000905017,86.9802261276,0.886794,0.45862,167.714710598,92,9.85196337382,92.6995835229,314.323429993,158.550540713,9.83932,34.8328224522,35.9177,-42.8402493501,-10.4638,86.2242180885,9.85234,0.358911244113
39.3838,93,10.0051729391,407.684924909,110.339223556,0.899204,0.409413,133.154527194,93,10.0159786252,207.634558461,303.949925876,108.512592478,10.0026,85.9792608678,36.0485,-135.590463223,-10.6328,-28.9106169141,10.015,0.35364410563
39.6403,94,10.1538523854,594.67947187,115.628221123,0.892363,0.428008,58.5324066423,94,10.1645368691,210.833096104,229.691264293,144.905638379,10.1524,88.3162777959,36.2119,-148.985347143,-10.7721,-121.474434379,10.165,0.355632138196
39.9467,95,10.2924114704,432.83588269,88.8754970636,0.882101,0.508506,174.486260526,95,10.3027234065,197.103856597,317.500242042,145.081017614,10.2897,73.1135394312,36.452,-200.53659861,-10.8881,41.6374647452,10.3023,0.372334949208
40.2222,96,10.415694473,423.711054359,136.223601063,0.889588,0.416134,161.783063572,96,10.4259446453,140.935986906,348.195370754,146.357204989,10.4145,57.7380978765,36.6239,-201.195470898,-11.0348,10.4758981213,10.4275,0.359509158588
40.5013,97,10.506933966,958.501657944,187.632149882,0.912545,0.48688,165.631457882,97,10.5177153426,201.16234492,505.098548383,245.175235747,10.5049,41.7273825203,36.8214,-203.158647139,-11.1142,3.84914446532,10.519,0.369339649037
40.7796,98,10.6721255937,598.103443022,116.936538816,0.909183,0.553237,129.789502224,98,10.6824020901,223.526315845,330.004646362,181.842050263,10.6692,71.3732573308,36.9353,-187.85682866,-11.2877,-28.4895479208,10.6834,0.385543851643
41.0504,99,10.7970154746,643.853029051,148.540298502,0.894814,0.495917,170.847661477,99,10.8073726856,246.624719208,380.239756908,167.918791282,10.795,56.4817191688,37.0782,-61.1758909354,-11.4046,0.57419017351,10.8098,0.382605626003
41.2883,100,10.8532763178,819.038123758,163.132915522,0.902593,0.49357,258.234316456,100,10.8636895517,294.967282161,449.19772293,186.672759126,10.8509,62.5712255906,37.2099,-20.7938743492,-11.4754,-21.5263363862,10.8657,0.372469089775
41.5346,101,11.0877604941,505.035069891,135.866166782,0.8862,0.485563,80.281967622,101,11.098190666,203.077152728,409.54259268,171.519237228,11.0861,63.6076459379,37.3664,-241.871834296,-11.6824,3.76972289633,11.1,0.377491719788
41.7332,102,11.1548101239,870.146775382,81.0508038711,0.914487,0.518876,126.984065264,102,11.1681642488,442.670074014,242.650757184,238.468634882,11.1522,71.2435300022,37.5433,-55.683377828,-11.7594,27.9913796338,11.1702,0.388604194488
41.9874,103,11.2268108832,974.262081819,162.393312938,0.908526,0.494263,189.089178623,103,11.2384792229,578.141692695,500.805669937,204.539858942,11.2256,90.4548262952,37.7303,297.283256355,-11.8334,20.4766571271,11.242,0.387444023503
42.242,104,11.3481591607,1073.21896649,128.264038492,0.926521,0.541478,85.7098717072,104,11.3613948585,521.890936827,436.815542389,294.3931115,11.3454,93.1766861304,37.8915,162.621215345,-11.9384,-0.577914509266,11.3631,0.392621148872
42.4836,105,11.4599801529,978.166318021,132.50923345,0.926158,0.568275,154.350339908,105,11.4746248493,386.269323554,345.092079485,186.369571785,11.4574,95.4719619707,38.0737,173.128735779,-12.0551,38.3849016256,11.4765,0.397256859288
42.7018,106,11.5612802985,909.420411267,162.640727319,0.926623,0.54876,211.403663598,106,11.5800173293,366.665652833,431.255779383,160.013108367,11.559,116.267909089,38.2349,138.639029404,-12.1681,-1.69724231686,11.5822,0.394162357024
42.9519,107,11.6463329655,519.13532193,71.0824348094,0.935357,0.56499,224.446589933,107,11.666288999,372.781241226,302.594543099,89.5155804393,11.6436,133.596822611,38.4073,167.84836597,-12.2669,111.766953947,11.6674,0.398440730651
43.1817,108,11.83972721,837.673789854,124.449537679,0.917675,0.605762,174.915132452,108,11.8538919479,283.198046802,332.043405361,119.900004803,11.8377,107.612936778,38.6211,130.97242042,-12.4319,2.72759217957,11.8575,0.404304414377
43.401,109,11.8701401449,720.248228071,133.688748811,0.907298,0.540554,241.882443128,109,11.884684947,410.721884273,367.412626131,97.8947267255,11.8679,124.255066232,38.7429,225.00748231,-12.4633,37.850635921,11.8887,0.390041124411
43.661,110,12.0538943729,998.902261571,134.341450183,0.938717,0.570396,109.014858869,110,12.0693001639,287.776134261,373.605103876,187.936080829,12.0513,114.238952542,38.8921,144.47468133,-12.6722,-7.47169145675,12.0727,0.408190130307
43.8652,111,12.1739599206,600.500975585,134.500226358,0.926713,0.5462,152.855559853,111,12.1918183718,231.680901678,333.163532796,116.000781238,12.1723,93.2909197732,39.0704,-3.66870578023,-12.7766,1.71574310715,12.1953,0.39556858552
44.0823,112,12.2811701849,430.549994844,157.715925687,0.927314,0.579596,107.044427572,112,12.2962547147,177.715549519,455.129821568,75.3867328767,12.278,93.6858942575,39.193,-47.769114774,-12.8791,-50.1517387391,12.2972,0.405072853473
44.2651,113,12.345897642,585.804562875,104.614811502,0.92574,0.611489,123.434213989,113,12.3608822381,327.324539303,298.570297122,101.165807509,12.3434,127.827054749,39.313,156.300532139,-12.9555,-0.717924709878,12.3624,0.409161428876
44.4986,114,12.4699139082,733.998309654,127.976056107,0.892849,0.568995,169.8890523,114,12.4891627214,327.762626984,297.316145172,166.282509075,12.4674,97.2000115899,39.4532,67.2006001249,-13.0727,1.47379143727,12.4905,0.40980605156
44.7146,115,12.570437762,871.751868966,123.02426787,0.888273,0.691039,133.493846814,115,12.5887150439,354.102837177,357.496466309,169.278348409,12.5681,109.092837401,39.6738,125.961178232,-13.1619,1.18267083975,12.5904,0.428516612577
44.9304,116,12.6370500492,511.343509495,185.463422175,0.911365,0.6102,196.727792909,116,12.653671574,260.450504626,482.444409897,72.7544521315,12.6349,112.985168837,39.805,136.878761452,-13.2699,-38.7128021404,12.6564,0.409569477844
