StdEsReturn,AverageAbsQ,QFunRegParamNorm,AveragePolicySurr,AverageAbsQYDiff,AverageY,AverageAbsY,AverageEsReturn,MinReturn,MinEsReturn,AverageAction,AverageReturn,StdReturn,MaxEsReturn,AverageQ,Epoch,AverageQLoss,PolicyRegParamNorm,Iteration,AverageDiscountedReturn,MaxReturn
2.01046540313,6.75303,90.7443,-6.81963,0.0984162226768,6.75431295031,6.75431584906,93.3174646887,93.4222147599,87.9980095658,0.983076,93.526571602,0.0563014852783,94.9858342924,6.75303,96,0.0450986,54.8538,96,47.3645528688,93.6098099442
1.29865064283,6.76614,91.0453,-6.81511,0.0933840356175,6.76684609116,6.76685156177,93.3577058794,93.3602421888,91.3161339927,0.981696,93.5169310868,0.065827479783,94.5663915827,6.76614,97,0.0451,54.98,97,47.2614649277,93.6091977484
1.01798641554,6.78427,91.3538,-6.83128,0.0899163352341,6.78490354606,6.78490532958,93.7233290824,93.4326020726,90.9969867853,0.983692,93.5153993528,0.0519698523725,94.8240337823,6.78427,98,0.0361373,55.1494,98,47.3203939084,93.5840065598
1.99854967001,6.78944,91.6529,-6.82735,0.093472539948,6.79001079271,6.79001444154,92.0893353864,93.4564970624,89.6525074195,0.980736,93.537465566,0.0439819106738,95.6328947618,6.78944,99,0.044406,55.2717,99,47.3507509002,93.6050418255
1.82224416119,6.75099,91.8599,-6.77927,0.0802147528833,6.75179400518,6.75179703033,92.7064247215,93.4596860907,89.5610581069,0.980483,93.5430062907,0.046423852458,94.4655200111,6.75099,100,0.0319127,55.396,100,47.3746248494,93.6139032116
2.23379810639,6.74467,92.0079,-6.77042,0.085268929839,6.74537093264,6.74537468678,91.4963080202,93.4537345047,86.6825932986,0.980149,93.5484288713,0.0499261240241,93.8193178852,6.74467,101,0.0416342,55.5084,101,47.3958237615,93.6120392598
2.23612934435,6.73382,92.0604,-6.75713,0.0959302880896,6.73443671333,6.73444315612,91.8027161058,87.2149185827,88.8234612832,0.982264,93.3225986016,1.13144615282,95.4070769513,6.73382,102,0.0597603,55.6538,102,46.4753049098,93.6109742347
1.95972414548,6.70391,92.1613,-6.72454,0.0773363161454,6.70478843309,6.70479316962,92.4229435318,93.4246439305,89.4105297734,0.979894,93.5378568824,0.0548798683161,95.0881014967,6.70391,103,0.0409988,55.7822,103,47.3257980059,93.6154647391
3.39736000224,6.65808,92.2723,-6.67075,0.0823140276249,6.65813883355,6.65814154979,91.9756683271,87.215840791,86.8296994173,0.975921,89.5659514587,2.71571914534,99.1382981173,6.65808,104,0.0429468,55.8779,104,29.7105082948,93.6567335941
1.72199614519,6.62816,92.3867,-6.63687,0.0802251519897,6.62870372454,6.62870699183,90.8942144259,87.390570251,89.1368610586,0.975083,90.2013864106,2.87031393609,94.3146283111,6.62816,105,0.0434393,55.9786,105,32.4825023864,93.6622518381
3.19128054973,6.60578,92.5099,-6.60832,0.0879766922923,6.60638042412,6.60638561185,92.4141799008,87.3118242756,89.3991163786,0.965814,91.7635683677,2.71289544291,99.8880751199,6.60578,106,0.0504835,56.046,106,39.1396128501,93.7754052446
1.25057382974,6.53819,92.6569,-6.55359,0.0764253422886,6.53845759287,6.5384626252,91.294061595,87.4357139576,89.4487614902,0.893033,88.8580339502,1.21990562982,93.2760823048,6.53819,107,0.0414678,56.4479,107,22.8836731519,90.1183380983
1.92698637959,6.54362,92.8041,-6.57412,0.0648418451627,6.54391341938,6.54391517448,91.1713297268,87.6910074409,89.5039945241,0.919841,93.1107334304,1.86152317601,95.5647399426,6.54362,108,0.0248541,56.6714,108,43.7919529428,93.9984051414
3.72978927599,6.52818,92.962,-6.56276,0.075399481293,6.52852540255,6.52852915696,92.2040865114,86.8966796687,88.4723963769,0.92416,91.8260521589,2.89234710629,99.8354204953,6.52818,109,0.0352453,56.745,109,38.262734607,93.9736580961
2.01182763959,6.54466,93.1521,-6.5798,0.0761444013219,6.54506753059,6.54507095318,91.3503638583,87.5986835076,87.7106201282,0.919928,90.8891069679,2.9436434891,94.4027457907,6.54466,110,0.0426272,56.8448,110,33.5638022875,93.9374234586
