AverageAbsQ,AverageAbsQYDiff,StdReturn,MinReturn,MinEsReturn,Iteration,QFunRegParamNorm,AveragePolicySurr,MaxEsReturn,StdEsReturn,PolicyRegParamNorm,AverageAbsY,AverageY,AverageAction,AverageQLoss,MaxReturn,AverageReturn,Epoch,AverageQ,AverageEsReturn,AverageDiscountedReturn
4.0209,0.121650803881,465.23078396,-342.66099759,598.906705146,76,31.1205,-4.12793,598.906705146,0.0,35.9825,4.0217873046,4.02174400541,0.93097,0.0413899,1009.22696,696.878676392,76,4.0209,598.906705146,81.3883623402
4.13282,0.123029599262,90.6572271157,866.136104393,1192.99120527,77,31.4541,-4.24143,1192.99120527,0.0,36.2285,4.13423005976,4.13416803465,0.940635,0.0418971,1226.01860762,1035.06991952,77,4.13282,1192.99120527,100.422736109
4.22961,0.126379356821,412.077105202,-45.4938965778,701.036788368,78,31.7933,-4.335,701.036788368,0.0,36.4791,4.23067646824,4.23061161152,0.887351,0.046863,1597.89580967,1038.04938376,78,4.22961,701.036788368,168.508181466
4.33169,0.127106043214,416.566406002,-176.249199746,569.81028767,79,32.1008,-4.43775,569.81028767,0.0,36.7072,4.33266981782,4.33263671802,0.894495,0.0507685,1159.09039193,809.286204566,79,4.33169,569.81028767,149.485217943
4.40304,0.126587723083,352.235040508,1101.7764777,664.907884532,80,32.3641,-4.50632,664.907884532,0.0,36.913,4.40404322161,4.40398124665,0.918094,0.0473499,2077.88393273,1615.38660121,80,4.40304,664.907884532,159.955068011
4.51089,0.128042897289,66.7699183414,782.422682946,625.716003019,81,32.5821,-4.61449,625.716003019,0.0,37.1544,4.51214530871,4.51207274332,0.912034,0.0497243,1018.10051294,882.696698153,81,4.51089,625.716003019,121.078702165
4.62522,0.130416989866,331.276775212,881.762866608,1318.49876933,82,32.9037,-4.72698,1318.49876933,0.0,37.4151,4.62622295357,4.62618832128,0.921027,0.0542628,2253.8999352,1509.6277721,82,4.62522,1318.49876933,167.008084563
4.72466,0.131798215601,446.786928483,1253.84961908,668.882779587,83,33.1159,-4.83182,668.882779587,0.0,37.6567,4.72607441192,4.72600136006,0.929186,0.054288,2430.07567619,2002.13480141,83,4.72466,668.882779587,170.312892195
4.85895,0.130696601222,463.70986994,1313.42829125,1563.30019933,84,33.4028,-4.96991,1563.30019933,0.0,37.9209,4.85991906119,4.85987666852,0.938432,0.0515011,2484.57994434,2054.64705862,84,4.85895,1563.30019933,209.631616777
4.92805,0.129909338027,425.539716921,292.969914558,762.133464703,85,33.6615,-5.03924,762.133464703,0.0,38.1758,4.92916886753,4.92912680291,0.927658,0.0483879,1793.96740693,1144.66792049,85,4.92805,762.133464703,185.660648768
5.05582,0.136548210535,661.425458387,496.6764665,736.085165346,86,33.9309,-5.16464,736.085165346,0.0,38.3971,5.05735780787,5.05729592909,0.929174,0.0620523,2644.89965013,1954.92486622,86,5.05582,736.085165346,212.892210084
5.15928,0.133318978416,316.233754474,1349.73551874,1648.43709406,87,34.1715,-5.26454,1648.43709406,0.0,38.5647,5.16030347728,5.16027715841,0.937289,0.0533874,2450.94162477,2260.46351237,87,5.15928,1648.43709406,207.763754605
5.25443,0.132511981988,50.4006389853,2142.52360078,650.911195727,88,34.3909,-5.36584,650.911195727,0.0,38.7129,5.25561782781,5.25554570975,0.929823,0.05252,2315.73560901,2250.19381118,88,5.25443,650.911195727,197.785867034
5.36212,0.134425310249,848.674470709,624.42672399,1064.10445933,89,34.6218,-5.47503,1064.10445933,0.0,38.9557,5.36369725558,5.36363674844,0.92886,0.0606506,3014.78516814,2097.98574229,89,5.36212,1064.10445933,233.224675402
