AverageQ,MaxEsReturn,AverageForwardProgress,AverageY,MaxForwardProgress,StdEsReturn,AverageAbsY,MinEsReturn,Epoch,StdReturn,AverageDiscountedReturn,AverageReturn,PolicyRegParamNorm,AverageAbsQYDiff,AverageEsReturn,AverageQLoss,MinReturn,AverageAction,MinForwardProgress,MaxReturn,QFunRegParamNorm,AveragePolicySurr,StdForwardProgress,AverageAbsQ
8.88729,101.622758256,0.117031865276,8.8791956909,0.989061460488,39.2206026814,8.88148003322,-16.3952721314,62,40.3294650815,17.621635594,30.8225229871,17.5229,0.771687874507,30.7527561763,2.02946,-44.5225315064,0.997055,-0.632293613444,119.107552033,43.8986,-9.19302,0.392225870689,8.89361
9.01942,112.963802702,0.264251313449,9.00728045866,0.689502291129,28.8467808949,9.01182872536,1.04153918821,63,21.7132449554,28.2941574032,44.3541164095,17.5575,0.663615853223,50.0623047078,1.37563,-25.3933920456,0.95116,-0.423883111602,87.3246784375,44.1861,-9.21081,0.213761728659,9.02457
9.01955,74.7972702275,0.25288073879,9.02243257562,0.742864879314,17.7161047628,9.02903103314,9.89409736243,64,19.7862749452,27.5588629442,42.9904580167,17.6639,0.592560017531,38.9015328586,1.09242,-3.72955099543,0.995196,-0.217766565524,92.7601054226,44.2075,-9.11679,0.196599982819,9.02494
8.98602,64.3652083627,0.279495448322,8.94165567475,0.624852422476,19.8246661756,8.95940797249,8.46826074183,65,21.1308033681,28.8798054036,45.7679197902,17.8876,0.789670900971,39.4804532518,2.40046,-39.7556119,0.992051,-0.561719813092,80.4334254852,44.315,-8.96438,0.209834127228,9.01146
8.70002,71.0937181381,0.267801761902,8.7111349078,0.731370617221,11.7849882848,8.74258134252,26.9315406501,66,22.1614208401,28.3218248901,44.5523916627,17.9902,0.607074028756,49.7792146813,1.07978,-27.0335159438,0.999872,-0.436032261504,91.8627036003,44.5158,-8.57174,0.217822080066,8.72946
8.629,66.0030072201,-0.502345240852,8.63971433185,-0.0621952088756,30.7321085972,8.66899352188,-34.759340077,67,13.3737710017,-15.833501112,-35.2105409675,18.0238,0.55443202399,5.5852459892,0.924685,-54.2626338485,0.982638,-0.691514891386,12.464739157,44.5468,-8.81045,0.12819772222,8.64986
8.64564,-8.96248245698,-0.50956597113,8.64893253394,-0.110118720735,15.3144958713,8.6751965448,-52.736743055,68,12.3923641002,-17.3403612389,-36.0536926851,18.0472,0.485804778274,-36.1625929852,0.719468,-58.687641655,0.988329,-0.727647451811,7.04314139132,44.5881,-8.73214,0.121816357428,8.66475
8.43697,6.36779880968,-0.541653373427,8.44062963673,-0.109675428064,17.1377124896,8.46319335015,-51.4192610849,69,12.0684541482,-18.645166337,-39.2469539074,18.1847,0.471249812524,-28.8428381775,0.711614,-57.1906078332,0.993345,-0.718881636678,-2.04380910964,44.716,-8.31651,0.122950265559,8.45928
8.16814,-3.44220067164,-0.39135559705,8.16747102243,0.29499709757,12.7167631362,8.19788506234,-50.1430255125,70,20.5072541503,-9.4090790943,-23.4844030832,18.3262,0.460444470502,-28.6654383755,0.709916,-45.1605252742,0.986243,-0.611755023658,49.9085288134,44.825,-8.07606,0.196669064247,8.20336
8.02674,26.6488949782,-0.481907444338,8.03280016199,0.110315495705,19.6552154194,8.06452105856,-42.4787856146,71,13.0680850353,-14.4253483024,-32.7787806387,18.3797,0.411974707762,-23.0744154454,0.532723,-49.7665973575,0.985585,-0.625616634945,29.7075672314,44.8811,-8.09663,0.124127733189,8.05371
8.09266,65.5620420871,-0.352439474042,8.08756622217,0.266438209026,26.9489947498,8.11319909438,-39.3496591211,72,21.7153243415,-7.29600619528,-18.9336453268,18.3684,0.435820869449,16.5662431946,0.638943,-45.8881284496,0.987469,-0.612588194318,46.6906453226,45.0051,-8.20301,0.204360924596,8.11561
8.05003,7.20635365207,-0.514822433347,8.05197850902,0.11186936669,20.7650909883,8.07281370778,-51.8046261501,73,14.4962210329,-17.2325872405,-36.4386418333,18.444,0.391019854376,-28.2315455011,0.499152,-57.6675038968,0.98333,-0.738905645386,30.5762800118,45.1307,-8.18977,0.141444446735,8.06748
7.99279,88.9329843932,0.232200389128,7.98698867934,0.649312527836,34.6748885992,8.01008712269,-41.8583821729,74,19.3330378686,25.2344092854,40.8375858609,18.4909,0.410433880283,13.1132702845,0.593464,-18.1618495595,0.990736,-0.342583545963,84.5679661652,45.1246,-8.03712,0.190865947752,8.01659
8.06629,62.3626500485,0.263737050238,8.05825650961,0.609292150398,20.3367282052,8.08195045015,-0.643681699418,75,16.703934,27.3464344174,43.7896964162,18.4467,0.419047913533,33.6315125541,0.581177,-7.33185998315,0.989841,-0.253899150307,79.6866657719,45.3843,-8.09942,0.165335213526,8.0907
8.03592,84.4332012245,0.218436098325,8.04089459483,0.760002554245,30.2663342985,8.06080638207,-24.1430208575,76,20.6021572439,25.3849645711,39.5099158634,18.4746,0.396642614355,42.4360310114,0.512334,-26.0478341688,0.993911,-0.444349179329,95.1289229022,45.3983,-8.14226,0.2028912901,8.05592
8.09382,68.6801273533,0.267317490968,8.09566073478,0.757440991793,22.059275062,8.11356795013,-16.2267640956,77,17.8468708585,28.470384324,44.6187350587,18.5055,0.386259324332,36.3018114183,0.516505,2.45609564578,0.999009,-0.158090110986,94.7522385721,45.5342,-8.22937,0.175921038261,8.11377
8.27724,76.1617946622,0.227548644171,8.28178485038,0.777230420353,20.3640955326,8.29740638342,7.01713444023,78,22.2119594376,26.0908883082,40.5135458758,18.5901,0.424146121421,40.6208387594,0.588011,-22.7135474942,0.998648,-0.401861951566,96.3576396625,45.9545,-8.48058,0.220238444813,8.29343
8.42453,76.074857189,0.219902251598,8.41918543137,0.698069381758,25.9744060938,8.43264606116,-12.190455531,79,21.1067262454,25.3614142809,40.0377482351,18.6425,0.418069140449,36.5628374279,0.612769,-11.9845971102,0.999182,-0.312263066263,89.3894379906,46.1343,-8.62534,0.209422574261,8.44055
8.64109,74.81787557,0.254024095683,8.60284163866,0.635063613416,18.6393859922,8.61870610138,15.5890369915,80,18.6016426087,27.5217043068,42.8501673832,18.7571,0.589382094016,46.8855264843,1.16047,-5.31321422964,0.987018,-0.205615042609,82.5508762154,46.2882,-8.991,0.180158855927,8.66638
8.65638,74.9602778349,0.246465066801,8.67537396706,0.628473438521,24.3283617225,8.68918156572,-16.8888187744,81,20.8312730476,27.3310529963,42.5501724456,18.803,0.433792038029,41.8534834581,0.690418,-23.7759872612,0.989089,-0.413368591341,82.1679398918,46.4035,-8.89373,0.204624725526,8.6702
8.78597,109.944529978,0.30317746281,8.77580929345,0.773279751909,37.1354663643,8.78940558854,-18.1388543826,82,23.0045843242,30.4652450635,48.4041220831,18.8625,0.440428759697,54.9169417094,0.739933,-20.3858930315,0.989072,-0.395175750115,96.6124636447,46.5776,-8.95159,0.226895896017,8.80189
9.17048,90.4690649317,0.229201061767,9.04652404011,0.746203047202,24.8074053945,9.06435250304,-2.79812227144,83,20.6095078577,25.9762479498,40.7238773119,18.7556,0.761803302237,44.580420394,2.9894,-18.3626214765,0.998649,-0.372024338422,94.5762293099,46.9267,-9.33834,0.204740963291,9.21738
9.12711,70.5568888366,0.256751565405,9.12904599223,0.593127463855,26.9382108045,9.14098135527,-19.5465661551,84,19.8143437366,27.7535130292,43.5190431522,18.7925,0.548257293381,32.6481565891,1.06184,-21.4581704808,0.999241,-0.364442617688,77.9606633232,47.2588,-9.37063,0.19462070381,9.13951
