AverageDiscountedReturn,AveragePolicySurr,AverageReturn,Iteration,AverageAction,StdReturn,AverageAbsQ,PolicyRegParamNorm,AverageEsReturn,MinReturn,AverageAbsY,AverageQLoss,MaxEsReturn,Epoch,AverageY,AverageAbsQYDiff,QFunRegParamNorm,StdEsReturn,AverageQ,MaxReturn,MinEsReturn
282.503477465,-61.261,2287.62702809,73,0.899754,1134.9162433,60.042,38.4825,2259.27994546,345.735166412,60.0941114229,12.4152,2259.27994546,73,59.8477792967,1.54837100936,44.2853,0.0,59.8283,3760.2751263,2259.27994546
271.825817424,-63.6209,2746.38200588,74,0.923154,1462.64520261,62.2638,38.7681,2310.08536623,100.603665655,62.3026273746,13.3129,2310.08536623,74,62.1138783852,1.58454406263,44.7274,0.0,62.1043,3884.02159066,2310.08536623
251.138993826,-66.4512,2039.1290446,75,0.904509,1302.55885102,64.9787,38.9482,2227.46595805,-242.481504054,65.0203803605,18.2675,2227.46595805,75,64.9039274699,1.69917533563,45.0751,0.0,64.882,3909.13387175,2227.46595805
304.039856096,-69.1174,3387.22221266,76,0.940345,830.418563975,67.6285,39.221,2416.92228028,1221.9606275,67.665120004,18.9448,2416.92228028,76,67.5990120248,1.71174320519,45.4355,0.0,67.5784,3925.5245789,2416.92228028
309.535814068,-70.6034,3497.81613261,77,0.923899,867.999464331,69.0051,39.4731,2523.57487721,914.956634031,69.0388874629,19.9804,2523.57487721,77,69.002527277,1.75383218058,45.8825,0.0,68.98,3969.05674841,2523.57487721
262.220195044,-73.3658,1936.28601834,78,0.903783,1226.50121546,71.7314,39.7363,2482.74613256,-126.90136999,71.7504476597,11.3496,2482.74613256,78,71.7310489556,1.57631538388,46.2475,0.0,71.7173,3911.22167666,2482.74613256
292.570584007,-75.5538,3034.45372458,79,0.936238,1173.76939251,73.8894,39.9685,2796.12319596,425.305493139,73.9113364767,17.3686,2796.12319596,79,73.896095414,1.75726543179,46.6766,0.0,73.878,4036.31382299,2796.12319596
314.329859194,-78.3956,3753.86380946,80,0.95295,228.21661861,76.6561,40.1495,2455.40034129,3319.85607488,76.676214099,17.5058,2455.40034129,80,76.6687454777,1.76483068411,46.9908,0.0,76.6511,4053.95058,2455.40034129
293.651336217,-81.5499,3594.20697748,81,0.947138,225.171653752,79.6895,40.4523,2769.64060644,3248.70949651,79.7072600846,16.9637,2769.64060644,81,79.7053699745,1.76585667985,47.2971,0.0,79.6889,3970.13990184,2769.64060644
277.491175259,-83.7692,3503.47250029,82,0.948912,297.833784039,81.9837,40.6655,2612.64668253,2766.07848189,82.0071847533,21.627,2612.64668253,82,82.0064755358,1.86933218683,47.6601,0.0,81.9832,3921.92439369,2612.64668253
310.980210594,-86.4048,3813.16287771,83,0.946832,121.094284793,84.621,40.8792,2533.56377438,3564.74199251,84.6422585677,20.1254,2533.56377438,83,84.6414711719,1.86704887521,48.0146,0.0,84.6204,4000.54577318,2533.56377438
330.457644214,-88.5825,3686.41159673,84,0.951323,348.425728897,86.7932,41.131,2762.37419882,2828.11904818,86.8119251247,22.0471,2762.37419882,84,86.8111918808,1.90892947751,48.3863,0.0,86.7927,4052.06449321,2762.37419882
318.287055348,-91.9844,4080.71986025,85,0.958839,94.2642034775,90.1571,41.3827,2726.62231116,3999.73175855,90.1768970268,21.8901,2726.62231116,85,90.1765097298,1.92138762775,48.7106,0.0,90.1569,4332.71774831,2726.62231116
253.290884856,-93.6681,2013.34433471,86,0.924913,1093.74441125,91.8187,41.6115,2676.52410279,392.846853614,91.8368555489,21.6669,2676.52410279,86,91.836139542,1.90416059691,49.0393,0.0,91.8184,3475.5172434,2676.52410279
328.968714284,-96.779,4106.10691625,87,0.949711,126.36327834,94.9214,41.8829,2827.55743877,3836.602761,94.9446101091,25.9156,2827.55743877,87,94.9442568291,1.991063142,49.3627,0.0,94.9214,4271.31741593,2827.55743877
318.60753814,-99.5008,3943.08048817,88,0.952059,54.1781312991,97.5712,42.0991,2757.49842568,3802.10824781,97.5951335462,25.7703,2757.49842568,88,97.5945587463,2.01339466062,49.6626,0.0,97.5711,4009.0654854,2757.49842568
319.907489501,-101.751,3902.51675036,89,0.951606,53.076279884,99.8942,42.2247,2672.53037298,3799.58792072,99.9146801199,25.6015,2672.53037298,89,99.9141227057,1.99802864793,50.0615,0.0,99.894,3999.28409796,2672.53037298
321.531929227,-103.976,3816.29533185,90,0.939828,60.7548221611,102.12,42.4915,2748.63334229,3738.65936875,102.141709709,27.0267,2748.63334229,90,102.141136179,2.04759427888,50.3814,0.0,102.12,3913.53774654,2748.63334229
313.129884474,-107.776,3520.72318155,91,0.951633,712.456040426,105.88,42.7123,2496.81280142,1514.35318524,105.904668495,26.8598,2496.81280142,91,105.90431288,2.05318966332,50.7262,0.0,105.88,3937.38576609,2496.81280142
341.648510532,-109.323,4163.45772775,92,0.954431,74.4069595557,107.424,43.0195,2723.06140446,4062.09030266,107.442989064,27.8201,2723.06140446,92,107.441816885,2.12136490954,51.0918,0.0,107.424,4294.403556,2723.06140446
338.019448108,-112.027,4097.49991039,93,0.936679,62.8099850107,110.055,43.2525,2824.49412933,3977.84097221,110.073845565,32.2599,2824.49412933,93,110.07277746,2.19850027222,51.4299,0.0,110.054,4205.44922786,2824.49412933
317.467117402,-113.904,3917.04674639,94,0.941777,63.2262263984,111.986,43.385,2693.03487369,3774.57405996,112.005375713,25.5958,2693.03487369,94,112.004950827,2.09891729929,51.7572,0.0,111.986,4001.08000492,2693.03487369
298.689652547,-116.983,3681.2494433,95,0.948269,89.9537817095,115.012,43.5772,2768.50394806,3543.6571274,115.031590594,30.7473,2768.50394806,95,115.031107173,2.20983030681,52.0873,0.0,115.012,3810.79556593,2768.50394806
