AverageDiscountedReturn,AveragePolicySurr,AverageAbsQYDiff,QFunRegParamNorm,AverageReturn,Iteration,MaxReturn,AverageQLoss,AverageY,AverageAction,MinEsReturn,PolicyRegParamNorm,AverageQ,AverageAbsY,MinReturn,StdEsReturn,Epoch,StdReturn,AverageAbsQ,AverageEsReturn,MaxEsReturn
163.18884242,-111.625,2.8524144489,58.7234,347.380470899,69,649.59308543,37.8698,108.418664163,0.689602,11.2324615743,35.6927,108.395,108.435304521,223.108703922,154.530542846,69,68.2069312078,108.47,259.336483632,481.639659599
182.888113112,-113.535,3.07000107244,59.3983,405.879273828,70,462.854241109,45.2628,110.268580328,0.716605,6.32826877596,35.8513,110.251,110.280692375,350.261178219,263.156993545,70,24.7256699063,110.318,238.248133953,871.566928281
171.788231333,-115.517,3.03906937416,59.944,369.280455207,71,459.964376503,45.1542,112.242227821,0.678883,65.1515714341,36.1152,112.226,112.256150811,272.359041757,93.4188447772,71,30.6245886506,112.302,240.652375693,392.82038212
132.483317284,-117.387,3.04199487027,60.4454,243.65629341,72,480.161294838,42.2348,114.010776483,0.739732,10.2475229643,36.3735,113.983,114.027614432,166.056056547,142.305095287,72,121.429456906,114.066,263.386586568,436.86286373
170.826089667,-120.168,3.19142991344,61.0276,335.289924709,73,376.5779331,50.5716,116.955898476,0.77912,29.1717872978,36.5822,116.932,116.970347898,265.976162183,113.886488787,73,27.5770018527,117.012,221.030962085,394.095659723
172.558131516,-121.616,3.22209164865,61.5796,341.276027626,74,373.400349108,51.9052,118.333872488,0.776191,70.994682604,36.8534,118.309,118.34737193,313.529854473,115.831126602,74,11.7271397828,118.391,204.217784416,388.147874702
60.3121863416,-123.468,3.26115947386,62.0782,89.6029417569,75,342.277654405,50.4013,120.098537638,0.873815,64.0501343241,37.0792,120.081,120.119226307,37.1333667213,113.651948174,75,98.5546571068,120.157,201.67572512,411.237245267
173.711733422,-125.258,3.29872108157,62.5399,349.776756539,76,391.808605924,53.3281,121.749091649,0.803488,44.6108984537,37.3358,121.733,121.76598542,204.710267213,113.007599059,76,41.538715285,121.836,231.49011031,350.904351997
169.039375205,-127.594,3.22883777048,63.0684,334.264941922,77,352.735106908,48.0764,124.207654859,0.834292,16.2846651862,37.5997,124.182,124.22421137,306.557281179,112.249293961,77,10.8914980079,124.261,232.677711634,428.047504172
145.373020419,-129.379,3.32994960026,63.6058,256.505268014,78,330.593451753,50.7614,125.900757018,0.860454,65.9829626987,37.7727,125.888,125.923010454,171.322424212,104.820911482,78,40.8931426682,125.987,198.854167784,354.680063341
174.431474797,-131.426,3.37683095434,64.1451,348.651586444,79,375.271289937,56.0778,127.888888051,0.821766,46.9529291509,38.0453,127.863,127.908417277,284.469180502,109.034254194,79,15.8565020617,127.957,190.370474559,339.249770542
164.479216879,-133.062,3.41627045524,64.6745,312.461003798,80,360.713536166,53.9219,129.413349423,0.838432,55.5756453015,38.2421,129.398,129.437883151,254.164794073,88.4877679102,80,20.1983772834,129.503,247.418589271,340.369271854
